"","SWLmu","SWLlam","SWLlam_se","MTWLmu","MTWLlam","MTWLlam_se","muOff","state"
"1832",0.932784631561195,0.128983795024098,0.014510052061803,2.2752686389742,0.316915591275804,0.037589789069916,1.651261351,"SA"
"1833",1.15392322174579,0.033041841623561,0.004621300911661,1.98151111062475,0.223292923422982,0.0278854583064,0.930314113,"NSW"
"1834",0.479709883399293,0.081945045463305,0.009639664188468,1.91143434145391,0.403448632037592,0.047803780841514,0.799096661,"WASouth"
"1835",0.77714703128443,0.103101157572443,0.011987833880648,1.99513705057245,0.272575662466317,0.032572653140943,1.651261351,"WASouth"
"1836",0.777346297667771,0.103489573186898,0.012049993113791,1.99423575690869,0.273184654676405,0.032647262290687,1.651261351,"WASouth"
"1837",0.900326831108896,0.128388683275556,0.014512641374564,2.29585820017643,0.318798341010683,0.037982656491006,1.651261351,"SA"
"1838",0.897480934341364,0.11876636764678,0.01336784701999,2.22161764120492,0.29517358299297,0.035279138382608,1.651261351,"SA"
"1839",0.903105360748073,0.123504330700146,0.013859711782467,2.26824745169502,0.300563933131874,0.036162499719876,1.651261351,"SA"
"1840",0.933831767592438,0.12886993132387,0.014494007239652,2.12856339375262,0.287133677803202,0.034236211419469,1.651261351,"SA"
"1841",1.15531359858237,0.032849280716781,0.00460051304003,1.98525187220159,0.223898954247305,0.027986556824386,0.930314113,"NSW"
"1842",0.780081096103756,0.102097702696847,0.011916631597563,1.90971861633784,0.259457715562224,0.031314109533491,1.651261351,"WASouth"
"1843",0.908704719032355,0.131213516916796,0.014930562328861,2.30502686148753,0.322462488488815,0.038385510068328,1.651261351,"SA"
"1844",0.910182231250138,0.126849254519557,0.014209372126884,1.99942133031958,0.246999273412753,0.030297205079031,1.651261351,"SA"
"1845",0.914521701198657,0.128186083249744,0.014360836743271,2.06465593998604,0.264705678645833,0.032097867877212,1.651261351,"SA"
"1846",0.918043881439845,0.12837035057991,0.014389238816684,2.06808852670175,0.266570767460311,0.03232950531061,1.651261351,"SA"
"1847",0.922396259839839,0.128112322594154,0.014373784877174,2.10200899701394,0.275118800628882,0.033165335749651,1.651261351,"SA"
"1848",0.927893420505208,0.128302957646672,0.014406551948853,2.14254583483293,0.282092119454413,0.03404361658689,1.651261351,"SA"
"1849",0.935129533558226,0.129632915878304,0.014562972792985,2.13057337627278,0.286451486462793,0.034201582003039,1.651261351,"SA"
"1850",1.15431465874923,0.032726055377605,0.004611228188454,2.07325581929447,0.23766195758543,0.02983733994146,1.262512762,"NSW"
"1851",0.466563185693264,0.081289020617725,0.009416733832463,1.89611773164693,0.399326525071076,0.047246415971123,0.803369342,"WASouth"
"1852",0.785448390109942,0.102446416497145,0.01198559681387,1.9180395648249,0.262879969895473,0.031737556419995,1.651261351,"WASouth"
"1853",0.787295881686038,0.10402849986521,0.012180666604144,1.92130290182747,0.264422751159888,0.031900012818664,1.651261351,"WASouth"
"1854",0.786190662160798,0.10387180915813,0.012183329285493,1.91994156408076,0.263953556691582,0.031832896064004,1.651261351,"WASouth"
"1855",0.903573995663214,0.128055055260524,0.014610120063613,2.39640306081555,0.336335266318978,0.039854564311729,1.651261351,"SA"
"1856",0.913297308814417,0.131676470138006,0.015036283323739,2.31526019732539,0.33921206183372,0.039868072188424,1.651261351,"SA"
"1857",1.15591350189056,0.032912137359442,0.004640047486425,2.07681528277607,0.237792667647491,0.029888855194078,1.262512762,"NSW"
"1858",0.467224818220928,0.081723555564469,0.009455413299309,1.88630712212838,0.384310255130806,0.045085503584852,0.803369342,"WASouth"
"1859",0.791329906836258,0.103101416754918,0.012129294794075,2.0069064886141,0.279403273939634,0.03338950107564,1.651261351,"WASouth"
"1860",0.792880927622011,0.104567501134268,0.012293253601035,1.93061712282434,0.268553951553973,0.032257332705463,1.651261351,"WASouth"
"1861",0.791192337066927,0.103426906743467,0.012172502708768,1.92904874794759,0.266771104109059,0.03203635482856,1.651261351,"WASouth"
"1862",0.908733217424488,0.128098829163178,0.014681641709388,2.31718676427149,0.322845921894926,0.038340719547674,1.651261351,"SA"
"1863",1.15747064707961,0.033185182516226,0.004671657540461,2.11221632014503,0.247038565665359,0.031114153983173,1.262512762,"NSW"
"1864",1.15495594479859,0.033014318018488,0.004648326484202,2.10748019364388,0.246436283719465,0.031023232022715,1.262512762,"NSW"
"1865",0.793594157063148,0.101620921841309,0.011951877808243,1.77685555312119,0.242428330593748,0.029460903641348,1.651261351,"WASouth"
"1866",0.899398250473951,0.123327244825071,0.014214474237641,2.3752609883149,0.329532050557317,0.039150948740424,1.651261351,"SA"
"1867",0.909394753748506,0.126598287083581,0.014576446632353,2.38589375348749,0.334387987296956,0.039675591311363,1.651261351,"SA"
"1868",1.15195629537313,0.032837043458077,0.004605337333529,2.17344176580106,0.255024875144409,0.032144622051781,1.262512762,"NSW"
"1869",0.46833161313983,0.080967380523714,0.009414540658272,2.01211665001931,0.389722388174177,0.046094639068318,0.803369342,"WASouth"
"1870",0.799696711429567,0.10217670431955,0.012024769190226,1.78594509505811,0.246426003040557,0.029950260442749,1.651261351,"WASouth"
"1871",0.802958059900818,0.103986219110453,0.012220813813251,1.79101706146081,0.247036515663829,0.030072532793742,1.651261351,"WASouth"
"1872",0.802259837167066,0.103338914028188,0.012143230049092,1.78088068264386,0.240890380200893,0.029454269829512,1.651261351,"WASouth"
"1873",0.799395581397676,0.101264092533136,0.011911675540432,1.77756963731151,0.23808905870275,0.029187505363147,1.651261351,"WASouth"
"1874",0.900102543318059,0.124031292651841,0.01436154594761,2.35336428490919,0.319683938538209,0.038221284696786,1.651261351,"SA"
"1875",1.15057527983317,0.032533197311636,0.004560371592011,2.1653543887077,0.256329667401129,0.032260615320096,1.262512762,"NSW"
"1876",0.467876426431336,0.080408405013344,0.009377508111842,2.05616776729757,0.369499064844933,0.044148883855396,0.803369342,"WASouth"
"1877",0.804352943420842,0.100458522194425,0.011848737091367,1.77899294400907,0.236370860070262,0.02898683988366,1.651261351,"WASouth"
"1878",0.804078386475033,0.099120688209287,0.011732416987406,1.77829698517992,0.235261722121124,0.028860666315114,1.651261351,NA
"1879",0.900294591077924,0.124115135090789,0.014409521785508,2.27791557492445,0.31253991686267,0.037137306147774,1.651261351,"SA"
"1880",1.15193855654163,0.03267348414653,0.004575884996328,2.09235645529163,0.240758432039448,0.030443269995331,1.262512762,"NSW"
