"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.2,5.59,5.79,5.91,4.69,8.07,5.06,4.1,6.71
"NT","East Arnhem",136.368728637695,-13.844162940979,0.2,2.02,2.47,4.97,3.98,6.75,3.1,2.65,3.86
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.2,2.53,3.79,11.65,8.43,18.09,2.92,2.51,3.62
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.2,3.2,4.3,8.72,6.54,12.87,3.14,2.68,3.88
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.2,1.69,2.43,14.69,10.53,22.87,3.95,3.28,5.08
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.2,1.9,2.23,13.57,9.55,21.94,9.47,6.96,14.49
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.2,2.6,3.47,7.74,5.89,11.23,3.84,3.21,4.87
"SA","Ceduna",133.674819946289,-32.189151763916,0.2,2.43,4.69,4.95,3.96,6.75,2.01,1.84,2.29
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.2,1.53,2.12,8.72,6.53,12.94,4.45,3.66,5.8
"TAS","Burnie",145.898666381836,-41.0429649353027,0.2,2.26,2.97,16.37,11.24,27.36,6.93,5.25,10.21
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.2,1.4,3.82,10.19,7.53,15.33,2.11,1.91,2.41
"NT","Darwin",130.873245239258,-12.3418684005737,0.2,4.3,4.38,9.92,7.44,14.54,8.02,6.19,11.31
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.2,2.24,2.93,14.69,10.29,23.86,6.2,4.82,8.8
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.2,1.29,2.19,45.64,27.44,91.34,5.71,4.49,7.95
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.2,1.29,2.08,34.84,21.64,66.8,4.68,3.81,6.18
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.2,1.4,2.56,9.65,7.24,14.17,3.24,2.78,4
"NSW","Waverley",151.290802001953,-33.871639251709,0.2,1.7,2.9,16.71,11.76,26.72,2.93,2.55,3.54
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.2,3.11,3.53,3.6,3.05,4.49,3.47,2.94,4.35
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.2,2.55,2.85,6.66,5.19,9.35,4.95,4.02,6.56
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.2,2.65,3.68,10.14,7.51,15.19,3.45,2.9,4.41
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.2,2.62,3.07,6.87,5.33,9.7,4.47,3.68,5.8
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.2,1.54,2.67,23.83,15.52,42.93,4.12,3.39,5.37
"NT","Darwin",130.81266784668,-12.4085102081299,0.2,4.3,4.46,9.86,7.38,14.52,7.2,5.58,10.18
"SA","Victor Harbor",138.605804443359,-35.594554901123,0.2,1.84,3.14,7.37,5.75,10.27,3.24,2.76,4.02
"WASouth","Albany",117.89533996582,-35.1227531433105,0.2,1.38,2.55,13.91,9.88,22.09,3.84,3.22,4.87
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,0.2,1.87,2.16,13.85,9.95,21.57,8.66,6.52,12.71
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.2,2.37,3.07,5.89,4.61,8.27,3.49,2.95,4.42
"WASouth","Greater Geraldton",114.582710266113,-28.7869205474854,0.2,1.33,2.41,15.29,10.81,24.34,5.73,4.53,7.92
"NSW","Newcastle",151.791976928711,-32.9030685424805,0.2,1.65,3.08,17.09,11.98,27.48,2.76,2.41,3.29
"VIC","Hobsons Bay",144.897003173828,-37.8736267089844,0.2,1.31,1.78,19.76,13.28,33.96,7.76,5.8,11.65
"QLDSouth","Bundaberg",152.412872314453,-24.7567653656006,0.2,2.31,2.95,28.01,17.82,52.1,5.17,4.08,7.19
"WASouth","Bunbury",115.637229919434,-33.3057746887207,0.2,1.66,3.57,4.97,4.08,6.46,2.19,1.97,2.52
"TAS","Clarence",147.393463134766,-42.9977607727051,0.2,1.43,1.57,22.51,14.65,40.71,18.41,12.2,32.66
"WANorth","Port Hedland",118.570663452148,-20.2921123504639,0.2,4.15,5.33,5.33,4.21,7.4,2.04,1.83,2.37
"WANorth","Wyndham-East Kimberley",128.095184326172,-15.3794431686401,0.2,4.26,4.33,35.62,22.1,68.29,29.7,18.68,56.19
"QLDSouth","Brisbane",153.156661987305,-27.3602046966553,0.2,1.94,2.31,51.85,30.49,107.17,10.72,7.78,16.66
"VIC","Greater Geelong",144.419860839844,-38.2895736694336,0.2,1.37,1.7,13.27,9.42,21.11,9.88,7.14,15.52
"TAS","Burnie",145.878601074219,-41.0355949401855,0.2,2.26,2.68,16.53,11.35,27.64,7.65,5.8,11.18
