"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.32,5.71,5.91,17.15,11.85,28.26,13.38,9.58,21.01
"NT","East Arnhem",136.368728637695,-13.844162940979,0.32,2.14,2.59,13,9.12,21.22,6.12,4.76,8.67
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.32,2.65,3.91,50.84,30.29,102.75,5.57,4.36,7.84
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.32,3.32,4.42,31.95,20.2,59.62,6.22,4.85,8.76
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.32,1.81,2.55,73.68,43.26,149.56,8.99,6.69,13.47
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.32,2.02,2.35,64.91,37.01,140,36.48,22.27,72.03
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.32,2.72,3.59,26.42,17.07,47.92,8.59,6.48,12.6
"SA","Ceduna",133.674819946289,-32.189151763916,0.32,2.55,4.81,12.91,9.03,21.21,3.07,2.64,3.75
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.32,1.65,2.24,31.99,20.15,60.11,10.9,7.98,16.63
"TAS","Burnie",145.898666381836,-41.0429649353027,0.32,2.38,3.09,87.59,48.02,199.21,22.13,14.22,41.13
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.32,1.52,3.94,41.03,25.3,78.87,3.3,2.81,4.1
"NT","Darwin",130.873245239258,-12.3418684005737,0.32,4.42,4.5,39.27,24.81,72.48,27.97,18.5,48.46
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.32,2.36,3.05,73.69,41.68,160.03,18.54,12.37,32.42
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.32,1.41,2.31,451.84,200.14,1371.06,16.25,11.07,27.59
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.32,1.41,2.2,293.35,136.91,831.09,11.8,8.51,18.43
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.32,1.52,2.68,37.62,23.77,69.57,6.57,5.12,9.21
"NSW","Waverley",151.290802001953,-33.871639251709,0.32,1.82,3.02,90.56,51.57,191.88,5.6,4.48,7.57
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.32,3.23,3.65,7.76,5.96,11.06,7.31,5.61,10.49
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.32,2.67,2.97,20.76,13.92,35.72,12.92,9.26,20.3
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.32,2.77,3.8,40.68,25.18,77.72,7.26,5.48,10.76
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.32,2.74,3.19,21.83,14.54,37.91,10.96,8.04,16.67
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.32,1.66,2.79,159.76,80.39,409.66,9.63,7.06,14.74
"NT","Darwin",130.81266784668,-12.4085102081299,0.32,4.42,4.58,38.91,24.49,72.31,23.56,15.64,40.95
"SA","Victor Harbor",138.605804443359,-35.594554901123,0.32,1.96,3.26,24.45,16.43,41.54,6.55,5.08,9.26
"WASouth","Albany",117.89533996582,-35.1227531433105,0.32,1.5,2.67,67.51,39.05,141.48,8.61,6.5,12.6
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,0.32,1.99,2.28,67.08,39.48,136.24,31.62,20.1,58.4
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.32,2.49,3.19,17.07,11.53,29.35,7.4,5.63,10.77
"WASouth","Greater Geraldton",114.582710266113,-28.7869205474854,0.32,1.45,2.53,78.5,45.07,165.19,16.33,11.2,27.39
"NSW","Newcastle",151.791976928711,-32.9030685424805,0.32,1.77,3.2,93.88,53.14,200.59,5.06,4.1,6.74
"VIC","Hobsons Bay",144.897003173828,-37.8736267089844,0.32,1.43,1.9,118.4,62.71,281.52,26.53,16.66,50.81
"QLDSouth","Bundaberg",152.412872314453,-24.7567653656006,0.32,2.43,3.07,206.92,100.37,558.42,13.84,9.5,23.47
"WASouth","Bunbury",115.637229919434,-33.3057746887207,0.32,1.78,3.69,13.01,9.48,19.79,3.5,2.96,4.39
"TAS","Clarence",147.393463134766,-42.9977607727051,0.32,1.55,1.69,145.77,73.34,376.32,105.66,54.71,264.48
"WANorth","Port Hedland",118.570663452148,-20.2921123504639,0.32,4.27,5.45,14.56,9.98,24.59,3.13,2.64,3.99
"WANorth","Wyndham-East Kimberley",128.095184326172,-15.3794431686401,0.32,4.38,4.45,303.86,141.64,860.9,227.17,108.24,630.09
"QLDSouth","Brisbane",153.156661987305,-27.3602046966553,0.32,2.06,2.43,554.04,236.96,1770.47,44.51,26.62,90.1
"VIC","Greater Geelong",144.419860839844,-38.2895736694336,0.32,1.49,1.82,62.57,36.21,131.62,39.03,23.24,80.43
"TAS","Burnie",145.878601074219,-41.0355949401855,0.32,2.38,2.8,88.98,48.74,202.53,25.93,16.66,47.59
"WANorth","Carnarvon",113.636138916016,-24.8981914520264,0.32,1.76,2.47,32.88,20.43,63.22,8.86,6.46,13.83
"TAS","George Town",146.792098999023,-41.052360534668,0.32,2.37,3.63,75.76,43.1,162.48,7.45,5.75,10.57
"WANorth","Broome",122.209922790527,-17.9969673156738,0.32,5.71,5.91,17.18,11.87,28.32,13.4,9.59,21.05
"QLDNorth","Cairns",145.847991943359,-16.8677730560303,0.32,2.3,2.7,119.25,62.64,287.88,33.55,20.71,65.26
"QLDNorth","Aurukun",141.797592163086,-12.6793203353882,0.32,2.48,3.44,11.68,8.29,18.78,4.59,3.72,6.16
"QLDNorth","Gladstone",151.407104492188,-23.962682723999,0.32,3,3.33,92.77,50.87,210.17,27.8,17.86,50.79
"NSW","Kempsey",153.09098815918,-30.9209632873535,0.32,1.7,2.52,235.29,117.51,597.03,9.12,6.75,13.79
"VIC","East Gippsland",147.9462890625,-37.9042129516602,0.32,1.31,2.02,193.89,94.08,525.46,12.94,9.13,20.91
"QLDNorth","Gladstone",151.320953369141,-23.7948703765869,0.32,3.01,3.13,84.68,46.7,190.95,46.28,27.67,93.47
"VIC","Bass Coast",145.121734619141,-38.5073280334473,0.32,2.39,3.27,56.59,32.87,119.01,11.18,8.04,17.62
"NSW","Bega Valley",149.936981201172,-37.097900390625,0.32,1.79,3.78,74.67,43.33,154.66,3.38,2.84,4.3
"NT","East Arnhem",136.425445556641,-13.8104448318481,0.32,2.1,2.62,16.1,10.95,27.45,6.39,4.89,9.28
"SA","Grant",140.672210693359,-38.0639533996582,0.32,1.44,2.99,259.12,124.32,703.12,6.55,5.09,9.24
"NSW","Northern Beaches",151.305068969727,-33.8254356384277,0.32,1.82,3.16,91.09,51.8,193.38,5.27,4.24,7.08
"WANorth","Karratha",116.761528015137,-20.5944957733154,0.32,4.15,4.55,31.46,19.64,60.14,8.24,6.02,12.84
"SA","Copper Coast",137.588287353516,-33.9396820068359,0.32,2.46,2.6,11.18,8.1,17.35,9,6.74,13.35
"TAS","Devonport",146.352432250977,-41.1579093933105,0.32,2.4,2.84,79.09,44.11,175.44,23.35,15.23,41.99
"NSW","Randwick",151.252304077148,-33.9962577819824,0.32,1.81,3.45,86.78,49.76,182.05,4.49,3.69,5.87
"QLDNorth","Mackay",149.297515869141,-21.2697410583496,0.32,4.4,4.76,16.04,11.21,25.99,8.68,6.49,12.93
"QLDNorth","Cassowary Coast",146.139678955078,-17.6090087890625,0.32,2.31,2.79,68.36,39.01,146.75,14.23,9.94,23.27
"TAS","Glamorgan-Spring Bay",148.067794799805,-42.5660400390625,0.32,1.42,1.79,278.82,130.79,785.18,69.1,38.88,152.17
"QLDNorth","Cassowary Coast",146.334701538086,-18.4832286834717,0.32,2.73,3.06,29.47,18.71,54.83,12.46,8.83,20
"WANorth","Ashburton",115.163749694824,-21.6142768859863,0.32,2.15,2.63,33.95,20.5,68.82,7.86,5.79,12.1
"WANorth","Karratha",117.169364929199,-20.5933799743652,0.32,4.2,5.17,20.9,13.57,38.23,3.64,3,4.8
"QLDSouth","Sunshine Coast",153.139892578125,-26.6974658966064,0.32,1.79,2.6,714.82,297.94,2356.32,12.93,9.1,20.96
"QLDNorth","Whitsunday",148.842590332031,-20.2819118499756,0.32,3.13,3.96,25.28,16.43,45.49,4.88,3.95,6.51
"QLDNorth","Torres",142.155624389648,-10.5569248199463,0.32,2.69,3.15,21.87,14.6,37.84,8.85,6.66,13.02
"QLDSouth","Fraser Coast",152.941467285156,-25.2762908935547,0.32,2.72,3.15,174.4,89.61,427.85,20.18,13.1,37.02
"SA","Unincorporated SA",137.602798461914,-33.023551940918,0.32,3.08,3.49,7.69,5.92,10.95,7.36,5.68,10.44
"WANorth","Karratha",116.678909301758,-20.5885372161865,0.32,2.18,2.87,28.51,17.96,53.96,4.9,3.86,6.87
"QLDNorth","Torres",142.315673828125,-10.5067167282104,0.32,2.6,3.3,34.48,21.66,64.8,26.51,16.56,51.31
"QLDNorth","Douglas",145.468811035156,-16.4769401550293,0.32,2.3,2.52,106.48,56.92,250.62,51.66,30.23,107.8
"NSW","Clarence Valley",153.367126464844,-29.4367237091064,0.32,1.7,2.35,169.5,89.75,394.69,13.33,9.31,21.92
"QLDNorth","Torres Strait Island",142.210647583008,-10.522177696228,0.32,2.66,3.26,24.32,15.93,43.24,7.64,5.87,10.93
"VIC","Greater Geelong",144.724807739258,-38.1704139709473,0.32,1.42,1.74,95.79,53.63,208.52,57.9,32.9,126.76
"VIC","Mornington Peninsula",144.899749755859,-38.3481216430664,0.32,1.48,1.97,53.91,32.66,105.32,20.03,13.31,35.14
"SA","Onkaparinga",138.470275878906,-35.0958251953125,0.32,2.72,3.3,25.84,16.76,46.63,10.18,7.5,15.43
"QLDNorth","Livingstone",150.760681152344,-23.1353740692139,0.32,3.32,4.42,31.75,20.11,59.06,6.2,4.84,8.71
"VIC","Surf Coast",144.035140991211,-38.4956665039062,0.32,2.02,2.32,62.93,36.12,134.38,37.59,22.81,74.9
"SA","Yorke Peninsula",137.767929077148,-35.0375442504883,0.32,2.38,3.29,45.1,26.98,91.17,9.91,7.36,14.82
"QLDNorth","Whitsunday",148.079605102539,-19.8762283325195,0.32,2.61,3.4,38.86,23.8,75.92,6.62,5.11,9.47
"WANorth","Exmouth",114.142883300781,-21.9546566009521,0.32,2.14,3.02,37.7,23.05,74.07,4.7,3.79,6.33
"NSW","Shoalhaven",150.768478393555,-35.0744934082031,0.32,1.81,2.79,59.43,35.88,116.16,6.28,4.99,8.54
"NSW","Coffs Harbour",153.156051635742,-30.3061962127686,0.32,1.84,2.49,342.44,162.5,931.91,14.21,10.06,22.65
