"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.54,1.68,3502.16,3532.89,3471.69
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.54,1.97,1659.83,1685.43,1634.61
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.54,1.94,5883.73,5951.44,5816.8
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.54,2.96,232.86,236.77,229.01
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.54,2.96,232.86,236.77,229.01
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.54,1.92,73982.58,74619.85,73350.75
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.54,2.93,134.71,137.34,132.12
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.54,2.26,125017.8,125830.09,124210.76
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.54,2.26,125017.8,125830.09,124210.76
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.54,6.13,30.81,31.5,30.14
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.54,6.13,30.81,31.5,30.14
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.54,2.04,2711.51,2748.28,2675.23
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.54,1.98,90.33,91.81,88.88
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.54,2.81,291.54,295.33,287.8
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.54,2.81,291.54,295.33,287.8
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.54,2.67,525.69,532.34,519.13
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.54,2.67,525.69,532.34,519.13
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.54,1.59,358.79,365.01,352.67
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.54,2.65,295.09,299.23,291.01
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.54,1.74,253.98,259.52,248.56
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.54,3.08,96.8,98.85,94.79
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.54,3.01,126.73,129.09,124.4
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.54,3.08,96.8,98.85,94.79
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.54,3.45,24.24,25.15,23.37
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.54,2.04,182.91,186.02,179.85
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.54,2.04,182.91,186.02,179.85
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.54,2.84,180.5,183.7,177.36
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.54,1.7,8169.04,8250.5,8088.38
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.54,2.12,2843.07,2886.35,2800.45
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.54,2.52,763.89,776.01,751.96
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.54,2.63,226.39,231.53,221.36
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.54,1.92,1652.97,1678.01,1628.29
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.54,2.12,2363.12,2395.33,2331.35
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.54,4.6,929.07,938.69,919.55
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.54,4.6,929.07,938.69,919.55
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.54,2.67,619.15,628.94,609.51
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.54,1.98,2525.49,2556.79,2494.58
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.54,1.82,749.27,757.32,741.31
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.54,1.82,749.27,757.32,741.31
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.54,2.6,45.42,46.83,44.06
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.54,1.72,23812.44,24059.64,23567.78
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.54,1.96,16491.53,16580.58,16402.96
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.54,1.82,180.88,182.6,179.18
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.54,1.82,180.88,182.6,179.18
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.54,1.69,1545.96,1562.64,1529.46
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.54,2.65,492.21,499.87,484.68
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.54,1.7,922.61,932.61,912.71
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.54,3.33,349.15,353.82,344.55
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.54,1.94,32184.89,32539.05,31834.59
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.54,2.98,97.78,99.97,95.65
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.54,2.58,22.66,23.35,21.98
"'harvey-dvhar01-aus-bom'",27,115.6761,-32.6835,0.54,1.7,90.98,92.92,89.08
"'hay_point-59511-aus-bom'",35,149.3033,-21.2683,0.54,4.59,144.16,146.84,141.53
"'hillarys-132a-aus-uhslc'",28,115.738,-31.825,0.54,1.79,259.09,263.65,254.61
"'hillarys-62237-aus-bom'",28,115.7386,-31.8256,0.54,1.79,259.09,263.65,254.61
"'hobart-339a-aus-uhslc'",46,147.342,-42.877,0.54,1.86,610.55,618.16,603.04
"'hobart-61220-aus-bom'",46,147.341,-42.8773,0.54,1.86,610.55,618.16,603.04
"'home_island-46280-aus-bom'",32,96.8919,-12.1167,0.54,1.7,8169.04,8250.5,8088.38
"'hovell_pile-60721-aus-bom'",27,144.8987,-38.3271,0.54,1.69,1053.98,1070.08,1038.12
"'ince_point-58140-aus-bom'",28,142.3117,-10.575,0.54,3.07,42.65,43.78,41.55
"'jervis_bay-216470-aus-bom'",27,150.7076,-35.12200281,0.54,1.92,19995.74,20206.03,19787.65
"'jurien_bay-jujur01-aus-bom'",28,115.0428,-30.2872,0.54,1.7,1151.78,1168.74,1135.06
"'karumba-63580-aus-bom'",33,140.8333,-17.4917,0.54,3.81,20.35,20.97,19.75
"'lakes_entrance_inner_bullock_island-6057a-aus-bom'",33,147.9731,-37.8852,0.54,1.73,175.91,178.97,172.9
"'lord_howe_island-57720-aus-bom'",36,159.0582,-31.5236,0.54,2.2,3542.16,3581.75,3503.01
"'lord_howe-399a-aus-uhslc'",36,159.067,-31.517,0.54,2.2,3542.16,3581.75,3503.01
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0.54,2.2,3575.71,3615.92,3535.96
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0.54,2.16,8078.69,8177.39,7981.19
"'lucinda_offshore-59200-aus-bom'",33,146.385,-18.5217,0.54,2.99,188.12,191.51,184.79
"'mackay_outer_harbour-59510-aus-bom'",48,149.2333,-21.1167,0.54,4.46,109.26,111.11,107.44
"'melbourne_williamstown-60780-aus-bom'",54,144.9165,-37.8657,0.54,1.68,1499.51,1514.28,1484.89
"'melville_bay_gove_harbour-63480-aus-bom'",23,136.6717,-12.2067,0.54,2.87,162.37,165.91,158.91
"'milner_bay_groote_eylandt-63511-aus-bom'",34,136.4156,-13.8601,0.54,2.58,22.66,23.35,21.98
"'mooloolaba-59950-aus-bom'",35,153.12,-26.6867,0.54,2.06,9920.06,10019.98,9821.14
"'mourilyan_harbour-59140-aus-bom'",37,146.1167,-17.6,0.54,2.53,1153.57,1168.19,1139.13
"'newcastle-60310-aus-bom'",54,151.7889,-32.9238,0.54,1.94,8806.48,8873.33,8740.14
"'onslow_beadon_creek-62470-aus-bom'",34,115.1315,-21.6497,0.54,2.3,1373.87,1392.26,1355.72
"'patonga-212440-aus-bom'",27,151.27462,-33.55098053,0.54,1.99,13582.04,13722.05,13443.45
