"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"QLDSouth","Noosa",153.066970825195,-26.3208141326904,0.9,2.38,2.95,36506318.79,3595454.07,859373882.36,7116.46,2149.89,36667.35
"WANorth","Shark Bay",113.243339538574,-26.2524394989014,0.9,2.21,3.99,1841712.17,271415.91,24965611.13,264.54,124.89,738.71
"QLDSouth","Noosa",153.074661254883,-26.273588180542,0.9,2.39,3.01,27173024.82,2787425.48,604722995.9,5090.48,1614.44,24497.03
"WANorth","Shark Bay",113.19229888916,-26.1995239257812,0.9,2.21,3.89,1857767.55,273231.5,25263057.26,373.6,169.82,1094.11
"QLDSouth","Noosa",153.084457397461,-26.2195510864258,0.9,2.39,3.14,23981010.93,2498906.41,522632358.44,2729.84,940.11,11745.38
"WANorth","Shark Bay",113.170143127441,-26.1732273101807,0.9,2.21,3.88,1888832.98,276711.76,25845166.96,379.57,170.72,1132.44
"QLDSouth","Noosa",153.100616455078,-26.1734504699707,0.9,2.39,3.18,21968930.77,2313881.68,472070497.52,2365.49,831.14,9898.24
"WANorth","Shark Bay",113.158309936523,-26.1391716003418,0.9,2.21,3.36,1694253.57,249403.77,23141670.74,317.52,149.54,880.16
"QLDSouth","Gympie",153.111801147461,-26.1201992034912,0.9,2.39,3.18,22393386.04,2348212.76,484537273.22,2586.73,896.24,11044.22
"WANorth","Shark Bay",113.15983581543,-26.0855331420898,0.9,2.21,3.88,1585110.66,237231.48,21087358.51,251.49,119.31,698.26
"QLDSouth","Gympie",153.129623413086,-26.08131980896,0.9,2.39,3.25,20582090.91,2178709.69,440057103.38,1960.51,707.98,7893.38
"WANorth","Shark Bay",113.12956237793,-26.0266876220703,0.9,2.21,3.99,1441574.24,219090.94,18755044.17,270,126.85,759.81
"WANorth","Shark Bay",113.279312133789,-26.0415687561035,0.9,2.45,3.25,2380.77,782.06,11329.22,93.13,49.34,225.14
"WANorth","Shark Bay",113.360961914062,-26.0402011871338,0.9,2.47,3.28,1812.32,619.94,8141.49,79.33,43.18,184.23
"WANorth","Carnarvon",114.206573486328,-26.0333461761475,0.9,2.56,3.33,667.87,275.61,2253.4,61.26,35.46,128.96
"QLDSouth","Gympie",153.154998779297,-26.0190143585205,0.9,2.39,3.3,19831866.03,2103907.92,423328921.56,1576.5,588.99,6044.67
"WANorth","Shark Bay",113.074462890625,-25.9681720733643,0.9,2.21,4.01,1297563.23,200157.44,16535945.19,325.96,149.4,948.59
"WANorth","Shark Bay",113.201103210449,-25.997106552124,0.9,2.46,3.24,2088.71,700.24,9650.77,96.09,50.54,234.99
"WANorth","Shark Bay",113.549812316895,-25.973316192627,0.9,2.44,3.23,2659.96,879.86,12379.65,123.57,63.77,307.55
"WANorth","Carnarvon",114.191688537598,-25.990837097168,0.9,2.56,3.32,667.93,275.11,2261.59,64.59,37.18,136.92
"QLDSouth","Gympie",153.177352905273,-25.9748039245605,0.9,2.39,3.29,16989272.94,1835730.4,354088589.66,1741.21,642.87,6780.04
"WANorth","Shark Bay",113.044639587402,-25.9309673309326,0.9,2.21,4.07,1412011.53,214428.81,18422375.23,185.08,92.21,478.71
"WANorth","Shark Bay",113.154029846191,-25.9391899108887,0.9,2.45,3.23,2275.78,752.24,10736.75,100.68,52.53,249.12
"WANorth","Carnarvon",114.213706970215,-25.9665393829346,0.9,2.57,3.35,586.43,243.96,1966.68,59.25,34.51,123.59
"QLDSouth","Gympie",153.196014404297,-25.9365634918213,0.9,3.26,4.2,18400096.56,1965874.14,389561805.42,1378.77,527.82,5097.3
"WANorth","Shark Bay",113.02271270752,-25.891149520874,0.9,2.22,3.88,1067508.88,167808.99,13305087.02,358.26,161.52,1068.33
"WANorth","Shark Bay",113.157447814941,-25.8942527770996,0.9,2.45,3.21,2363.85,780.69,11137.09,110,56.73,276.52
"WANorth","Shark Bay",113.517280578613,-25.8920707702637,0.9,2.43,3.2,3415.29,1086.78,16808.16,141.24,71.41,362.1
"WANorth","Carnarvon",114.233070373535,-25.8787040710449,0.9,2.56,3.33,666.16,270.3,2321.4,65.26,37.58,138.11
"QLDSouth","Gympie",153.175277709961,-25.9199466705322,0.9,3.26,4.27,21713408.36,2273544.46,472081519.84,746.9,306.29,2530.44
"WANorth","Shark Bay",112.98983001709,-25.8296146392822,0.9,2.22,3.95,933124.37,148965.81,11402096.73,272.13,128.03,763.4
"WANorth","Shark Bay",113.149253845215,-25.8800354003906,0.9,2.44,3.2,2979.56,952.37,14692.82,115.9,59.44,293.41
"WANorth","Shark Bay",113.464241027832,-25.8200645446777,0.9,2.41,3.16,4657.67,1412.98,24553.62,187.74,91.12,509.64
"WANorth","Shark Bay",113.765983581543,-25.8768615722656,0.9,2.48,3.25,1589.67,563.01,6742.61,89.43,48.43,207.89
"WANorth","Carnarvon",114.18896484375,-25.8362445831299,0.9,2.52,3.27,1010.9,386.18,3834.29,86.21,47.49,194.56
"QLDSouth","Gympie",153.084014892578,-25.8544025421143,0.9,3.27,4.01,11943744.96,1355299.84,232626341.87,2556.13,892.81,10758.74
"WANorth","Shark Bay",112.966743469238,-25.7923622131348,0.9,2.22,4,905317.8,144773.69,11049393.14,231.44,111.28,630.25
"WANorth","Shark Bay",113.11368560791,-25.8178024291992,0.9,2.43,3.18,3442.01,1082.46,17321.35,128.66,64.78,334.8
"WANorth","Shark Bay",113.455863952637,-25.8108425140381,0.9,2.41,3.16,4755.25,1436.12,25246.9,186.82,90.85,505.46
"WANorth","Shark Bay",113.72785949707,-25.8003177642822,0.9,2.46,3.23,2110.77,711.24,9648.1,97.51,51.67,234.82
"WANorth","Carnarvon",114.133605957031,-25.7802562713623,0.9,2.48,3.21,1658,588.94,6970.18,117.76,61.99,283.29
"QLDSouth","Fraser Coast",153.085327148438,-25.7930164337158,0.9,3.29,3.82,3351185.69,460774,49680762.06,8367.37,2472.35,44449.55
"WANorth","Shark Bay",112.969444274902,-25.7448596954346,0.9,2.23,3.86,621774.67,103674.2,7198357.2,265.09,124.16,751.21
"WANorth","Shark Bay",113.079116821289,-25.7502117156982,0.9,2.42,3.16,4051.57,1247.12,20988.95,144.41,70.93,390.87
"WANorth","Shark Bay",113.432159423828,-25.7516574859619,0.9,2.4,3.13,5173.8,1548.46,27773.61,243.11,113.83,693.64
"WANorth","Shark Bay",113.673324584961,-25.7584323883057,0.9,2.46,3.22,1983.37,675.45,8923.54,108.89,56.26,273.04
"WANorth","Carnarvon",114.111671447754,-25.7504196166992,0.9,2.46,3.19,1976.56,679.5,8734.05,132.35,68.56,325.58
"QLDSouth","Fraser Coast",153.09001159668,-25.7552299499512,0.9,3.29,4.05,3704786.66,492235.34,58141836.81,2228.36,792.68,9148.43
"WANorth","Shark Bay",112.942481994629,-25.6842365264893,0.9,2.23,3.93,490004.62,84396.87,5425492.2,295.74,136.01,860.94
"WANorth","Shark Bay",113.072257995605,-25.7167644500732,0.9,2.41,3.16,4904.33,1475.54,26168.11,146.98,72.21,396.98
"WANorth","Shark Bay",113.410232543945,-25.70237159729,0.9,2.39,3.12,6202.57,1816.27,34254.19,262.79,121.33,765.89
"WANorth","Shark Bay",113.616310119629,-25.7126617431641,0.9,2.45,3.2,2487.22,820.36,11701.06,120.17,61.1,308.5
"WANorth","Carnarvon",114.065330505371,-25.6924648284912,0.9,2.45,3.19,2361.06,785.71,10961.22,135.38,69.68,336.52
"QLDSouth","Fraser Coast",153.086318969727,-25.7141304016113,0.9,3.28,4,7114329.18,860564.33,127329164.96,3098.49,1057.8,13435.35
"WANorth","Shark Bay",112.930847167969,-25.6511478424072,0.9,2.23,3.91,490712.72,84374.42,5450197.74,289.58,133.68,838.29
"WANorth","Shark Bay",113.055541992188,-25.6734848022461,0.9,2.39,3.2,6601.13,1903.29,37386.6,126.19,63.08,333.6
"WANorth","Shark Bay",113.414222717285,-25.6686573028564,0.9,2.39,3.11,6883.36,1991.59,38597.92,265.92,122.36,779.34
"WANorth","Shark Bay",113.595527648926,-25.656852722168,0.9,2.43,3.19,3077.6,985.64,15079.52,129.62,65.25,337.24
"WANorth","Carnarvon",114.020736694336,-25.6579189300537,0.9,2.46,3.2,2182.51,737.89,9885.26,126.81,65.83,311.56
"QLDSouth","Fraser Coast",153.081512451172,-25.658296585083,0.9,3.28,4.06,4208850.58,546304.79,68404870.86,2249.39,806.22,9100.26
"WANorth","Shark Bay",112.91576385498,-25.6081619262695,0.9,2.24,3.85,481815.19,82559.75,5392679.84,279.26,129.49,803.69
"WANorth","Shark Bay",113.042152404785,-25.6116275787354,0.9,2.37,3.19,9098.03,2527.15,54041.8,131.87,65.49,351.82
"WANorth","Shark Bay",113.432960510254,-25.6172618865967,0.9,2.38,3.14,7505.49,2147.22,42732.45,236.35,110.45,678.24
"WANorth","Shark Bay",113.57640838623,-25.6127490997314,0.9,2.42,3.18,3799.3,1179.64,19450.65,132.44,66.44,346.38
