"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.14,5.53,5.73,3.47,2.95,4.31,3.11,2.69,3.79
"NT","East Arnhem",136.368728637695,-13.844162940979,0.14,1.96,2.41,3.07,2.63,3.81,2.21,1.98,2.57
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.14,2.47,3.73,5.58,4.45,7.59,2.12,1.9,2.46
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.14,3.14,4.24,4.55,3.72,5.98,2.23,2,2.58
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.14,1.63,2.37,6.56,5.2,8.94,2.61,2.3,3.12
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.14,1.84,2.17,6.21,4.85,8.69,4.82,3.89,6.5
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.14,2.54,3.41,4.19,3.46,5.44,2.56,2.26,3.03
"SA","Ceduna",133.674819946289,-32.189151763916,0.14,2.37,4.63,3.06,2.62,3.8,1.63,1.53,1.78
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.14,1.47,2.06,4.55,3.72,6,2.84,2.48,3.42
"TAS","Burnie",145.898666381836,-41.0429649353027,0.14,2.2,2.91,7.08,5.44,10.14,3.88,3.19,5.08
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.14,1.34,3.76,5.08,4.11,6.76,1.69,1.57,1.85
"NT","Darwin",130.873245239258,-12.3418684005737,0.14,4.24,4.32,4.98,4.07,6.51,4.29,3.58,5.46
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.14,2.18,2.87,6.56,5.11,9.21,3.59,3.01,4.58
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.14,1.23,2.13,14.51,10.16,23.58,3.39,2.86,4.27
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.14,1.23,2.02,12.01,8.6,18.94,2.94,2.55,3.58
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.14,1.34,2.5,4.89,4,6.4,2.28,2.04,2.64
"NSW","Waverley",151.290802001953,-33.871639251709,0.14,1.64,2.84,7.18,5.61,9.97,2.12,1.93,2.42
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.14,3.05,3.47,2.45,2.18,2.86,2.39,2.13,2.8
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.14,2.49,2.79,3.77,3.17,4.78,3.06,2.65,3.73
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.14,2.59,3.62,5.06,4.1,6.72,2.38,2.11,2.83
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.14,2.56,3.01,3.85,3.23,4.91,2.85,2.49,3.42
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.14,1.48,2.61,9.2,6.82,13.9,2.69,2.35,3.24
"NT","Darwin",130.81266784668,-12.4085102081299,0.14,4.24,4.4,4.96,4.05,6.51,3.98,3.33,5.07
"SA","Victor Harbor",138.605804443359,-35.594554901123,0.14,1.78,3.08,4.05,3.4,5.11,2.28,2.04,2.65
"WASouth","Albany",117.89533996582,-35.1227531433105,0.14,1.32,2.49,6.31,4.97,8.73,2.56,2.27,3.03
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,0.14,1.81,2.1,6.3,4.99,8.59,4.53,3.72,5.93
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.14,2.31,3.01,3.46,2.91,4.39,2.4,2.13,2.83
"WASouth","Greater Geraldton",114.582710266113,-28.7869205474854,0.14,1.27,2.35,6.75,5.29,9.34,3.39,2.88,4.26
"NSW","Newcastle",151.791976928711,-32.9030685424805,0.14,1.59,3.02,7.29,5.69,10.17,2.03,1.85,2.3
"VIC","Hobsons Bay",144.897003173828,-37.8736267089844,0.14,1.25,1.72,8.07,6.11,11.79,4.2,3.42,5.58
"QLDSouth","Bundaberg",152.412872314453,-24.7567653656006,0.14,2.25,2.89,10.31,7.51,15.91,3.16,2.68,3.98
"WASouth","Bunbury",115.637229919434,-33.3057746887207,0.14,1.6,3.51,3.07,2.68,3.69,1.73,1.61,1.91
"TAS","Clarence",147.393463134766,-42.9977607727051,0.14,1.37,1.51,8.84,6.55,13.39,7.68,5.76,11.48
"WANorth","Port Hedland",118.570663452148,-20.2921123504639,0.14,4.09,5.27,3.23,2.74,4.06,1.65,1.53,1.83
"WANorth","Wyndham-East Kimberley",128.095184326172,-15.3794431686401,0.14,4.2,4.27,12.19,8.73,19.23,10.74,7.76,16.78
"QLDSouth","Brisbane",153.156661987305,-27.3602046966553,0.14,1.88,2.25,15.86,10.94,26.37,5.26,4.2,7.16
"VIC","Greater Geelong",144.419860839844,-38.2895736694336,0.14,1.31,1.64,6.11,4.81,8.46,4.97,3.96,6.82
"TAS","Burnie",145.878601074219,-41.0355949401855,0.14,2.2,2.62,7.13,5.48,10.21,4.15,3.42,5.42
"WANorth","Carnarvon",113.636138916016,-24.8981914520264,0.14,1.58,2.29,4.61,3.74,6.14,2.6,2.26,3.16
"TAS","George Town",146.792098999023,-41.052360534668,0.14,2.19,3.45,6.64,5.19,9.27,2.41,2.15,2.81
"WANorth","Broome",122.209922790527,-17.9969673156738,0.14,5.53,5.73,3.47,2.95,4.32,3.11,2.69,3.79
"QLDNorth","Cairns",145.847991943359,-16.8677730560303,0.14,2.12,2.52,8.1,6.11,11.91,4.65,3.77,6.22
"QLDNorth","Aurukun",141.797592163086,-12.6793203353882,0.14,2.3,3.26,2.93,2.52,3.61,1.95,1.78,2.21
"QLDNorth","Gladstone",151.407104492188,-23.962682723999,0.14,2.82,3.15,7.26,5.58,10.38,4.28,3.53,5.58
"NSW","Kempsey",153.09098815918,-30.9209632873535,0.14,1.52,2.34,10.9,8.05,16.39,2.63,2.31,3.15
"VIC","East Gippsland",147.9462890625,-37.9042129516602,0.14,1.13,1.84,10.02,7.3,15.5,3.07,2.63,3.78
"QLDNorth","Gladstone",151.320953369141,-23.7948703765869,0.14,2.83,2.95,6.97,5.37,9.95,5.35,4.27,7.28
"VIC","Bass Coast",145.121734619141,-38.5073280334473,0.14,2.21,3.09,5.85,4.61,8.09,2.88,2.49,3.51
"NSW","Bega Valley",149.936981201172,-37.097900390625,0.14,1.61,3.6,6.6,5.2,9.08,1.7,1.58,1.89
"NT","East Arnhem",136.425445556641,-13.8104448318481,0.14,1.92,2.44,3.37,2.85,4.26,2.25,2,2.65
"SA","Grant",140.672210693359,-38.0639533996582,0.14,1.26,2.81,11.37,8.25,17.6,2.27,2.04,2.65
"NSW","Northern Beaches",151.305068969727,-33.8254356384277,0.14,1.64,2.98,7.2,5.62,10.01,2.07,1.88,2.35
"WANorth","Karratha",116.761528015137,-20.5944957733154,0.14,3.97,4.37,4.52,3.68,6,2.52,2.19,3.06
"SA","Copper Coast",137.588287353516,-33.9396820068359,0.14,2.28,2.42,2.88,2.5,3.49,2.62,2.3,3.11
"TAS","Devonport",146.352432250977,-41.1579093933105,0.14,2.22,2.66,6.77,5.24,9.59,3.97,3.29,5.13
"NSW","Randwick",151.252304077148,-33.9962577819824,0.14,1.63,3.27,7.05,5.53,9.75,1.93,1.77,2.17
"QLDNorth","Mackay",149.297515869141,-21.2697410583496,0.14,4.22,4.58,3.37,2.88,4.16,2.57,2.27,3.06
"QLDNorth","Cassowary Coast",146.139678955078,-17.6090087890625,0.14,2.13,2.61,6.35,4.97,8.87,3.2,2.73,3.96
"TAS","Glamorgan-Spring Bay",148.067794799805,-42.5660400390625,0.14,1.24,1.61,11.74,8.43,18.47,6.38,4.96,9.01
"QLDNorth","Cassowary Coast",146.334701538086,-18.4832286834717,0.14,2.55,2.88,4.39,3.6,5.77,3.02,2.59,3.71
"WANorth","Ashburton",115.163749694824,-21.6142768859863,0.14,1.97,2.45,4.67,3.75,6.37,2.46,2.16,2.98
"WANorth","Karratha",117.169364929199,-20.5933799743652,0.14,4.02,4.99,3.78,3.13,4.92,1.76,1.62,1.99
"QLDSouth","Sunshine Coast",153.139892578125,-26.6974658966064,0.14,1.61,2.42,17.73,12.09,29.88,3.06,2.63,3.79
"QLDNorth","Whitsunday",148.842590332031,-20.2819118499756,0.14,2.95,3.78,4.11,3.4,5.31,2,1.82,2.27
"QLDNorth","Torres",142.155624389648,-10.5569248199463,0.14,2.51,2.97,3.86,3.23,4.9,2.6,2.29,3.07
"QLDSouth","Fraser Coast",152.941467285156,-25.2762908935547,0.14,2.54,2.97,9.56,7.15,14.16,3.72,3.08,4.86
"SA","Unincorporated SA",137.602798461914,-33.023551940918,0.14,2.9,3.31,2.44,2.18,2.85,2.39,2.14,2.79
"WANorth","Karratha",116.678909301758,-20.5885372161865,0.14,2,2.69,4.33,3.54,5.73,2,1.81,2.32
"QLDNorth","Torres",142.315673828125,-10.5067167282104,0.14,2.42,3.12,4.71,3.84,6.2,4.2,3.41,5.6
"QLDNorth","Douglas",145.468811035156,-16.4769401550293,0.14,2.12,2.34,7.71,5.86,11.21,5.62,4.44,7.75
"NSW","Clarence Valley",153.367126464844,-29.4367237091064,0.14,1.52,2.17,9.45,7.15,13.67,3.11,2.65,3.86
"QLDNorth","Torres Strait Island",142.210647583008,-10.522177696228,0.14,2.48,3.08,4.04,3.36,5.2,2.43,2.17,2.85
"VIC","Greater Geelong",144.724807739258,-38.1704139709473,0.14,1.24,1.56,7.36,5.71,10.34,5.9,4.61,8.32
"VIC","Mornington Peninsula",144.899749755859,-38.3481216430664,0.14,1.3,1.79,5.72,4.6,7.67,3.71,3.1,4.75
"SA","Onkaparinga",138.470275878906,-35.0958251953125,0.14,2.54,3.12,4.15,3.43,5.37,2.76,2.41,3.31
"QLDNorth","Livingstone",150.760681152344,-23.1353740692139,0.14,3.14,4.24,4.54,3.72,5.96,2.22,1.99,2.58
"VIC","Surf Coast",144.035140991211,-38.4956665039062,0.14,1.84,2.14,6.12,4.8,8.53,4.89,3.93,6.61
"SA","Yorke Peninsula",137.767929077148,-35.0375442504883,0.14,2.2,3.11,5.29,4.23,7.2,2.73,2.39,3.25
"QLDNorth","Whitsunday",148.079605102539,-19.8762283325195,0.14,2.43,3.22,4.96,4,6.65,2.29,2.04,2.67
"WANorth","Exmouth",114.142883300781,-21.9546566009521,0.14,1.96,2.84,4.89,3.95,6.58,1.97,1.79,2.24
"NSW","Shoalhaven",150.768478393555,-35.0744934082031,0.14,1.63,2.61,5.97,4.79,8.01,2.23,2.02,2.56
"NSW","Coffs Harbour",153.156051635742,-30.3061962127686,0.14,1.66,2.31,12.85,9.27,19.91,3.19,2.75,3.92
"VIC","Moyne",142.245132446289,-38.4012489318848,0.14,1.26,1.57,10.83,7.97,16.38,7.4,5.58,10.97
"SA","Onkaparinga",138.458389282227,-35.1697807312012,0.14,2.53,3.26,4.25,3.5,5.53,2.71,2.38,3.25
"WANorth","Ashburton",115.466323852539,-20.6898097991943,0.14,2.05,3.1,3.65,3.02,4.75,1.78,1.64,2
"QLDNorth","Isaac",149.473999023438,-21.7463283538818,0.14,4.2,5.36,3.54,2.99,4.46,1.83,1.69,2.05
"QLDNorth","Cook",145.285095214844,-15.4928417205811,0.14,2.05,2.42,8.25,6.24,12.09,5.67,4.48,7.86
"VIC","Greater Geelong",144.635314941406,-38.1060447692871,0.14,1.26,1.62,8.44,6.41,12.23,6.03,4.7,8.54
"WANorth","Ashburton",115.375946044922,-20.6875629425049,0.14,1.87,3,7.6,5.8,10.97,2.08,1.87,2.43
"TAS","West Coast",145.027053833008,-41.8157424926758,0.14,2.08,3.24,22.3,14.66,39.64,3.13,2.68,3.86
"WASouth","Dundas",128.882766723633,-31.7294902801514,0.14,2.2,3.41,4.92,4,6.5,2.32,2.08,2.7
"SA","Kingston (SA)",139.666198730469,-36.9562568664551,0.14,1.8,2.74,3.86,3.25,4.84,2.67,2.35,3.16
"SA","Kangaroo Island",137.180358886719,-36.0086135864258,0.14,2.19,2.8,5.49,4.43,7.34,4.25,3.5,5.55
"TAS","Circular Head",145.312255859375,-40.7651710510254,0.14,2.18,2.52,8.05,6.07,11.85,5.13,4.08,7.06
"SA","Elliston",134.854675292969,-33.6464500427246,0.14,2,3.9,3.27,2.79,4.06,1.96,1.79,2.22
"WANorth","Shark Bay",113.513900756836,-25.9233150482178,0.14,1.67,2.44,3.5,2.93,4.47,2.17,1.95,2.52
"VIC","Greater Geelong",144.474060058594,-38.2902946472168,0.14,1.55,2.04,6.03,4.75,8.34,3.86,3.19,5.01
"QLDSouth","Noosa",153.108322143555,-26.3750782012939,0.14,1.62,2.46,15.47,10.74,25.44,3.06,2.63,3.76
"SA","Unincorporated SA",132.431213378906,-32.0147438049316,0.14,2.22,3.28,4.51,3.66,6.01,2.38,2.12,2.79
"SA","Unincorporated SA",136.499649047852,-35.1658554077148,0.14,1.89,3.11,4.47,3.7,5.76,2.68,2.36,3.18
"WANorth","Derby-West Kimberley",123.719276428223,-16.1033020019531,0.14,5.52,6.16,3.5,2.98,4.37,2.14,1.92,2.49
"WANorth","Ashburton",115.097961425781,-21.6335697174072,0.14,1.97,2.91,4.77,3.82,6.51,1.9,1.73,2.17
"SA","Wattle Range",139.998825073242,-37.4942817687988,0.14,1.32,2.89,6.93,5.45,9.53,2.34,2.1,2.7
"QLDNorth","Torres",142.626602172852,-10.716986656189,0.14,2.44,3.27,4.5,3.7,5.87,3.8,3.15,4.96
"TAS","Huon Valley",147.098419189453,-43.2927169799805,0.14,1.39,1.52,7.38,5.65,10.65,6.24,4.89,8.68
"QLDNorth","Torres",142.322967529297,-10.5164833068848,0.14,2.38,3.13,5.68,4.51,7.8,4.67,3.77,6.3
"SA","Kangaroo Island",136.535095214844,-35.8576393127441,0.14,1.9,3.09,4.33,3.59,5.58,2.51,2.23,2.94
"SA","Wattle Range",139.879470825195,-37.3767509460449,0.14,1.39,1.97,4.96,4.05,6.49,3.81,3.19,4.85
"SA","Unincorporated SA",136.156509399414,-34.9915504455566,0.14,1.87,2.23,4.88,3.98,6.41,3.53,3,4.4
"VIC","Unincorporated Vic",146.515869140625,-38.9114189147949,0.14,2.11,2.33,10.69,7.74,16.68,6.32,4.99,8.67
"QLDSouth","Fraser Coast",153.356964111328,-24.9777183532715,0.14,2.51,3.13,12.48,8.89,19.85,3.88,3.24,4.98
"WASouth","Rockingham",115.701889038086,-32.3069496154785,0.14,1.32,2.54,5.48,4.39,7.38,2.45,2.16,2.9
"WASouth","Nedlands",115.749351501465,-31.9685497283936,0.14,1.34,2.73,4.93,4.03,6.43,1.99,1.82,2.25
"WANorth","Exmouth",114.09871673584,-22.0990867614746,0.14,1.98,2.66,4.53,3.68,6.01,2.08,1.88,2.4
"WANorth","Ashburton",115.477195739746,-20.836986541748,0.14,2.04,3.13,3.8,3.14,4.99,1.75,1.61,1.97
"SA","Kangaroo Island",137.937957763672,-35.7128486633301,0.14,1.71,2.63,5.35,4.32,7.13,2.8,2.45,3.35
"SA","Cleve",136.576965332031,-33.9472122192383,0.14,2.1,2.78,4.57,3.74,6.01,3.09,2.65,3.81
"SA","Lower Eyre Peninsula",136.023025512695,-34.8660087585449,0.14,1.85,2.15,5.25,4.26,6.94,4.26,3.54,5.45
"SA","Whyalla",137.786407470703,-32.9926872253418,0.14,2.89,3.3,2.46,2.2,2.88,2.4,2.14,2.81
"SA","Yorke Peninsula",137.354400634766,-34.9310340881348,0.14,2.36,2.89,3.25,2.78,4.01,2.39,2.13,2.79
"QLDNorth","Mackay",149.895462036133,-21.0195617675781,0.14,4.13,5.07,4.39,3.62,5.69,2.11,1.91,2.43
