"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.38,1.52,312.01,314.74,309.29
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.38,1.81,184.49,187.33,181.69
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.38,1.78,449.49,454.66,444.38
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.38,2.8,46.32,47.09,45.55
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.38,2.8,46.32,47.09,45.55
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.38,1.76,2669.47,2692.46,2646.67
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.38,2.77,31.51,32.13,30.91
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.38,2.1,3861.52,3886.61,3836.59
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.38,2.1,3861.52,3886.61,3836.59
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.38,5.97,11.16,11.41,10.91
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.38,5.97,11.16,11.41,10.91
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.38,1.88,260.59,264.13,257.11
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.38,1.82,23.79,24.18,23.4
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.38,2.65,54.25,54.96,53.56
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.38,2.65,54.25,54.96,53.56
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.38,2.51,82.15,83.18,81.12
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.38,2.51,82.15,83.18,81.12
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.38,1.43,62.78,63.87,61.71
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.38,2.49,54.72,55.48,53.96
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.38,1.58,49.23,50.31,48.18
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.38,2.92,24.97,25.5,24.46
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.38,2.85,30.19,30.75,29.63
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.38,2.92,24.97,25.5,24.46
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.38,3.29,9.43,9.78,9.09
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.38,1.88,39.08,39.74,38.42
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.38,1.88,39.08,39.74,38.42
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.38,2.68,38.72,39.4,38.04
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.38,1.54,566.25,571.9,560.66
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.38,1.96,269.43,273.53,265.39
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.38,2.36,106.86,108.55,105.19
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.38,2.47,45.41,46.44,44.4
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.38,1.76,183.95,186.74,181.21
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.38,1.96,236.56,239.78,233.38
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.38,4.44,122.64,123.91,121.38
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.38,4.44,122.64,123.91,121.38
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.38,2.51,92.17,93.63,90.74
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.38,1.82,247.88,250.95,244.85
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.38,1.66,105.41,106.55,104.29
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.38,1.66,105.41,106.55,104.29
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.38,2.44,14.66,15.12,14.22
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.38,1.56,1202.19,1214.67,1189.84
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.38,1.8,928.33,933.34,923.34
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.38,1.66,38.77,39.14,38.41
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.38,1.66,38.77,39.14,38.41
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.38,1.53,175.49,177.38,173.62
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.38,2.49,78.43,79.65,77.23
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.38,1.54,122.04,123.36,120.73
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.38,3.17,61.59,62.42,60.78
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.38,1.78,1486.11,1502.46,1469.94
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.38,2.82,25.15,25.71,24.6
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.38,2.42,8.99,9.26,8.72
"'harvey-dvhar01-aus-bom'",27,115.6761,-32.6835,0.38,1.54,23.91,24.42,23.41
"'hay_point-59511-aus-bom'",35,149.3033,-21.2683,0.38,4.43,33.05,33.67,32.45
"'hillarys-132a-aus-uhslc'",28,115.738,-31.825,0.38,1.63,49.93,50.81,49.07
"'hillarys-62237-aus-bom'",28,115.7386,-31.8256,0.38,1.63,49.93,50.81,49.07
"'hobart-339a-aus-uhslc'",46,147.342,-42.877,0.38,1.7,91.27,92.41,90.15
"'hobart-61220-aus-bom'",46,147.341,-42.8773,0.38,1.7,91.27,92.41,90.15
"'home_island-46280-aus-bom'",32,96.8919,-12.1167,0.38,1.54,566.25,571.9,560.66
"'hovell_pile-60721-aus-bom'",27,144.8987,-38.3271,0.38,1.53,134.02,136.07,132.01
"'ince_point-58140-aus-bom'",28,142.3117,-10.575,0.38,2.91,14.03,14.4,13.67
"'jervis_bay-216470-aus-bom'",27,150.7076,-35.12200281,0.38,1.76,1063.13,1074.31,1052.06
"'jurien_bay-jujur01-aus-bom'",28,115.0428,-30.2872,0.38,1.54,142.66,144.76,140.59
"'karumba-63580-aus-bom'",33,140.8333,-17.4917,0.38,3.65,8.33,8.59,8.09
"'lakes_entrance_inner_bullock_island-6057a-aus-bom'",33,147.9731,-37.8852,0.38,1.57,38.02,38.68,37.37
"'lord_howe_island-57720-aus-bom'",36,159.0582,-31.5236,0.38,2.04,314.51,318.02,311.03
"'lord_howe-399a-aus-uhslc'",36,159.067,-31.517,0.38,2.04,314.51,318.02,311.03
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0.38,2.04,316.6,320.16,313.08
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0.38,2,561.84,568.7,555.06
"'lucinda_offshore-59200-aus-bom'",33,146.385,-18.5217,0.38,2.83,39.86,40.58,39.15
"'mackay_outer_harbour-59510-aus-bom'",48,149.2333,-21.1167,0.38,4.3,27.19,27.65,26.74
"'melbourne_williamstown-60780-aus-bom'",54,144.9165,-37.8657,0.38,1.52,171.76,173.45,170.09
"'melville_bay_gove_harbour-63480-aus-bom'",23,136.6717,-12.2067,0.38,2.71,35.94,36.72,35.17
"'milner_bay_groote_eylandt-63511-aus-bom'",34,136.4156,-13.8601,0.38,2.42,8.99,9.26,8.72
"'mooloolaba-59950-aus-bom'",35,153.12,-26.6867,0.38,1.9,649.18,655.71,642.7
