"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"SA","Yorke Peninsula",137.684204101562,-35.1702117919922,0.2,2.17,3.11,4.5,3.73,5.77,2.04,1.86,2.31
"NSW","Unincorp. Other Territories",150.789474487305,-35.1702117919922,0.2,1.41,3.13,292.45,124.16,997.5,2.01,1.81,2.32
"WASouth","Albany",117.526313781738,-35.1271858215332,0.2,1.23,3.62,9.98,7.5,14.59,1.82,1.69,2.01
"WASouth","Albany",117.684211730957,-35.1271858215332,0.2,1.21,3.38,12.17,8.95,18.29,1.92,1.77,2.14
"WASouth","Albany",117.842102050781,-35.1271858215332,0.2,1.21,3.45,12.15,8.94,18.25,1.9,1.75,2.12
"WASouth","Albany",117.947364807129,-35.1271858215332,0.2,1.21,3.33,12.63,9.25,19.1,1.96,1.8,2.19
"SA","Yorke Peninsula",136.894729614258,-35.1271858215332,0.2,2.14,3.7,5.3,4.29,7.04,1.9,1.74,2.13
"SA","Yorke Peninsula",137.421051025391,-35.1271858215332,0.2,2.16,3.11,4.69,3.88,6.03,2.19,1.97,2.51
"SA","Yorke Peninsula",137.473678588867,-35.1271858215332,0.2,2.17,3.12,4.6,3.81,5.91,2.16,1.95,2.48
"SA","Yorke Peninsula",137.526321411133,-35.1271858215332,0.2,2.17,3.12,4.52,3.75,5.79,2.14,1.94,2.44
"SA","Yorke Peninsula",137.736846923828,-35.1271858215332,0.2,2.18,2.97,4.42,3.67,5.65,2.2,1.99,2.52
"SA","Onkaparinga",138.421051025391,-35.1271858215332,0.2,2.49,3.35,3.68,3.12,4.58,2.01,1.84,2.28
"NSW","Unincorp. Other Territories",150.789474487305,-35.1271858215332,0.2,1.41,2.88,287.21,122.51,971.88,2.17,1.94,2.56
NA,"Manjimup",116.526313781738,-35.0841407775879,0.2,1.24,3.8,8.73,6.65,12.53,1.83,1.69,2.02
"WASouth","Manjimup",116.578948974609,-35.0841407775879,0.2,1.24,3.65,8.57,6.55,12.26,1.87,1.73,2.08
"WASouth","Manjimup",116.631576538086,-35.0841407775879,0.2,1.25,3.66,8.4,6.44,11.97,1.86,1.72,2.07
"WASouth","Manjimup",116.684211730957,-35.0841407775879,0.2,1.25,3.48,8.48,6.5,12.1,1.9,1.75,2.12
"WASouth","Denmark",116.842102050781,-35.0841407775879,0.2,1.24,3.26,8.61,6.59,12.29,1.98,1.82,2.23
"WASouth","Denmark",116.894737243652,-35.0841407775879,0.2,1.24,3.27,8.64,6.61,12.33,1.98,1.81,2.22
"WASouth","Denmark",116.947364807129,-35.0841407775879,0.2,1.24,3.26,8.75,6.68,12.51,2.01,1.84,2.27
"WASouth","Denmark",117,-35.0841407775879,0.2,1.24,3.22,8.93,6.8,12.82,2.05,1.87,2.32
"WASouth","Denmark",117.052635192871,-35.0841407775879,0.2,1.24,3.32,9.2,6.98,13.28,2.01,1.84,2.27
