"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,1,6.39,6.59,7194.08,2266.47,34272.85,3314.03,1164.51,13568.94
"NT","East Arnhem",136.368728637695,-13.844162940979,1,2.82,3.27,3027.1,999.25,14008.44,287.17,130.8,853.34
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,1,3.33,4.59,214751.58,42547.13,1935639.01,213.92,99.64,622.52
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,1,4,5.1,50301.12,11998.86,353326.28,303.04,139.33,881.04
"NSW","Wollongong",150.916046142578,-34.4743537902832,1,2.49,3.23,684686.11,129634.26,6255485.74,957.67,380.52,3384.52
"VIC","Surf Coast",143.978164672852,-38.5659713745117,1,2.7,3.03,460753.73,79643.85,5088643.31,76131.07,16284.7,637752.63
"SA","Onkaparinga",138.461669921875,-35.1174468994141,1,3.4,4.27,27762.22,7093.58,178481.75,829.7,343.23,2746.65
"SA","Ceduna",133.674819946289,-32.189151763916,1,3.23,5.49,2964.26,969.99,13971.47,33.17,20.85,62.39
"WASouth","Esperance",121.899345397949,-33.8684463500977,1,2.33,2.92,50486.79,11900.22,362485.93,1745.55,657.95,6540.98
"TAS","Burnie",145.898666381836,-41.0429649353027,1,3.06,3.77,1175201.08,179698.59,15323784.14,15964.83,4003.68,110736.93
"WASouth","Joondalup",115.727348327637,-31.8087615966797,1,2.2,4.62,109904.73,24265.96,846944.41,41.62,25.3,82.07
"NT","Darwin",130.873245239258,-12.3418684005737,1,5.1,5.18,95839.02,22805.34,650497.2,33178.98,9120.03,184849.78
"VIC","Bass Coast",145.221298217773,-38.5328369140625,1,3.04,3.73,685030.67,115420.56,7728358.64,9177.09,2594.92,52641.27
"VIC","Glenelg",141.63020324707,-38.4082489013672,1,2.09,2.99,198080310.31,15548961.63,6357740587.06,6074.97,1831.1,31786.58
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,1,2.09,2.88,51356064.43,4746823.29,1330158080.58,2237.25,804.01,9009.88
"WASouth","Fremantle",115.73705291748,-32.0583763122559,1,2.2,3.36,83757.26,19943.94,572152.71,358.36,164.76,1030.35
"NSW","Waverley",151.290802001953,-33.871639251709,1,2.5,3.7,1304587.64,224473.03,13630019.46,217.74,108.35,558.7
"SA","Port Pirie",138.000579833984,-33.1267433166504,1,3.91,4.33,602.85,264.67,1825.9,501.5,219.09,1550.57
