"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.32,1.46,125.99,127.1,124.9
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.32,1.75,80.94,82.19,79.71
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.32,1.72,171.34,173.32,169.39
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.32,2.74,25.28,25.7,24.86
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.32,2.74,25.28,25.7,24.86
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.32,1.7,768.09,774.7,761.53
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.32,2.71,18.28,18.63,17.92
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.32,2.04,1048.16,1054.97,1041.39
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.32,2.04,1048.16,1054.97,1041.39
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.32,5.91,7.62,7.8,7.46
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.32,5.91,7.62,7.8,7.46
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.32,1.82,108.27,109.73,106.82
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.32,1.76,14.42,14.66,14.19
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.32,2.59,28.88,29.25,28.51
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.32,2.59,28.88,29.25,28.51
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.32,2.45,40.95,41.47,40.44
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.32,2.45,40.95,41.47,40.44
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.32,1.37,32.66,33.22,32.1
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.32,2.43,29.09,29.49,28.68
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.32,1.52,26.61,27.19,26.04
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.32,2.86,15.03,15.34,14.71
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.32,2.79,17.63,17.95,17.3
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.32,2.86,15.03,15.34,14.71
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.32,3.23,6.61,6.86,6.38
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.32,1.82,21.91,22.28,21.54
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.32,1.82,21.91,22.28,21.54
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.32,2.62,21.74,22.12,21.36
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.32,1.48,208.12,210.2,206.07
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.32,1.9,111.35,113.04,109.68
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.32,2.3,51.1,51.92,50.31
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.32,2.41,24.86,25.42,24.31
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.32,1.7,80.75,81.97,79.54
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.32,1.9,99.79,101.15,98.45
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.32,4.38,57.39,57.98,56.8
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.32,4.38,57.39,57.98,56.8
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.32,2.45,45.12,45.84,44.42
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.32,1.76,103.8,105.09,102.53
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.32,1.6,50.52,51.07,49.99
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.32,1.6,50.52,51.07,49.99
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.32,2.38,9.6,9.89,9.31
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.32,1.5,392.34,396.41,388.31
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.32,1.74,315.59,317.29,313.89
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.32,1.6,21.76,21.97,21.56
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.32,1.6,21.76,21.97,21.56
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.32,1.47,77.61,78.44,76.78
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.32,2.43,39.39,40,38.78
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.32,1.48,57.15,57.77,56.54
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.32,3.11,32.13,32.56,31.71
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.32,1.72,469.03,474.19,463.93
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.32,2.76,15.12,15.45,14.79
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.32,2.36,6.35,6.55,6.16
"'harvey-dvhar01-aus-bom'",27,115.6761,-32.6835,0.32,1.48,14.48,14.79,14.18
"'hay_point-59511-aus-bom'",35,149.3033,-21.2683,0.32,4.37,19.02,19.38,18.68
"'hillarys-132a-aus-uhslc'",28,115.738,-31.825,0.32,1.57,26.93,27.4,26.46
"'hillarys-62237-aus-bom'",28,115.7386,-31.8256,0.32,1.57,26.93,27.4,26.46
"'hobart-339a-aus-uhslc'",46,147.342,-42.877,0.32,1.64,44.75,45.31,44.2
"'hobart-61220-aus-bom'",46,147.341,-42.8773,0.32,1.64,44.75,45.31,44.2
"'home_island-46280-aus-bom'",32,96.8919,-12.1167,0.32,1.48,208.12,210.2,206.07
"'hovell_pile-60721-aus-bom'",27,144.8987,-38.3271,0.32,1.47,61.85,62.79,60.92
"'ince_point-58140-aus-bom'",28,142.3117,-10.575,0.32,2.85,9.24,9.49,9.01
"'jervis_bay-216470-aus-bom'",27,150.7076,-35.12200281,0.32,1.7,353.76,357.48,350.07
"'jurien_bay-jujur01-aus-bom'",28,115.0428,-30.2872,0.32,1.48,65.18,66.14,64.24
"'karumba-63580-aus-bom'",33,140.8333,-17.4917,0.32,3.59,5.96,6.14,5.79
"'lakes_entrance_inner_bullock_island-6057a-aus-bom'",33,147.9731,-37.8852,0.32,1.51,21.41,21.78,21.04
"'lord_howe_island-57720-aus-bom'",36,159.0582,-31.5236,0.32,1.98,126.84,128.26,125.44
"'lord_howe-399a-aus-uhslc'",36,159.067,-31.517,0.32,1.98,126.84,128.26,125.44
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0.32,1.98,127.55,128.99,126.14
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0.32,1.94,206.76,209.28,204.26
