"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
122.218292236328,-18.0007991790771,0.6,5.85,6.4,1279.69,474.19,5056.81,74.45,38.59,191.65
136.368423461914,-13.8599948883057,0.6,2.32,2.77,334.56,137.43,1206.05,44.98,24.77,107.24
147.105270385742,-19.2773990631104,0.6,2.8,3.12,123353.79,21420.73,1497201.29,937.51,335.23,4078.87
150.793533325195,-23.122766494751,0.6,3.41,4.42,91545.26,18605.12,834335.54,63.31,33.57,157.9
150.913467407227,-34.4770774841309,0.6,1.9,3.59,97252946.82,6248618.58,4866784155.48,13.77,9.44,23.42
144,-38.5785293579102,0.6,2.27,3.29,4361.39,1314.5,23407.14,68.41,36.42,167.98
138.421051025391,-35.1084899902344,0.6,3.25,4.42,49.38,30.16,95.55,8.17,6.22,11.8
133.631576538086,-32.1934509277344,0.6,2.97,4.91,45.74,28.25,87.16,5.29,4.29,6.98
121.897087097168,-33.8707008361816,0.6,1.9,2.27,1020.55,411.7,3492.23,98.51,55.33,212.86
145.914001464844,-40.9999961853027,0.6,2.68,3.96,2912.26,961.07,13522.59,23.97,15.45,43.99
115.684211730957,-31.8255958557129,0.6,1.78,4.74,1599.71,616.32,5790.77,4.67,3.82,6.15
130.845794677734,-12.2999992370605,0.6,4.51,5.41,547291.56,90008.09,6559692.41,32.39,19.64,65.38
145.224685668945,-38.5499954223633,0.6,2.69,4.06,1122.61,399.06,4863.57,30.72,18.39,63.87
141.631576538086,-38.4138069152832,0.6,1.76,3.59,6769.11,2139.88,32169.01,37.39,21.6,82.18
148.099990844727,-42.5463905334473,0.6,1.74,2.4,9010.19,2458.37,55458.29,114.21,58.64,288.78
115.736831665039,-32.0597686767578,0.6,1.78,4.69,1454.2,559.2,5313.62,4.4,3.62,5.73
151.315795898438,-33.8696632385254,0.6,1.93,4.09,50098799.07,3671338.91,2038602066.69,9.25,6.84,14.01
138,-33.1237258911133,0.6,3.65,4.73,24.98,16.39,44.19,8.52,6.34,12.83
138.473678588867,-34.782169342041,0.6,3.19,4.12,45.77,28.19,87.61,9.96,7.39,14.91
146.894729614258,-19.244197845459,0.6,2.92,3.95,38373.64,8015.96,355659.8,46.88,25.54,113.93
138.473663330078,-34.8685684204102,0.6,3.27,4.2,45.53,28.07,87.05,9.95,7.39,14.88
144.631576538086,-38.2900199890137,0.6,2.03,3.24,1287.57,463.99,5367.53,65.45,35.07,159.29
130.789474487305,-12.4139251708984,0.6,4.52,5.5,372057.64,63016.49,4335291.6,24.9,15.63,47.93
138.631576538086,-35.5991897583008,0.6,2.31,3.17,192.53,98.92,469.64,67.69,36.07,166.07
117.894737243652,-35.1271858215332,0.6,1.8,4.58,1872.7,741.5,6397.86,6.94,5.43,9.64
135.894729614258,-34.6957054138184,0.6,2.38,4.31,390.63,178.8,1126.19,19.49,12.74,35.34
121.894737243652,-33.8696632385254,0.6,1.9,2.27,1029.13,414.55,3529.24,98.94,55.54,213.97
133.052627563477,-32.1043510437012,0.6,2.88,4.92,79.37,45.9,164.82,6.94,5.38,9.79
