"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,0.6,5.88,6.36,886.9,353.82,3127.14,49.13,27.76,110.21
"WASouth","Dundas",125.125335693359,-32.7073822021484,0.6,1.85,3.16,3153.98,1123.19,12641.97,56.61,31.77,127.18
NA,"Mackay",150.928894042969,-20.4258937835693,0.6,4.28,5.73,15609.8,4372.08,87894.58,16.04,10.91,27.37
"NSW","Bega Valley",149.979293823242,-37.4584083557129,1,2.44,3.51,1880367.96,288899.1,23579963.94,354.32,152.7,1153.32
"NT","Tiwi Islands",131.151779174805,-11.246729850769,1,4.97,5.93,19212416.25,2176078.84,364234267.81,778.66,308.05,2815.69
"QLDNorth","Whitsunday",148.712020874023,-20.5181045532227,1,3.94,4.14,2762.68,933.49,12310.37,758.04,302.67,2698.5
"QLDSouth","Redland",153.522552490234,-27.4183692932129,1,2.74,3.32,210158958.4,17029691.59,6336562061.27,6844.44,1951.88,39491.02
"SA","Franklin Harbour",136.99674987793,-33.7267532348633,1,3.05,3.91,7105.68,2239.04,33866.26,524.64,226.58,1652.38
"TAS","George Town",146.880859375,-41.0161895751953,1,3.05,3.77,864079.73,147848.42,9339526.71,5255.51,1714.38,23955.91
"VIC","Wellington",147.695892333984,-38.0107536315918,1,2.01,2.52,4368910.21,552648.63,74328324.74,7043.56,2114.83,36739.55
"WANorth","Derby-West Kimberley",123.475112915039,-17.3458309173584,1,6.28,6.76,81869.67,17699.93,668722.28,659.13,254.51,2533.24
"WASouth","Albany",117.89533996582,-35.1227531433105,1,2.18,3.35,520986.97,94141.09,5258706.49,834.38,346.31,2744.49
NA,"Mackay",150.928894042969,-20.4258937835693,1,4.68,6.13,9749795.36,1168998.08,173754807.07,102.06,53.67,248.6
"NSW","Eurobodalla",150.148056030273,-36.2723121643066,0.04,1.49,2.42,1.72,1.61,1.88,1.27,1.23,1.32
"NT","Victoria Daly",129.229110717773,-15.0611801147461,0.04,4.15,4.93,1.84,1.7,2.04,1.31,1.26,1.38
"QLDNorth","Gladstone",151.92448425293,-23.306095123291,0.04,2.68,3.71,1.92,1.76,2.15,1.3,1.25,1.36
"QLDSouth","Redland",153.522552490234,-27.4183692932129,0.04,1.78,2.36,2.15,1.95,2.47,1.42,1.35,1.53
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.04,2.95,3.37,1.29,1.25,1.35,1.28,1.24,1.34
"TAS","Glamorgan-Spring Bay",148.329803466797,-42.0832252502441,0.04,1.11,1.87,2.2,1.97,2.55,1.41,1.34,1.5
"VIC","Mornington Peninsula",145.028579711914,-38.2162742614746,0.04,1.18,1.78,1.7,1.59,1.87,1.43,1.36,1.52
