"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.1,5.35,5.9,3.29,2.79,4.14,2.05,1.84,2.4
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.1,1.82,2.27,2.63,2.27,3.26,1.89,1.71,2.18
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.1,2.3,2.62,7.06,5.27,10.7,3.13,2.64,4
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.1,2.91,3.92,6.71,5.15,9.7,2,1.8,2.32
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.1,1.4,3.09,21.44,13.57,41.17,1.55,1.45,1.69
"VIC","Surf Coast",144,-38.5785293579102,0.1,1.77,2.79,4.04,3.31,5.35,2.02,1.82,2.35
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.1,2.75,3.92,1.92,1.76,2.14,1.42,1.36,1.51
"SA","Ceduna",133.631576538086,-32.1934509277344,0.1,2.47,4.41,1.89,1.75,2.11,1.32,1.27,1.38
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.1,1.4,1.77,3.17,2.73,3.9,2.15,1.95,2.44
"TAS","Burnie",145.914001464844,-40.9999961853027,0.1,2.18,3.46,3.78,3.14,4.88,1.7,1.58,1.88
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.1,1.28,4.24,3.42,2.92,4.24,1.29,1.25,1.35
"NT","Darwin",130.845794677734,-12.2999992370605,0.1,4.01,4.91,9.04,6.69,13.68,1.79,1.64,2.01
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.1,2.19,3.56,3.22,2.71,4.12,1.77,1.62,2
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.1,1.26,3.09,4.35,3.59,5.64,1.83,1.67,2.09
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.1,1.24,1.9,4.56,3.67,6.18,2.2,1.97,2.57
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.1,1.28,4.19,3.37,2.87,4.18,1.28,1.24,1.34
"NSW","Waverley",151.315795898438,-33.8696632385254,0.1,1.43,3.59,19.2,12.42,35.61,1.45,1.38,1.55
"SA","Port Pirie",138,-33.1237258911133,0.1,3.15,4.23,1.71,1.59,1.88,1.43,1.36,1.53
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,0.1,2.69,3.62,1.89,1.74,2.11,1.47,1.4,1.57
"QLDNorth","Townsville",146.894729614258,-19.244197845459,0.1,2.42,3.45,5.81,4.47,8.42,1.9,1.72,2.2
"SA","Charles Sturt",138.473663330078,-34.8685684204102,0.1,2.77,3.7,1.89,1.74,2.11,1.47,1.4,1.57
