"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
149.947372436523,-37.0825157165527,0.32,1.65,2.66,1526.77,513.52,7197.4,7.64,5.64,11.78
136.421051025391,-13.7977819442749,0.32,1.93,2.42,57.12,31.1,136.24,9.7,6.92,15.66
141.894729614258,-10.6091213226318,0.32,2.66,4.36,54.44,29.82,128.81,3.19,2.71,4.01
140.684204101562,-38.0832366943359,0.32,1.48,4.22,124.73,66.99,288.12,4.02,3.31,5.27
151.315795898438,-33.8259620666504,0.32,1.65,3.74,13235.87,3262.83,96495.5,3.39,2.87,4.25
116.736831665039,-20.5800476074219,0.32,4.03,5.49,121.37,60.95,318.96,3.03,2.53,3.96
137.57893371582,-33.9133415222168,0.32,2.57,4.03,7.74,5.89,11.22,2.88,2.49,3.51
147.105270385742,-19.2938747406006,0.32,2.52,2.84,506.66,200.58,1895.17,38.69,22.32,84.94
146.368408203125,-41.1228675842285,0.32,2.4,4.01,81.4,43.54,195.14,4.22,3.47,5.53
151.263153076172,-34.0006294250488,0.32,1.64,3.85,12659.13,3144.99,91214.57,3.19,2.71,4
149.315780639648,-21.268180847168,0.32,4.1,5.15,657.12,259.6,2414.25,7.12,5.26,11.02
146.157897949219,-17.5966548919678,0.32,2.2,3.29,505.63,207.84,1755.01,9.2,6.45,15.52
148.052627563477,-42.5341911315918,0.32,1.46,2.12,129.11,64.56,340.4,12.18,8.57,19.86
146.368423461914,-18.4972763061523,0.32,2.54,3.49,420.57,169.29,1546.75,10.18,7,17.72
115.157897949219,-21.6110496520996,0.32,2.02,3.66,186,82.91,599.12,2.79,2.36,3.58
117.157897949219,-20.5800476074219,0.32,4.08,5.59,61.79,32.68,155.31,2.78,2.36,3.55
140.789474487305,-17.4963035583496,0.32,3.32,4.61,14.44,9.65,25.76,2.98,2.54,3.74
150.842102050781,-23.602653503418,0.32,3.27,4.2,831.51,321.58,3125.84,11.12,7.76,18.57
153.157897949219,-26.6982269287109,0.32,1.75,3.13,3305.98,1065.17,15922.99,6.65,5.03,9.87
148.842102050781,-20.2841644287109,0.32,2.98,3.38,134.56,66.78,358.92,19.91,13.04,35.91
142.157897949219,-10.5573892593384,0.32,2.64,3.1,32.55,19.12,70.01,10.26,7.27,16.76
152.947372436523,-25.2792816162109,0.32,2.65,3.79,951.43,352.56,3847.65,12.36,8.52,20.97
137.631576538086,-33.0355453491211,0.32,3.17,4.22,6.05,4.78,8.32,3.35,2.83,4.23
153.421051025391,-27.9603595733643,0.32,1.65,3.23,5193.68,1618.08,25809.94,4.45,3.52,6.24
116.684211730957,-20.5800476074219,0.32,4.01,5.5,169.17,79.35,495.09,3,2.51,3.91
142.315780639648,-10.5056486129761,0.32,2.4,3.08,913.42,329.24,3918.93,33.68,20.94,64.59
145.473678588867,-16.4393119812012,0.32,2.18,2.9,1984.13,642.09,9879.02,42.3,23.99,95.43
153.368423461914,-29.4372825622559,0.32,1.57,3.33,13046.11,3505.84,80386.96,4.34,3.49,5.93
136.894729614258,-15.7314138412476,0.32,2.09,3.3,16.81,10.94,31.2,3.29,2.73,4.35
142.210525512695,-10.5056486129761,0.32,2.51,2.84,117.97,57.01,335.82,31.15,18.5,65.76
144.736846923828,-38.1660194396973,0.32,1.48,1.79,47.4,26.85,106.11,14.8,10.21,24.75
144.894729614258,-38.3313064575195,0.32,1.49,3.36,49.39,27.88,110.98,4.65,3.71,6.4
115.684211730957,-31.8365268707275,0.32,1.5,4.32,50.85,30.61,100.82,2.29,2.06,2.66
138.421051025391,-35.0841407775879,0.32,2.97,4.14,7.97,6.13,11.33,3.06,2.65,3.72
150.789474487305,-23.1195735931396,0.32,3.13,4.14,435.8,187.05,1407.1,9.13,6.51,14.87
144.052627563477,-38.4962158203125,0.32,2,3.03,83.06,43.97,202.93,9.41,6.76,15.07
137.789474487305,-35.041072845459,0.32,2.64,3.5,9.88,7.43,14.43,3.97,3.32,5.06
148.105270385742,-19.8392944335938,0.32,2.5,3.59,149.57,69.13,456.41,5.48,4.17,8.19
