"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.38,5.77,5.97,29.22,18.84,52.88,21.76,14.63,37.18
"NT","East Arnhem",136.368728637695,-13.844162940979,0.38,2.2,2.65,21.03,13.8,37.64,8.59,6.37,13
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.38,2.71,3.97,106.2,57.41,244.9,7.68,5.75,11.53
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.38,3.38,4.48,61.18,35.49,128.32,8.77,6.53,13.16
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.38,1.87,2.61,165,87.67,382.45,13.58,9.56,21.94
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.38,2.08,2.41,141.94,72.85,353.6,71.61,39.85,160.61
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.38,2.78,3.65,48.81,29.06,98.99,12.86,9.19,20.26
"SA","Ceduna",133.674819946289,-32.189151763916,0.38,2.61,4.87,20.86,13.64,37.6,3.78,3.17,4.81
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.38,1.71,2.3,61.26,35.38,129.58,17.06,11.77,28.18
"TAS","Burnie",145.898666381836,-41.0429649353027,0.38,2.44,3.15,202.6,99.25,537.58,39.56,23.38,82.57
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.38,1.58,4,82.34,46.38,178.89,4.12,3.41,5.34
"NT","Darwin",130.873245239258,-12.3418684005737,0.38,4.48,4.56,78.16,45.3,161.82,52.23,31.97,100.32
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.38,2.42,3.11,165.03,83.88,414.45,32.05,19.83,62.24
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.38,1.47,2.37,1421.67,540.56,5311.96,27.4,17.37,51.39
