"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.04,5.16,1.7,1.43,1.36,1.52,1.25,1.22,1.31
"NT","East Arnhem",136.368728637695,-13.844162940979,0.04,1.57,3.47,1.38,1.32,1.47,1.24,1.2,1.29
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.04,2.18,3.56,1.63,1.53,1.78,1.26,1.22,1.31
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.04,2.82,1.59,1.54,1.46,1.67,1.32,1.27,1.38
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.04,1.35,1.88,1.71,1.6,1.87,1.57,1.47,1.71
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.04,1.56,2.72,1.68,1.57,1.85,1.31,1.26,1.37
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.04,2.21,3.95,1.51,1.43,1.62,1.16,1.14,1.2
"SA","Ceduna",133.674819946289,-32.189151763916,0.04,1.97,1.74,1.38,1.32,1.46,1.35,1.3,1.42
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.04,1.15,2.41,1.54,1.46,1.67,1.47,1.39,1.59
"TAS","Burnie",145.898666381836,-41.0429649353027,0.04,1.93,3.25,1.75,1.62,1.94,1.16,1.14,1.19
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.04,1.04,3.89,1.59,1.5,1.73,1.52,1.44,1.62
"NT","Darwin",130.873245239258,-12.3418684005737,0.04,3.94,2.32,1.58,1.49,1.71,1.44,1.37,1.54
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.04,1.91,1.93,1.71,1.59,1.89,1.42,1.35,1.51
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.04,1.01,1.65,2.15,1.94,2.47,1.36,1.31,1.44
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.04,1,2.08,2.03,1.85,2.32,1.27,1.23,1.32
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.04,1.04,2.17,1.57,1.49,1.7,1.24,1.21,1.29
"NSW","Waverley",151.290802001953,-33.871639251709,0.04,1.37,2.95,1.76,1.64,1.93,1.28,1.24,1.34
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.04,2.59,2.48,1.29,1.25,1.35,1.38,1.32,1.46
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.04,2.14,3.59,1.46,1.39,1.56,1.28,1.24,1.35
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.04,2.29,2.01,1.59,1.5,1.72,1.35,1.3,1.42
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.04,2.22,2.38,1.47,1.4,1.58,1.33,1.28,1.4
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.04,1.23,4.06,1.89,1.73,2.12,1.48,1.41,1.59
"NT","Darwin",130.81266784668,-12.4085102081299,0.04,3.94,2.45,1.58,1.49,1.71,1.26,1.23,1.32
"SA","Victor Harbor",138.605804443359,-35.594554901123,0.04,1.45,2.14,1.49,1.42,1.59,1.31,1.26,1.37
"WASouth","Albany",117.89533996582,-35.1227531433105,0.04,1.05,1.73,1.69,1.58,1.86,1.54,1.46,1.67
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,0.04,1.53,2.48,1.69,1.58,1.85,1.28,1.24,1.35
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.04,1.95,2.29,1.43,1.36,1.53,1.42,1.35,1.51
"WASouth","Greater Geraldton",114.582710266113,-28.7869205474854,0.04,1,2.35,1.73,1.61,1.89,1.22,1.19,1.27
"NSW","Newcastle",151.791976928711,-32.9030685424805,0.04,1.32,1.55,1.76,1.64,1.94,1.51,1.42,1.63
"VIC","Hobsons Bay",144.897003173828,-37.8736267089844,0.04,0.99,2.58,1.82,1.68,2.02,1.39,1.32,1.48
"QLDSouth","Bundaberg",152.412872314453,-24.7567653656006,0.04,2.01,2.62,1.95,1.78,2.2,1.17,1.15,1.2
"WASouth","Bunbury",115.637229919434,-33.3057746887207,0.04,1.21,1.17,1.38,1.32,1.45,1.79,1.65,2.01
"TAS","Clarence",147.393463134766,-42.9977607727051,0.04,1.11,4.93,1.86,1.71,2.1,1.15,1.13,1.19
"WANorth","Port Hedland",118.570663452148,-20.2921123504639,0.04,3.71,3.35,1.4,1.33,1.49,1.97,1.8,2.24
"WANorth","Wyndham-East Kimberley",128.095184326172,-15.3794431686401,0.04,3.97,2.48,2.04,1.86,2.33,1.61,1.51,1.76
"QLDSouth","Brisbane",153.156661987305,-27.3602046966553,0.04,1.66,1.7,2.2,1.98,2.55,1.58,1.48,1.73
"VIC","Greater Geelong",144.419860839844,-38.2895736694336,0.04,1.03,1.55,1.68,1.57,1.84,1.5,1.42,1.62
"TAS","Burnie",145.878601074219,-41.0355949401855,0.04,1.93,2.18,1.75,1.63,1.94,1.31,1.26,1.39
"WANorth","Carnarvon",113.636138916016,-24.8981914520264,0.04,1.27,4.23,1.55,1.46,1.68,1.24,1.21,1.3
"QLDNorth","Mackay",149.22673034668,-21.1112022399902,0.04,3.69,2.67,1.41,1.34,1.49,1.29,1.24,1.34
"TAS","George Town",146.792098999023,-41.052360534668,0.04,1.92,5.8,1.72,1.6,1.89,1.38,1.33,1.46
"WANorth","Broome",122.209922790527,-17.9969673156738,0.04,5.16,2.22,1.43,1.36,1.52,1.55,1.46,1.69
"QLDNorth","Cairns",145.847991943359,-16.8677730560303,0.04,1.87,2.34,1.82,1.68,2.03,1.21,1.18,1.25
"NT","East Arnhem",136.69255065918,-12.2084197998047,0.04,2.07,2.92,1.58,1.48,1.72,1.21,1.18,1.26
"QLDNorth","Aurukun",141.797592163086,-12.6793203353882,0.04,1.89,2.74,1.36,1.3,1.44,1.52,1.43,1.63
"QLDNorth","Gladstone",151.407104492188,-23.962682723999,0.04,2.55,1.83,1.76,1.63,1.95,1.32,1.27,1.39
"NSW","Kempsey",153.09098815918,-30.9209632873535,0.04,1.28,1.74,1.98,1.81,2.22,1.38,1.32,1.46
"VIC","East Gippsland",147.9462890625,-37.9042129516602,0.04,0.89,2.81,1.93,1.76,2.19,1.44,1.37,1.55
"QLDNorth","Gladstone",151.320953369141,-23.7948703765869,0.04,2.56,2.23,1.74,1.62,1.93,1.35,1.3,1.43
"VIC","Bass Coast",145.121734619141,-38.5073280334473,0.04,1.92,3.02,1.66,1.55,1.82,1.16,1.14,1.2
"NSW","Bega Valley",149.936981201172,-37.097900390625,0.04,1.33,2.14,1.71,1.6,1.88,1.26,1.22,1.32
"NT","East Arnhem",136.425445556641,-13.8104448318481,0.04,1.54,2.29,1.42,1.35,1.51,1.43,1.36,1.52
"QLDNorth","Torres",142.110595703125,-10.6579341888428,0.04,2.18,2.09,1.45,1.38,1.55,1.26,1.23,1.32
"SA","Grant",140.672210693359,-38.0639533996582,0.04,1.02,2.37,2,1.83,2.27,1.23,1.2,1.28
"NSW","Northern Beaches",151.305068969727,-33.8254356384277,0.04,1.37,3.35,1.76,1.64,1.93,1.3,1.25,1.38
"WANorth","Karratha",116.761528015137,-20.5944957733154,0.04,3.65,2.48,1.54,1.45,1.67,1.32,1.27,1.38
"SA","Copper Coast",137.588287353516,-33.9396820068359,0.04,1.87,2.32,1.35,1.3,1.43,1.48,1.41,1.6
"TAS","Devonport",146.352432250977,-41.1579093933105,0.04,1.95,2.73,1.73,1.61,1.91,1.21,1.18,1.25
"NSW","Randwick",151.252304077148,-33.9962577819824,0.04,1.36,4.32,1.75,1.63,1.92,1.31,1.26,1.38
"QLDNorth","Mackay",149.297515869141,-21.2697410583496,0.04,3.85,2.62,1.41,1.35,1.5,1.39,1.33,1.48
"QLDNorth","Cassowary Coast",146.139678955078,-17.6090087890625,0.04,1.85,0.81,1.7,1.58,1.87,1.7,1.58,1.87
"TAS","Glamorgan-Spring Bay",148.067794799805,-42.5660400390625,0.04,1,2.92,2.02,1.84,2.3,1.37,1.31,1.45
"QLDNorth","Cassowary Coast",146.334701538086,-18.4832286834717,0.04,2.23,1.95,1.53,1.44,1.65,1.29,1.25,1.37
"WANorth","Ashburton",115.163749694824,-21.6142768859863,0.04,1.66,3.67,1.55,1.46,1.7,1.18,1.15,1.22
"WANorth","Karratha",117.169364929199,-20.5933799743652,0.04,3.68,3.21,1.46,1.39,1.58,1.18,1.16,1.22
"QLDNorth","Carpentaria",140.803146362305,-17.5088596343994,0.04,2.8,3.92,1.33,1.28,1.41,1.43,1.36,1.54
"QLDNorth","Rockhampton",150.838195800781,-23.6046981811523,0.04,2.89,2.29,2.13,1.92,2.45,1.38,1.32,1.46
"QLDSouth","Sunshine Coast",153.139892578125,-26.6974658966064,0.04,1.39,3.39,2.27,2.04,2.64,1.22,1.19,1.26
"QLDNorth","Whitsunday",148.842590332031,-20.2819118499756,0.04,2.62,2.33,1.5,1.42,1.61,1.31,1.27,1.38
"QLDNorth","Torres",142.155624389648,-10.5569248199463,0.04,2.17,2.47,1.47,1.4,1.57,1.64,1.53,1.8
"QLDSouth","Fraser Coast",152.941467285156,-25.2762908935547,0.04,2.29,2.53,1.91,1.75,2.13,1.28,1.24,1.34
"SA","Unincorporated SA",137.602798461914,-33.023551940918,0.04,2.43,2.12,1.29,1.25,1.35,1.37,1.31,1.46
"QLDSouth","Gold Coast",153.421966552734,-27.9614505767822,0.04,1.31,3.18,2.25,2.03,2.59,1.27,1.23,1.34
"WANorth","Karratha",116.678909301758,-20.5885372161865,0.04,1.67,1.89,1.52,1.43,1.65,1.51,1.42,1.64
"QLDNorth","Torres",142.315673828125,-10.5067167282104,0.04,2.11,1.98,1.56,1.47,1.68,1.64,1.53,1.8
"QLDNorth","Douglas",145.468811035156,-16.4769401550293,0.04,1.86,1.63,1.79,1.66,1.99,1.38,1.32,1.47
"NSW","Clarence Valley",153.367126464844,-29.4367237091064,0.04,1.27,2.49,1.9,1.75,2.11,1.15,1.13,1.19
"NT","Roper Gulf",136.915344238281,-15.7344379425049,0.04,1.63,2.53,1.3,1.25,1.36,1.29,1.25,1.35
"QLDNorth","Torres Strait Island",142.210647583008,-10.522177696228,0.04,2.14,1.18,1.49,1.41,1.6,1.66,1.55,1.83
"VIC","Greater Geelong",144.724807739258,-38.1704139709473,0.04,0.97,1.44,1.77,1.65,1.95,1.45,1.38,1.56
"VIC","Mornington Peninsula",144.899749755859,-38.3481216430664,0.04,1.01,2.89,1.65,1.55,1.79,1.17,1.14,1.2
"WASouth","Joondalup",115.731964111328,-31.8238124847412,0.04,1.04,2.36,1.59,1.5,1.73,1.34,1.29,1.41
"SA","Onkaparinga",138.470275878906,-35.0958251953125,0.04,2.21,4.28,1.5,1.42,1.62,1.26,1.22,1.31
"QLDNorth","Livingstone",150.760681152344,-23.1353740692139,0.04,2.82,1.54,1.54,1.46,1.66,1.57,1.48,1.72
"VIC","Surf Coast",144.035140991211,-38.4956665039062,0.04,1.56,2.6,1.68,1.57,1.85,1.33,1.28,1.4
"SA","Yorke Peninsula",137.767929077148,-35.0375442504883,0.04,1.9,3.32,1.61,1.51,1.76,1.27,1.23,1.32
"QLDNorth","Whitsunday",148.079605102539,-19.8762283325195,0.04,2.12,2.03,1.58,1.49,1.72,1.21,1.18,1.26
"WANorth","Exmouth",114.142883300781,-21.9546566009521,0.04,1.65,1.77,1.57,1.48,1.71,1.26,1.22,1.31
"NSW","Shoalhaven",150.768478393555,-35.0744934082031,0.04,1.34,1.97,1.67,1.56,1.81,1.39,1.33,1.48
"NSW","Coffs Harbour",153.156051635742,-30.3061962127686,0.04,1.43,1.26,2.07,1.89,2.35,1.77,1.63,1.98
"VIC","Moyne",142.245132446289,-38.4012489318848,0.04,1.02,2.56,1.98,1.81,2.22,1.33,1.28,1.4
"SA","Onkaparinga",138.458389282227,-35.1697807312012,0.04,2.2,3.49,1.51,1.43,1.63,1.2,1.17,1.25
"WANorth","Ashburton",115.466323852539,-20.6898097991943,0.04,1.7,0.89,1.45,1.37,1.56,1.67,1.56,1.82
"VIC","South Gippsland",146.47053527832,-38.7002143859863,0.04,1.86,5.81,2.12,1.91,2.44,1.19,1.16,1.23
"QLDNorth","Isaac",149.473999023438,-21.7463283538818,0.04,3.84,1.95,1.44,1.37,1.53,1.64,1.53,1.8
"QLDNorth","Cook",145.285095214844,-15.4928417205811,0.04,1.79,1.04,1.83,1.69,2.04,1.67,1.56,1.85
"VIC","Greater Geelong",144.635314941406,-38.1060447692871,0.04,1.01,2.68,1.84,1.7,2.05,1.23,1.2,1.29
"WANorth","Ashburton",115.375946044922,-20.6875629425049,0.04,1.61,1.5,1.78,1.65,1.98,1.39,1.33,1.47
"TAS","West Coast",145.027053833008,-41.8157424926758,0.04,1.87,3.48,2.43,2.15,2.86,1.27,1.23,1.33
"WASouth","Dundas",128.882766723633,-31.7294902801514,0.04,1.89,2.71,1.58,1.49,1.71,1.32,1.28,1.39
"SA","Kingston (SA)",139.666198730469,-36.9562568664551,0.04,1.46,1.77,1.47,1.4,1.57,1.51,1.43,1.63
"SA","Kangaroo Island",137.180358886719,-36.0086135864258,0.04,1.9,2.77,1.63,1.53,1.77,1.6,1.49,1.75
"TAS","Circular Head",145.312255859375,-40.7651710510254,0.04,1.92,3.43,1.81,1.67,2.03,1.21,1.18,1.26
"SA","Elliston",134.854675292969,-33.6464500427246,0.04,1.63,2.11,1.4,1.34,1.49,1.27,1.23,1.32
"WASouth","Mandurah",115.67813873291,-32.5906257629395,0.04,0.8,2.06,1.71,1.59,1.89,1.25,1.21,1.3
"WANorth","Shark Bay",113.513900756836,-25.9233150482178,0.04,1.31,1.9,1.43,1.36,1.53,1.47,1.39,1.59
"VIC","Greater Geelong",144.474060058594,-38.2902946472168,0.04,1.26,2.55,1.67,1.56,1.83,1.27,1.23,1.33
"SA","Port Augusta",137.763549804688,-32.6352653503418,0.04,2.45,2.1,1.27,1.24,1.33,1.38,1.32,1.46
"QLDSouth","Noosa",153.108322143555,-26.3750782012939,0.04,1.4,2.19,2.19,1.97,2.52,1.28,1.24,1.34
"SA","Unincorporated SA",132.431213378906,-32.0147438049316,0.04,1.9,5.64,1.54,1.45,1.67,1.31,1.26,1.38
"WANorth","Derby-West Kimberley",123.560806274414,-17.287561416626,0.04,5.11,2.48,1.56,1.48,1.69,1.32,1.28,1.39
"SA","Unincorporated SA",136.499649047852,-35.1658554077148,0.04,1.57,6.41,1.53,1.45,1.65,1.24,1.2,1.3
"WANorth","Derby-West Kimberley",123.719276428223,-16.1033020019531,0.04,5.16,2.17,1.43,1.37,1.52,1.2,1.17,1.25
"WANorth","Ashburton",115.097961425781,-21.6335697174072,0.04,1.66,2.09,1.56,1.47,1.71,1.27,1.24,1.33
"SA","Wattle Range",139.998825073242,-37.4942817687988,0.04,1.05,3.4,1.74,1.62,1.9,1.46,1.39,1.58
"QLDNorth","Torres",142.626602172852,-10.716986656189,0.04,2.12,0.6,1.54,1.45,1.66,1.69,1.57,1.85
"TAS","Huon Valley",147.098419189453,-43.2927169799805,0.04,1.13,3.45,1.77,1.64,1.97,1.55,1.46,1.69
"QLDNorth","Torres",142.322967529297,-10.5164833068848,0.04,2.09,1.64,1.64,1.54,1.8,1.3,1.26,1.36
"SA","Kangaroo Island",136.535095214844,-35.8576393127441,0.04,1.58,2.29,1.52,1.44,1.63,1.47,1.39,1.57
"SA","Wattle Range",139.879470825195,-37.3767509460449,0.04,1.09,1.45,1.58,1.49,1.71,1.43,1.37,1.53
"SA","Unincorporated SA",136.156509399414,-34.9915504455566,0.04,1.56,1.82,1.57,1.48,1.7,1.69,1.58,1.85
"VIC","Unincorporated Vic",146.515869140625,-38.9114189147949,0.04,1.87,3.62,1.97,1.79,2.23,1.2,1.17,1.24
"WANorth","Shark Bay",114.16576385498,-26.3805446624756,0.04,1.39,1.7,1.31,1.26,1.38,1.47,1.4,1.58
"QLDSouth","Fraser Coast",153.356964111328,-24.9777183532715,0.04,2.28,2.73,2.06,1.87,2.35,1.29,1.25,1.35
"WASouth","Rockingham",115.701889038086,-32.3069496154785,0.04,1.02,2.15,1.63,1.53,1.77,1.22,1.19,1.26
"WASouth","Nedlands",115.749351501465,-31.9685497283936,0.04,1.04,2.44,1.58,1.49,1.7,1.23,1.2,1.28
"WANorth","Exmouth",114.09871673584,-22.0990867614746,0.04,1.66,3.1,1.54,1.45,1.67,1.17,1.15,1.21
"WANorth","Ashburton",115.477195739746,-20.836986541748,0.04,1.69,1.17,1.46,1.39,1.58,1.34,1.29,1.41
"SA","Kangaroo Island",137.937957763672,-35.7128486633301,0.04,1.41,2.19,1.61,1.52,1.75,1.38,1.32,1.47
"SA","Cleve",136.576965332031,-33.9472122192383,0.04,1.78,1.79,1.54,1.46,1.67,1.51,1.44,1.62
"SA","Lower Eyre Peninsula",136.023025512695,-34.8660087585449,0.04,1.55,3.07,1.61,1.51,1.74,1.28,1.24,1.34
"SA","Whyalla",137.786407470703,-32.9926872253418,0.04,2.43,1.95,1.29,1.25,1.35,1.28,1.24,1.34
