"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.9,2.04,807654.83,814742.89,800628.43
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.9,2.33,232686.2,236275.62,229151.31
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.9,2.3,1917586.14,1939652.22,1895771.1
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.9,3.32,8813.77,8961.8,8668.18
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.9,3.32,8813.77,8961.8,8668.18
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.9,2.28,130381436.99,131504522.17,129267943.27
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.9,3.29,3539.79,3609.01,3471.9
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.9,2.62,312574185.16,314605092.64,310556388.04
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.9,2.62,312574185.16,314605092.64,310556388.04
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.9,6.49,302.85,309.64,296.22
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.9,6.49,302.85,309.64,296.22
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.9,2.4,527252.69,534402.16,520198.88
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.9,2.34,1818.58,1848.37,1789.27
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.9,3.17,12818.56,12985.18,12654.09
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.9,3.17,12818.56,12985.18,12654.09
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.9,3.03,34241.63,34674.45,33814.22
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.9,3.03,34241.63,34674.45,33814.22
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.9,1.95,18116.04,18430.32,17807.12
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.9,3.01,13079.64,13263.09,12898.74
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.9,2.1,10185.83,10408.06,9968.35
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.9,3.44,2040.85,2084.08,1998.52
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.9,3.37,3197.28,3256.97,3138.68
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.9,3.44,2040.85,2084.08,1998.52
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.9,3.81,203.06,210.64,195.75
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.9,2.4,5893.6,5993.88,5794.99
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.9,2.4,5893.6,5993.88,5794.99
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.9,3.2,5765,5867.12,5664.66
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.9,2.06,3313484.49,3346528.19,3280767.06
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.9,2.48,570575.69,579260.81,562020.8
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.9,2.88,63833.9,64846.94,62836.68
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.9,2.99,8409.35,8600.33,8222.61
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.9,2.28,231085.76,234587.09,227636.69
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.9,2.48,419254.21,424968.78,413616.49
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.9,4.96,88460.26,89375.74,87554.16
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.9,4.96,88460.26,89375.74,87554.16
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.9,3.03,44977.11,45688.29,44277.01
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.9,2.34,468356.95,474161.52,462623.44
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.9,2.18,61811.32,62475.39,61154.3
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.9,2.18,61811.32,62475.39,61154.3
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.9,2.96,578.27,596.2,560.88
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.9,2.08,19709392,19913997.94,19506888.28
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.9,2.32,10684850.4,10742544.97,10627465.69
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.9,2.18,5785.3,5840.28,5730.84
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.9,2.18,5785.3,5840.28,5730.84
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.9,2.05,206694.84,208925.07,204488.41
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.9,3.01,30684.85,31161.95,30215.06
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.9,2.06,87436.74,88384.89,86498.76
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.9,3.69,17312.26,17543.56,17084.02
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.9,2.3,32565179.91,32923524.39,32210735.69
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.9,3.34,2075.45,2121.75,2030.16
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.9,2.94,181.4,186.99,175.97
"'harvey-dvhar01-aus-bom'",27,115.6761,-32.6835,0.9,2.06,1840.41,1879.59,1802.05
"'hay_point-59511-aus-bom'",35,149.3033,-21.2683,0.9,4.95,3963.45,4037.06,3891.18
"'hillarys-132a-aus-uhslc'",28,115.738,-31.825,0.9,2.15,10529.78,10715.22,10347.56
"'hillarys-62237-aus-bom'",28,115.7386,-31.8256,0.9,2.15,10529.78,10715.22,10347.56
"'hobart-339a-aus-uhslc'",46,147.342,-42.877,0.9,2.22,43941.22,44488.46,43400.71
"'hobart-61220-aus-bom'",46,147.341,-42.8773,0.9,2.22,43941.22,44488.46,43400.71
"'home_island-46280-aus-bom'",32,96.8919,-12.1167,0.9,2.06,3313484.49,3346528.19,3280767.06
"'hovell_pile-60721-aus-bom'",27,144.8987,-38.3271,0.9,2.05,109157.63,110824.81,107515.53
"'ince_point-58140-aus-bom'",28,142.3117,-10.575,0.9,3.43,520.64,534.38,507.25
"'jervis_bay-216470-aus-bom'",27,150.7076,-35.12200281,0.9,2.28,14730899.61,14885817.35,14577594.11
"'jurien_bay-jujur01-aus-bom'",28,115.0428,-30.2872,0.9,2.06,126555.91,128419.79,124719.07
"'karumba-63580-aus-bom'",33,140.8333,-17.4917,0.9,4.17,151.7,156.32,147.21
"'lakes_entrance_inner_bullock_island-6057a-aus-bom'",33,147.9731,-37.8852,0.9,2.09,5522.75,5618.84,5428.3
"'lord_howe_island-57720-aus-bom'",36,159.0582,-31.5236,0.9,2.56,823090.51,832289.9,813992.81
"'lord_howe-399a-aus-uhslc'",36,159.067,-31.517,0.9,2.56,823090.51,832289.9,813992.81
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0.9,2.56,836124.37,845525.35,826827.91
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0.9,2.52,3252633.99,3292371.98,3213375.62
"'lucinda_offshore-59200-aus-bom'",33,146.385,-18.5217,0.9,3.35,6176.25,6287.52,6066.95
"'mackay_outer_harbour-59510-aus-bom'",48,149.2333,-21.1167,0.9,4.82,2497.1,2539.34,2455.57
"'melbourne_williamstown-60780-aus-bom'",54,144.9165,-37.8657,0.9,2.04,196449.24,198383.6,194533.73
"'melville_bay_gove_harbour-63480-aus-bom'",23,136.6717,-12.2067,0.9,3.23,4832.77,4937.99,4729.78
"'milner_bay_groote_eylandt-63511-aus-bom'",34,136.4156,-13.8601,0.9,2.94,181.4,186.99,175.97
"'mooloolaba-59950-aus-bom'",35,153.12,-26.6867,0.9,2.42,4579914.81,4626043.97,4534245.62
"'mourilyan_harbour-59140-aus-bom'",37,146.1167,-17.6,0.9,2.89,126883.81,128491.83,125295.91
"'newcastle-60310-aus-bom'",54,151.7889,-32.9238,0.9,2.3,3755525.27,3784031.28,3727234
"'onslow_beadon_creek-62470-aus-bom'",34,115.1315,-21.6497,0.9,2.66,169788.31,172060.98,167545.65
"'patonga-212440-aus-bom'",27,151.27462,-33.55098053,0.9,2.35,7731698.4,7811402.63,7652807.45
"'peel_inlet-plpee01-aus-bom'",31,115.713889,-32.592222,0.9,2.04,1846.53,1885.76,1808.13
"'perth_barrack_street_jetty-6223a-aus-bom'",29,115.8573,-31.9597,0.9,2.12,6978.93,7101.07,6858.9
