"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.04,5.29,5.84,1.61,1.51,1.77,1.33,1.28,1.42
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.04,1.76,2.21,1.47,1.39,1.6,1.29,1.24,1.37
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.04,2.24,2.56,2.18,1.94,2.58,1.58,1.47,1.74
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.04,2.85,3.86,2.14,1.93,2.48,1.32,1.26,1.4
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.04,1.34,3.03,3.41,2.84,4.42,1.19,1.16,1.23
"VIC","Surf Coast",144,-38.5785293579102,0.04,1.71,2.73,1.75,1.61,1.96,1.33,1.27,1.41
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.04,2.69,3.86,1.3,1.25,1.36,1.15,1.13,1.18
"SA","Ceduna",133.631576538086,-32.1934509277344,0.04,2.41,4.35,1.29,1.25,1.35,1.12,1.1,1.14
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.04,1.34,1.71,1.59,1.49,1.72,1.36,1.31,1.43
"TAS","Burnie",145.914001464844,-40.9999961853027,0.04,2.12,3.4,1.7,1.58,1.89,1.24,1.2,1.29
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.04,1.22,4.18,1.64,1.53,1.78,1.11,1.09,1.13
"NT","Darwin",130.845794677734,-12.2999992370605,0.04,3.95,4.85,2.41,2.14,2.85,1.26,1.22,1.32
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.04,2.13,3.5,1.6,1.49,1.76,1.26,1.21,1.32
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.04,1.2,3.03,1.8,1.67,2,1.27,1.23,1.34
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.04,1.18,1.84,1.84,1.68,2.07,1.37,1.31,1.46
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.04,1.22,4.13,1.62,1.52,1.77,1.1,1.09,1.12
"NSW","Waverley",151.315795898438,-33.8696632385254,0.04,1.37,3.53,3.26,2.74,4.17,1.16,1.14,1.19
"SA","Port Pirie",138,-33.1237258911133,0.04,3.09,4.17,1.24,1.2,1.29,1.15,1.13,1.19
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,0.04,2.63,3.56,1.29,1.25,1.35,1.17,1.14,1.2
"QLDNorth","Townsville",146.894729614258,-19.244197845459,0.04,2.36,3.39,2.02,1.82,2.34,1.29,1.24,1.37
"SA","Charles Sturt",138.473663330078,-34.8685684204102,0.04,2.71,3.64,1.29,1.25,1.35,1.17,1.14,1.2
"VIC","Queenscliffe",144.631576538086,-38.2900199890137,0.04,1.47,2.68,1.61,1.51,1.77,1.32,1.27,1.4
"NT","Darwin",130.789474487305,-12.4139251708984,0.04,3.96,4.94,2.35,2.09,2.77,1.24,1.2,1.29
"SA","Victor Harbor",138.631576538086,-35.5991897583008,0.04,1.75,2.61,1.42,1.36,1.51,1.32,1.27,1.41
"WASouth","Albany",117.894737243652,-35.1271858215332,0.04,1.24,4.02,1.65,1.55,1.79,1.14,1.12,1.16
"SA","Unincorporated SA",135.894729614258,-34.6957054138184,0.04,1.82,3.75,1.49,1.41,1.6,1.22,1.18,1.27
"WASouth","Esperance",121.894737243652,-33.8696632385254,0.04,1.34,1.71,1.59,1.49,1.72,1.36,1.31,1.43
"SA","Unincorporated SA",133.052627563477,-32.1043510437012,0.04,2.32,4.36,1.34,1.29,1.41,1.14,1.12,1.16
"WASouth","Greater Geraldton",114.57893371582,-28.7936973571777,0.04,1.12,3.05,1.9,1.73,2.16,1.21,1.18,1.26
"NSW","Newcastle",151.789474487305,-32.9031105041504,0.04,1.34,3.42,2.74,2.35,3.39,1.17,1.14,1.21
"VIC","Hobsons Bay",144.894729614258,-37.8758659362793,0.04,1.23,1.53,1.61,1.5,1.78,1.4,1.33,1.49
"QLDSouth","Bundaberg",152.421051025391,-24.754753112793,0.04,2.09,3.06,2.36,2.08,2.8,1.33,1.27,1.41
"WASouth","Bunbury",115.631576538086,-33.2998161315918,0.04,1.37,3.87,1.52,1.44,1.64,1.14,1.12,1.16
"TAS","Clarence",147.368423461914,-42.9977073669434,0.04,1.3,1.6,1.74,1.6,1.94,1.56,1.46,1.7
"WANorth","Port Hedland",118.578948974609,-20.2841644287109,0.04,3.76,5.17,1.76,1.62,1.98,1.15,1.13,1.19
"WANorth","Wyndham-East Kimberley",128.105255126953,-15.3765287399292,0.04,3.85,4.93,49515145.93,42036528.76,58504380.55,1.36,1.3,1.46
"QLDSouth","Brisbane",153.157897949219,-27.3544616699219,0.04,1.69,3.19,3.66,3.02,4.8,1.23,1.19,1.29
"VIC","Greater Geelong",144.421051025391,-38.2900199890137,0.04,1.22,2,1.67,1.55,1.85,1.39,1.32,1.48
"TAS","Burnie",145.894729614258,-41.0038528442383,0.04,2.12,3.26,1.7,1.58,1.88,1.26,1.22,1.31
"WANorth","Carnarvon",113.631576538086,-24.8980293273926,0.04,1.18,2.13,4.67,3.73,6.41,1.37,1.3,1.47
"QLDNorth","Mackay",149.263153076172,-21.1209907531738,0.04,3.65,4.63,2.29,2.03,2.7,1.3,1.25,1.38
"TAS","George Town",146.789474487305,-41.0435485839844,0.04,2.08,3.76,1.74,1.6,1.94,1.2,1.17,1.24
"WANorth","Broome",122.210517883301,-17.997501373291,0.04,5.29,5.84,1.61,1.51,1.77,1.33,1.28,1.42
"QLDNorth","Cairns",145.842102050781,-16.8426761627197,0.04,1.93,2.66,2.39,2.11,2.85,1.57,1.46,1.73
"NT","East Arnhem",136.684204101562,-12.2082605361938,0.04,2.14,2.53,2,1.81,2.3,1.54,1.44,1.68
"QLDNorth","Aurukun",141.789474487305,-12.6707773208618,0.04,2.06,3.85,1.49,1.4,1.63,1.14,1.12,1.17
"QLDNorth","Gladstone",151.421051025391,-23.9397563934326,0.04,2.59,3.53,2.52,2.21,3.03,1.37,1.31,1.47
"NSW","Unincorporated NSW",159.052627563477,-31.5230770111084,0.04,1.56,3.95,3.09,2.62,3.91,1.17,1.15,1.21
"VIC","East Gippsland",147.947357177734,-37.9173851013184,0.04,1.06,2.4,1.84,1.69,2.06,1.2,1.16,1.24
"QLDNorth","Gladstone",151.315795898438,-23.7953815460205,0.04,2.6,3.62,2.41,2.12,2.87,1.33,1.27,1.42
"VIC","Bass Coast",145.105270385742,-38.4962158203125,0.04,2.14,3.66,1.59,1.49,1.75,1.24,1.2,1.29
"NSW","Bega Valley",149.947372436523,-37.0825157165527,0.04,1.37,2.38,2.5,2.18,3.03,1.29,1.24,1.36
"NT","East Arnhem",136.421051025391,-13.7977819442749,0.04,1.65,2.14,1.66,1.54,1.85,1.33,1.27,1.41
"QLDNorth","Torres",141.894729614258,-10.6091213226318,0.04,2.38,4.08,1.65,1.53,1.84,1.16,1.13,1.19
"SA","Grant",140.684204101562,-38.0832366943359,0.04,1.2,3.94,1.83,1.69,2.03,1.19,1.16,1.23
"NSW","Northern Beaches",151.315795898438,-33.8259620666504,0.04,1.37,3.46,3.28,2.75,4.2,1.16,1.14,1.2
"WANorth","Karratha",116.736831665039,-20.5800476074219,0.04,3.75,5.21,1.82,1.67,2.06,1.15,1.12,1.19
"SA","Copper Coast",137.57893371582,-33.9133415222168,0.04,2.29,3.75,1.29,1.25,1.35,1.14,1.12,1.17
"QLDNorth","Townsville",147.105270385742,-19.2938747406006,0.04,2.24,2.56,2.18,1.94,2.57,1.58,1.47,1.74
"TAS","Devonport",146.368408203125,-41.1228675842285,0.04,2.12,3.73,1.73,1.6,1.93,1.2,1.17,1.24
"NSW","Randwick",151.263153076172,-34.0006294250488,0.04,1.36,3.57,3.26,2.74,4.17,1.16,1.13,1.19
"QLDNorth","Mackay",149.315780639648,-21.268180847168,0.04,3.82,4.87,2.25,2,2.65,1.28,1.23,1.35
"QLDNorth","Cassowary Coast",146.157897949219,-17.5966548919678,0.04,1.92,3.01,2.18,1.95,2.54,1.32,1.26,1.41
"TAS","Glamorgan-Spring Bay",148.052627563477,-42.5341911315918,0.04,1.18,1.84,1.84,1.68,2.07,1.37,1.31,1.45
"QLDNorth","Cassowary Coast",146.368423461914,-18.4972763061523,0.04,2.26,3.21,2.13,1.9,2.5,1.34,1.28,1.43
"WANorth","Ashburton",115.157897949219,-21.6110496520996,0.04,1.74,3.38,1.92,1.74,2.22,1.14,1.11,1.17
"WANorth","Karratha",117.157897949219,-20.5800476074219,0.04,3.8,5.31,1.67,1.55,1.88,1.14,1.11,1.17
"QLDNorth","Carpentaria",140.789474487305,-17.4963035583496,0.04,3.04,4.33,1.4,1.33,1.5,1.15,1.12,1.18
"QLDNorth","Rockhampton",150.842102050781,-23.602653503418,0.04,2.99,3.92,2.32,2.06,2.73,1.35,1.29,1.44
"QLDSouth","Sunshine Coast",153.157897949219,-26.6982269287109,0.04,1.47,2.85,2.75,2.39,3.35,1.27,1.22,1.33
"QLDNorth","Whitsunday",148.842102050781,-20.2841644287109,0.04,2.7,3.1,1.85,1.69,2.09,1.45,1.38,1.56
"QLDNorth","Torres",142.157897949219,-10.5573892593384,0.04,2.36,2.82,1.55,1.45,1.7,1.34,1.28,1.42
"QLDSouth","Fraser Coast",152.947372436523,-25.2792816162109,0.04,2.37,3.51,2.36,2.08,2.81,1.37,1.31,1.46
"SA","Unincorporated SA",137.631576538086,-33.0355453491211,0.04,2.89,3.94,1.25,1.22,1.3,1.16,1.14,1.2
"QLDSouth","Gold Coast",153.421051025391,-27.9603595733643,0.04,1.37,2.95,2.91,2.52,3.56,1.21,1.17,1.26
"WANorth","Karratha",116.684211730957,-20.5800476074219,0.04,3.73,5.22,1.9,1.73,2.17,1.15,1.12,1.19
"QLDNorth","Torres",142.315780639648,-10.5056486129761,0.04,2.12,2.8,2.34,2.06,2.81,1.55,1.46,1.68
"QLDNorth","Douglas",145.473678588867,-16.4393119812012,0.04,1.9,2.62,2.58,2.24,3.16,1.6,1.49,1.77
"NSW","Clarence Valley",153.368423461914,-29.4372825622559,0.04,1.29,3.05,3.27,2.77,4.1,1.2,1.17,1.25
"NT","Roper Gulf",136.894729614258,-15.7314138412476,0.04,1.81,3.02,1.42,1.35,1.54,1.16,1.13,1.2
"QLDNorth","Torres Strait Island",142.210525512695,-10.5056486129761,0.04,2.23,2.56,1.82,1.66,2.07,1.54,1.44,1.69
"VIC","Greater Geelong",144.736846923828,-38.1660194396973,0.04,1.2,1.51,1.62,1.51,1.79,1.4,1.34,1.49
"VIC","Mornington Peninsula",144.894729614258,-38.3313064575195,0.04,1.21,3.08,1.63,1.52,1.8,1.21,1.18,1.26
"WASouth","Joondalup",115.684211730957,-31.8365268707275,0.04,1.22,4.04,1.63,1.53,1.78,1.11,1.09,1.13
"SA","Onkaparinga",138.421051025391,-35.0841407775879,0.04,2.69,3.86,1.3,1.25,1.35,1.15,1.13,1.18
"QLDNorth","Livingstone",150.789474487305,-23.1195735931396,0.04,2.85,3.86,2.14,1.92,2.47,1.32,1.26,1.4
"VIC","Surf Coast",144.052627563477,-38.4962158203125,0.04,1.72,2.75,1.74,1.6,1.94,1.32,1.27,1.4
"SA","Yorke Peninsula",137.789474487305,-35.041072845459,0.04,2.36,3.22,1.33,1.28,1.4,1.19,1.16,1.22
"QLDNorth","Whitsunday",148.105270385742,-19.8392944335938,0.04,2.22,3.31,1.87,1.7,2.15,1.24,1.2,1.3
"WANorth","Exmouth",114.157897949219,-21.9531078338623,0.04,1.67,3,2.36,2.07,2.86,1.2,1.17,1.26
"NSW","Shoalhaven",150.736846923828,-35.0841293334961,0.04,1.33,3.33,3.12,2.63,3.98,1.17,1.14,1.21
"NSW","Coffs Harbour",153.157897949219,-30.3042221069336,0.04,1.45,3.23,3.54,2.95,4.57,1.2,1.17,1.24
"VIC","Moyne",142.263153076172,-38.4138069152832,0.04,1.22,2.64,1.75,1.62,1.94,1.31,1.26,1.39
"SA","Onkaparinga",138.421051025391,-35.1702117919922,0.04,2.69,3.87,1.3,1.26,1.36,1.15,1.13,1.18
"WANorth","Ashburton",115.473686218262,-20.6785373687744,0.04,1.64,3,2.72,2.36,3.31,1.21,1.17,1.27
"VIC","South Gippsland",146.473678588867,-38.7018203735352,0.04,2.01,3.06,1.98,1.81,2.24,1.28,1.23,1.34
"QLDNorth","Isaac",149.473678588867,-21.7577362060547,0.04,3.86,4.87,2.01,1.81,2.33,1.26,1.21,1.32
"QLDNorth","Cook",145.315795898438,-15.4779872894287,0.04,1.89,2.59,2.14,1.93,2.46,1.52,1.42,1.65
"VIC","Greater Geelong",144.631576538086,-38.0832366943359,0.04,1.2,1.53,1.72,1.59,1.93,1.42,1.35,1.52
NA,"Christmas Island",105.684211730957,-10.4021415710449,0.04,1.01,2.94,7.52,5.57,11.52,1.28,1.23,1.35
"TAS","West Coast",145,-41.8324203491211,0.04,2.04,5.15,1.96,1.79,2.24,1.16,1.14,1.2
"WASouth","Dundas",128.894729614258,-31.7470779418945,0.04,2.15,3.76,1.49,1.41,1.6,1.18,1.16,1.22
"SA","Kingston (SA)",139.684204101562,-36.9564933776855,0.04,1.79,4.15,1.38,1.33,1.46,1.16,1.14,1.19
"SA","Kangaroo Island",137.210525512695,-36.0258827209473,0.04,2.14,3.32,1.54,1.46,1.65,1.32,1.26,1.39
"TAS","Circular Head",145.315795898438,-40.7651672363281,0.04,2.1,3.39,1.74,1.61,1.92,1.24,1.2,1.29
"SA","Elliston",134.842086791992,-33.650936126709,0.04,1.97,4.38,1.35,1.3,1.42,1.12,1.11,1.15
"WASouth","Mandurah",115.684211730957,-32.5933265686035,0.04,1.11,4.08,1.47,1.4,1.57,1.11,1.09,1.13
"WANorth","Shark Bay",113.473686218262,-25.9435787200928,0.04,1.35,3.21,1.88,1.71,2.14,1.22,1.19,1.27
"VIC","Greater Geelong",144.473663330078,-38.2900199890137,0.04,1.45,2.5,1.65,1.54,1.83,1.34,1.29,1.43
"SA","Port Augusta",137.789474487305,-32.6376457214355,0.04,2.88,3.98,1.26,1.22,1.31,1.16,1.14,1.19
"QLDSouth","Noosa",153.105270385742,-26.3686771392822,0.04,1.47,2.75,2.69,2.34,3.26,1.31,1.26,1.38
"SA","Unincorporated SA",132.421051025391,-32.0151634216309,0.04,2.25,4.38,1.39,1.33,1.47,1.14,1.12,1.17
"WANorth","Derby-West Kimberley",123.578941345215,-17.2954330444336,0.04,5.2,5.53,1.86,1.69,2.14,1.44,1.36,1.57
"SA","Unincorporated SA",136.57893371582,-35.1702117919922,0.04,1.85,4.33,1.46,1.39,1.55,1.15,1.13,1.18
"WANorth","Derby-West Kimberley",123.736831665039,-16.0856781005859,0.04,5.2,5.96,1.89,1.72,2.15,1.24,1.2,1.31
"WANorth","Ashburton",115,-21.464204788208,0.04,1.67,3.26,2.4,2.1,2.88,1.15,1.13,1.19
"SA","Wattle Range",140,-37.5011253356934,0.04,1.25,4.07,1.68,1.57,1.83,1.18,1.15,1.22
"QLDNorth","Torres",142.631576538086,-10.7125587463379,0.04,2.1,2.92,2.55,2.22,3.1,1.5,1.42,1.63
"TAS","Huon Valley",147.105270385742,-43.3047904968262,0.04,1.31,1.55,1.72,1.59,1.93,1.58,1.47,1.75
"QLDNorth","Torres",142.421051025391,-10.4539003372192,0.04,2.11,2.79,2.45,2.15,2.96,1.58,1.49,1.73
NA,"Unincorporated SA",135.736846923828,-35.7701301574707,0.04,1.65,5.03,1.9,1.74,2.13,1.14,1.12,1.17
NA,"Robe",139.526321411133,-37.542854309082,0.04,1.17,4.38,1.93,1.77,2.16,1.16,1.14,1.19
"SA","Unincorporated SA",136.157897949219,-34.9979820251465,0.04,1.82,3.25,1.49,1.42,1.6,1.22,1.19,1.27
"VIC","Unincorporated Vic",146.526321411133,-38.9068374633789,0.04,2.05,3.01,1.82,1.67,2.04,1.29,1.25,1.35
"WANorth","Shark Bay",114.157897949219,-26.3686771392822,0.04,1.49,3.29,1.54,1.44,1.68,1.18,1.16,1.22
NA,"Fraser Coast",153.526321411133,-24.9457492828369,0.04,2.32,4.1,2.95,2.54,3.62,1.24,1.2,1.29
"WASouth","Rockingham",115.684211730957,-32.3269386291504,0.04,1.05,4.17,1.55,1.47,1.68,1.1,1.09,1.12
"WASouth","Nedlands",115.736831665039,-31.9705352783203,0.04,1.22,4.13,1.63,1.53,1.78,1.1,1.09,1.12
"WANorth","Exmouth",114.105262756348,-22.0994510650635,0.04,1.73,2.97,1.92,1.74,2.23,1.26,1.21,1.33
"WANorth","Ashburton",115.526313781738,-20.826171875,0.04,1.68,2.92,2.3,2.05,2.72,1.2,1.16,1.26
"SA","Kangaroo Island",137.947372436523,-35.684700012207,0.04,1.87,2.68,1.33,1.28,1.39,1.21,1.18,1.25
"SA","Cleve",136.578948974609,-33.9569969177246,0.04,2.18,3.22,1.35,1.3,1.42,1.18,1.15,1.22
"SA","Lower Eyre Peninsula",136.052627563477,-34.8685684204102,0.04,1.82,2.55,1.5,1.42,1.61,1.29,1.25,1.34
"SA","Whyalla",137.789474487305,-32.9914245605469,0.04,2.9,3.97,1.25,1.22,1.3,1.16,1.14,1.19
"SA","Yorke Peninsula",137.368423461914,-34.9117164611816,0.04,2.33,3.91,1.35,1.3,1.42,1.14,1.12,1.17
"QLDNorth","Mackay",149.894729614258,-21.0227813720703,0.04,3.82,4.98,2.27,2.02,2.68,1.29,1.24,1.37
"VIC","East Gippsland",148,-37.9173889160156,0.04,1.05,2.49,1.86,1.7,2.09,1.19,1.16,1.24
NA,"Mackay",150.315780639648,-20.0866088867188,0.04,3.65,5.01,2.3,2.05,2.69,1.25,1.2,1.31
"NSW","Ballina",153.631576538086,-28.8398017883301,0.04,1.37,3.06,3.59,3,4.61,1.22,1.19,1.28
"NT","Unincorporated NT",130.526321411133,-12.6194276809692,0.04,3.95,5.14,2.39,2.12,2.82,1.21,1.17,1.25
"SA","Yankalilla",138.052627563477,-35.5991897583008,0.04,1.89,2.75,1.32,1.27,1.38,1.2,1.17,1.24
"NSW","Port Stephens",152.210525512695,-32.7262115478516,0.04,1.4,3.17,2.88,2.46,3.59,1.19,1.16,1.24
"QLDNorth","Cook",144.842102050781,-14.5121669769287,0.04,1.87,2.69,2.43,2.15,2.88,1.5,1.42,1.62
"QLDNorth","Gladstone",152.473678588867,-22.001895904541,0.04,2.82,4.54,2.45,2.17,2.89,1.21,1.17,1.26
"VIC","Bass Coast",145.368408203125,-38.5785293579102,0.04,2.14,4.07,1.58,1.48,1.74,1.19,1.16,1.23
NA,"Dundas",126.052635192871,-32.3269386291504,0.04,1.37,3.22,1.54,1.45,1.66,1.18,1.16,1.22
"VIC","Mornington Peninsula",144.789474487305,-38.3313064575195,0.04,1.21,2.98,1.62,1.51,1.79,1.21,1.18,1.26
"QLDNorth","Cook",143.421051025391,-12.5680675506592,0.04,1.81,2.67,2.38,2.11,2.81,1.51,1.42,1.64
"QLDNorth","Gladstone",151.894729614258,-23.4096336364746,0.04,2.58,3.95,2.68,2.34,3.24,1.29,1.24,1.36
"VIC","Mornington Peninsula",145.052627563477,-38.4962158203125,0.04,2.13,3.89,1.6,1.49,1.76,1.22,1.18,1.27
"VIC","Kingston (Vic.)",145.105270385742,-38.0832252502441,0.04,1.26,1.59,1.55,1.46,1.71,1.36,1.3,1.44
"WANorth","Wyndham-East Kimberley",124.157897949219,-15.3257808685303,0.04,5.19,6.28,1.9,1.74,2.15,1.2,1.17,1.26
"VIC","Bass Coast",145.368408203125,-38.5373840332031,0.04,2.14,3.29,1.58,1.47,1.73,1.27,1.23,1.34
"VIC","Wyndham",144.684204101562,-38.000358581543,0.04,1.21,1.54,1.69,1.56,1.89,1.41,1.34,1.51
"VIC","Surf Coast",144.368423461914,-38.3313064575195,0.04,1.21,1.99,1.67,1.55,1.86,1.39,1.32,1.49
"SA","Elliston",134.263153076172,-33.9133415222168,0.04,1.83,4.74,1.47,1.4,1.58,1.12,1.1,1.14
"QLDNorth","Cook",143.578948974609,-13.1836938858032,0.04,1.81,2.71,2.38,2.11,2.82,1.62,1.5,1.82
"VIC","Mornington Peninsula",145,-38.2487106323242,0.04,1.21,1.55,1.62,1.51,1.79,1.38,1.32,1.47
"QLDNorth","Cook",145.473678588867,-14.6649475097656,0.04,1.87,2.76,2.45,2.16,2.91,1.54,1.45,1.69
"WASouth","Dandaragan",115,-30.3042221069336,0.04,1.11,3.82,1.99,1.81,2.26,1.15,1.13,1.18
"QLDNorth","Livingstone",150.684204101562,-21.9531078338623,0.04,2.84,4.36,2.2,1.97,2.54,1.22,1.18,1.28
"QLDNorth","Cook",143.684204101562,-13.4909391403198,0.04,1.82,2.72,2.31,2.06,2.71,1.65,1.53,1.86
"QLDNorth","Gladstone",151.368423461914,-23.8435211181641,0.04,2.6,3.54,2.48,2.18,2.97,1.36,1.3,1.46
"SA","Franklin Harbour",136.894729614258,-33.7822418212891,0.04,2.24,3.37,1.32,1.27,1.38,1.16,1.14,1.19
"WANorth","Broome",122.894737243652,-16.3888320922852,0.04,5.18,6.41,1.98,1.8,2.26,1.18,1.15,1.23
"QLDNorth","Palm Island",146.736846923828,-18.7964363098145,0.04,2.26,3.25,2.1,1.88,2.46,1.33,1.27,1.42
"VIC","Greater Geelong",144.578948974609,-38.0832252502441,0.04,1.19,1.51,1.76,1.62,1.97,1.43,1.36,1.53
"NT","Roper Gulf",136.526321411133,-15.528697013855,0.04,1.78,3.04,1.45,1.37,1.57,1.15,1.13,1.19
"VIC","Mornington Peninsula",144.684204101562,-38.2900199890137,0.04,1.16,2.42,1.65,1.53,1.82,1.31,1.26,1.39
"VIC","Mornington Peninsula",144.736831665039,-38.2900199890137,0.04,1.16,2.94,1.66,1.54,1.84,1.21,1.18,1.26
"VIC","Bayside (Vic.)",145,-38.000358581543,0.04,1.23,1.56,1.59,1.49,1.76,1.38,1.32,1.47
"VIC","Port Phillip",144.947357177734,-37.8758659362793,0.04,1.23,1.54,1.6,1.49,1.77,1.4,1.33,1.49
"NT","Roper Gulf",135.736846923828,-14.3082876205444,0.04,1.91,2.88,1.34,1.28,1.44,1.18,1.15,1.22
"QLDNorth","Torres",143.263153076172,-9.72852039337158,0.04,2.12,2.72,2.38,2.11,2.83,1.64,1.52,1.81
"SA","Port Augusta",137.842102050781,-32.7262115478516,0.04,2.89,3.99,1.25,1.22,1.31,1.16,1.13,1.19
"WANorth","Karratha",115.526313781738,-20.3828601837158,0.04,1.63,3.53,2.97,2.52,3.73,1.15,1.12,1.19
"QLDNorth","Douglas",145.526321411133,-16.3888320922852,0.04,1.9,2.62,2.66,2.3,3.27,1.6,1.49,1.77
"NT","East Arnhem",135.157897949219,-12.2082605361938,0.04,2.15,2.9,1.97,1.78,2.25,1.31,1.26,1.39
"TAS","Circular Head",144.736846923828,-40.4455947875977,0.04,2.01,4.12,2.15,1.92,2.53,1.25,1.21,1.31
NA,"King Island",144.157897949219,-40.0842666625977,0.04,1.64,2.93,2.08,1.87,2.41,1.34,1.29,1.43
NA,"Cook",145.789474487305,-15.6807527542114,0.04,1.85,3.1,2.47,2.17,2.94,1.38,1.31,1.48
