"state","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"SA",138.473678588867,-34.782169342041,1,3.59,4.52,585.75,261.17,1728.33,46.12,28.05,90.3
"QLDNorth",146.894729614258,-19.244197845459,1,3.32,4.35,43657112.25,3210650.29,1785355195.79,609.56,221.45,2677.39
"SA",138.473663330078,-34.8685684204102,1,3.67,4.6,580.59,259.23,1709.74,46.04,28.01,90.05
"VIC",144.631576538086,-38.2900199890137,1,2.43,3.64,152387.78,27809.17,1645473.04,1062.87,375.68,4680.63
"NT",130.789474487305,-12.4139251708984,1,4.92,5.9,1924643874.42,99790756.98,115264929900.36,212.27,97.73,632.48
"SA",138.631576538086,-35.5991897583008,1,2.71,3.57,6419.45,2115.81,28375.35,1124.16,393.75,5017.28
"WASouth",117.894737243652,-35.1271858215332,1,2.2,4.98,284521.63,60745.91,2204912.38,25.23,16.75,43.65
"SA",135.894729614258,-34.6957054138184,1,2.78,4.71,20874.56,5674.69,121904.75,141.13,69.51,380.66
"WASouth",121.894737243652,-33.8696632385254,1,2.3,2.67,104902.24,23047.81,818091.85,2116.44,808.42,7654.43
"SA",133.052627563477,-32.1043510437012,1,3.28,5.32,1465.88,588.36,4954.71,25.22,16.5,44.84
"WASouth",114.57893371582,-28.7936973571777,1,2.08,4.01,9538242.71,949408.6,242705714.55,119.22,60.85,303.99
"NSW",151.789474487305,-32.9031105041504,1,2.3,4.38,85791141594.11,1987688813.53,18462492760836.6,50.36,28.16,115.06
"VIC",144.894729614258,-37.8758659362793,1,2.19,2.49,145938.54,24630.91,1848548.94,4379.72,1338.46,22869.82
"QLDSouth",152.421051025391,-24.754753112793,1,3.05,4.02,2008254600.49,93028975.98,149156590455.85,1150.99,382.52,5715.27
"WASouth",115.631576538086,-33.2998161315918,1,2.33,4.83,34572.55,8795.3,220910.5,24.89,16.17,44.84
"TAS",147.368423461914,-42.9977073669434,1,2.26,2.56,974924.4,132242.11,16236223.49,66552.96,13663.57,609562.77
"WANorth",118.578948974609,-20.2841644287109,1,4.72,6.13,1426345.11,180649.42,26367289.3,35.8,20.18,83.23
"WANorth",128.105255126953,-15.3765287399292,1,4.81,5.89,2.33588567517759e+192,3.89646837046451e+190,1.51254962787536e+194,2131.63,649.84,11922.58
"QLDSouth",153.157897949219,-27.3544616699219,1,2.65,4.15,120523837609367,1000168383862.09,108455401070876256,171.06,76.48,552.2
"VIC",144.421051025391,-38.2900199890137,1,2.18,2.96,346582.48,54466.08,4698791.61,3456.74,1030.82,19326.3
"TAS",145.894729614258,-41.0038528442383,1,3.08,4.22,552289.88,88305.94,6979930.35,304.64,136.73,927.13
"WANorth",113.631576538086,-24.8980293273926,1,2.14,3.09,53184258958526352,191844887989639,1.50182125682632e+20,2459.02,712.28,15104.06
"QLDNorth",149.263153076172,-21.1209907531738,1,4.61,5.59,983887062.08,50480625.32,63324802208.98,710.72,258.4,3067.82
"TAS",146.789474487305,-41.0435485839844,1,3.04,4.72,977885.74,133993.27,15958722.3,94.67,50.41,226.32
"WANorth",122.210517883301,-17.997501373291,1,6.25,6.8,151325.38,28930.37,1494076.78,1322.71,442.43,6390.81
"QLDNorth",145.842102050781,-16.8426761627197,1,2.89,3.62,2944105370.98,129761803.02,233788610397.32,74968.86,13671.99,862034.23
"NT",136.684204101562,-12.2082605361938,1,3.1,3.49,32457381.57,2659837.02,1096475909.58,47278.66,9546.31,460711.7
"QLDNorth",141.789474487305,-12.6707773208618,1,3.02,4.81,22253.8,4719.58,210506.62,25.13,15.72,48.7
"QLDNorth",151.421051025391,-23.9397563934326,1,3.55,4.49,10717613789.53,390247838.77,1116025542203.88,2757.81,812.14,16162.45
"NSW",159.052627563477,-31.5230770111084,1,2.52,4.91,1833820940235.34,29717462467.04,619486699586669,54.15,30.17,123.88
"VIC",147.947357177734,-37.9173851013184,1,2.02,3.36,4134797.84,516768.21,72238633.53,88.19,45.23,228.32
"QLDNorth",151.315795898438,-23.7953815460205,1,3.56,4.58,3392616445.42,148190983.22,271101098667.82,1262.94,423.28,6104.29
"VIC",145.105270385742,-38.4962158203125,1,3.1,4.62,111830.25,20246.84,1258562.39,206.6,93.34,640.78
"NSW",149.947372436523,-37.0825157165527,1,2.33,3.34,8898066670.29,295450584.23,1131550067734.85,574.71,222.37,2226.4
"NT",136.421051025391,-13.7977819442749,1,2.61,3.1,309002.65,46220.16,4674393.05,1211.82,422.65,5418.89
"QLDNorth",141.894729614258,-10.6091213226318,1,3.34,5.04,265883.77,40534.93,3922679.61,37.51,22.45,76.74
"SA",140.684204101562,-38.0832366943359,1,2.16,4.9,3547057.81,508487.3,48545688.31,77.19,41.97,180.05
"NSW",151.315795898438,-33.8259620666504,1,2.33,4.42,7594100464968.14,95495195210.46,3772111620197945,45.32,27.08,91.77
"WANorth",116.736831665039,-20.5800476074219,1,4.71,6.17,3257491.92,378470.11,66708131.25,31.97,18.22,73.48
"SA",137.57893371582,-33.9133415222168,1,3.25,4.71,598.29,255.09,1913.09,27.24,17.34,50.69
"QLDNorth",147.105270385742,-19.2938747406006,1,3.2,3.52,283299273.36,15654203.14,17484405547.2,91446.91,16403.19,1067817.2
"TAS",146.368408203125,-41.1228675842285,1,3.08,4.69,934678.87,132293.06,14365097.01,90.13,48.79,209.6
"NSW",151.263153076172,-34.0006294250488,1,2.32,4.53,6607114789524.32,85125656500.35,3163738959108512,37.57,22.6,76.15
"QLDNorth",149.315780639648,-21.268180847168,1,4.78,5.83,638476456.47,35051626.18,37255752896.39,461.37,179.42,1806.17
"QLDNorth",146.157897949219,-17.5966548919678,1,2.88,3.97,281503703.57,17495557.71,13752319245.29,1028.78,338.94,5267.42
"TAS",148.052627563477,-42.5341911315918,1,2.14,2.8,3951586.91,453147.64,81747609.25,2472.02,824.65,11381.66
"QLDNorth",146.368423461914,-18.4972763061523,1,3.22,4.17,158302307.29,9214395.3,9267048301.51,1411.36,437.37,7966.31
"WANorth",115.157897949219,-21.6110496520996,1,2.7,4.34,12365536,989954.57,478339439.11,24.64,14.58,53.76
"WANorth",117.157897949219,-20.5800476074219,1,4.76,6.27,395014.18,53969.73,7038904.79,24.46,14.57,52.62
"QLDNorth",140.789474487305,-17.4963035583496,1,4,5.29,4206.2,1191.63,25643.05,30.32,18.39,61.47
"QLDNorth",150.842102050781,-23.602653503418,1,3.95,4.88,1332255064.9,68436451.79,83515896761.1,1857.99,603.71,9229.72
"QLDSouth",153.157897949219,-26.6982269287109,1,2.43,3.81,99497440183.19,2888584478.03,13530912642309.6,372.21,155.72,1279.75
"QLDNorth",148.842102050781,-20.2841644287109,1,3.66,4.06,4496166.87,503449.66,96461164.53,11466.37,3057.36,72429.28
"QLDNorth",142.157897949219,-10.5573892593384,1,3.32,3.78,53302.32,10112.13,583628.42,1446.99,492.51,6690.92
"QLDSouth",152.947372436523,-25.2792816162109,1,3.33,4.47,2029674915.34,91226365.49,159859153466.24,2587.36,808.92,13490.55
"SA",137.631576538086,-33.0355453491211,1,3.85,4.9,277.31,132.85,751.34,43.75,25.86,90.68
"QLDSouth",153.421051025391,-27.9603595733643,1,2.33,3.91,408186699092.03,10668934030.03,61211661313450.5,105.87,51.15,304.77
"WANorth",116.684211730957,-20.5800476074219,1,4.69,6.18,9193528.85,863210.97,263564793.3,30.98,17.75,70.65
"QLDNorth",142.315780639648,-10.5056486129761,1,3.08,3.76,1786851610.18,73660232.56,169296474953.41,59290.39,13430.16,453620.3
"QLDNorth",145.473678588867,-16.4393119812012,1,2.86,3.58,20179423757.7,593944852.46,3044254759186.14,120849.01,20534.89,1536347.93
"NSW",153.368423461914,-29.4372825622559,1,2.25,4.01,7259026598001.01,119529102908.36,2131596861837822,98.33,49.66,260.09
"NT",136.894729614258,-15.7314138412476,1,2.77,3.98,6763.31,1764.73,46699.24,41.5,22.96,98.83
"QLDNorth",142.210525512695,-10.5056486129761,1,3.19,3.52,2980803.7,307202.52,78356703.34,46452.69,9122.43,479866.08
"VIC",144.736846923828,-38.1660194396973,1,2.16,2.47,172478.53,29192.03,2140219.36,4543.86,1420.91,22636.63
"VIC",144.894729614258,-38.3313064575195,1,2.17,4.04,196192.89,32833.38,2462520.78,121.82,60.25,329.87
"WASouth",115.684211730957,-31.8365268707275,1,2.18,5,214824.67,43968.01,1824337.82,13.39,9.54,21.17
"SA",138.421051025391,-35.0841407775879,1,3.65,4.82,657.02,289.44,1967.9,33.03,20.99,60.92
"QLDNorth",150.789474487305,-23.1195735931396,1,3.81,4.82,176920772.65,12584643.76,6894775358.06,1002.71,348.25,4602.94
"VIC",144.052627563477,-38.4962158203125,1,2.68,3.71,995760.28,136403.58,16235493.05,1103.38,391.47,4805.9
"SA",137.789474487305,-35.041072845459,1,3.32,4.18,1282.58,526.57,4195.28,74.56,42.64,158.54
"QLDNorth",148.105270385742,-19.8392944335938,1,3.18,4.27,6257926.37,561088.86,204406389.89,203.87,86.93,714.84
"WANorth",114.157897949219,-21.9531078338623,1,2.63,3.96,2082338879.42,75152995.6,255936825693.05,99.85,47.09,304.79
"NSW",150.736846923828,-35.0841293334961,1,2.29,4.29,2243842642948.49,31260962551.87,1010316993414208,47.19,26.62,106.54
"NSW",153.157897949219,-30.3042221069336,1,2.41,4.19,53955544306645.2,570534194165.19,32064964556725064,88.86,45.54,230.22
"VIC",142.263153076172,-38.4138069152832,1,2.18,3.6,1163450.16,179728.33,14894063.32,880.15,315.9,3822.28
"SA",138.421051025391,-35.1702117919922,1,3.65,4.83,691.55,302.06,2097.11,33.01,20.97,60.93
"WANorth",115.473686218262,-20.6785373687744,1,2.6,3.96,71367989872.44,2048790077.86,10176334128571.3,120.42,54.14,399.83
"VIC",146.473678588867,-38.7018203735352,1,2.97,4.02,25302080.66,2593032.29,566750795.6,451.51,194.38,1445.56
"QLDNorth",149.473678588867,-21.7577362060547,1,4.82,5.83,37696028.88,2804702.2,1525590909.68,293.55,120,1083.21
"QLDNorth",145.315795898438,-15.4779872894287,1,2.85,3.55,178773784.88,13469662.95,6239346744.84,32460.31,6899.37,294852.13
"VIC",144.631576538086,-38.0832366943359,1,2.16,2.49,828834.48,111116.88,14326925.23,6122.55,1818.86,32917.91
NA,105.684211730957,-10.4021415710449,1,1.97,3.9,7.95661384204632e+21,4400760810615091200,3.4434321039521e+26,446.86,173.98,1750.65
"TAS",145,-41.8324203491211,1,3,6.11,20813373.44,1972196.43,548386433,42.51,24.88,89.94
"WASouth",128.894729614258,-31.7470779418945,1,3.11,4.72,21572.15,5856.12,126042.49,67.3,37.97,147.77
"SA",139.684204101562,-36.9564933776855,1,2.75,5.11,3299.12,1182.75,13031.3,39.46,23.99,78.06
"SA",137.210525512695,-36.0258827209473,1,3.1,4.28,47308.05,12293.61,285542.99,949.12,348.41,3911.63
"TAS",145.315795898438,-40.7651672363281,1,3.06,4.35,978975.89,154711.8,12151169.95,217.13,101.25,629.8
"SA",134.842086791992,-33.650936126709,1,2.93,5.34,1891.25,719.73,6930.62,18.9,12.68,32.68
"WASouth",115.684211730957,-32.5933265686035,1,2.07,5.04,15385.2,4457.68,81501.28,13.01,9.34,20.35
"WANorth",113.473686218262,-25.9435787200928,1,2.31,4.17,7075249.73,688776.12,192981061.03,159.51,79.18,419.75
"VIC",144.473663330078,-38.2900199890137,1,2.41,3.46,287390.09,46488.23,3737117.21,1596.43,533.55,7592.63
"SA",137.789474487305,-32.6376457214355,1,3.84,4.94,298.81,141.32,825.01,39.68,23.99,79.3
"QLDSouth",153.105270385742,-26.3686771392822,1,2.43,3.71,54778549032.42,1705189850.97,6812406236357.68,806.31,301.42,3249.68
"SA",132.421051025391,-32.0151634216309,1,3.21,5.34,3777.93,1340.55,15082.63,28.9,18.5,53.04
"WANorth",123.578941345215,-17.2954330444336,1,6.16,6.49,5776855.48,515473.43,192137871.24,8892.97,2024.48,79793.35
"SA",136.57893371582,-35.1702117919922,1,2.81,5.29,12272.31,3739.5,60162.57,32.46,20.22,62.21
"WANorth",123.736831665039,-16.0856781005859,1,6.16,6.92,8253974.44,821669.25,212489332.28,223.22,90.54,864.81
"WANorth",115,-21.464204788208,1,2.63,4.22,3057884641.68,118464074.94,313097501718.3,34.72,19.39,82.65
"SA",140,-37.5011253356934,1,2.21,5.03,404907.43,80407.75,3498967.29,59.7,33.82,131.12
"QLDNorth",142.631576538086,-10.7125587463379,1,3.06,3.88,14572428641.57,459847161.99,1965906746041.75,26408.55,6254.02,196878.25
"TAS",147.105270385742,-43.3047904968262,1,2.27,2.51,754046.21,101944.01,12922191.71,95008.84,15925.08,1272478.77
"QLDNorth",142.421051025391,-10.4539003372192,1,3.07,3.75,5461940270.32,199474773.42,598424120607.1,99420.92,20805.91,851887.71
NA,135.736846923828,-35.7701301574707,1,2.61,5.99,8852833.36,1052002.09,161411919.76,25.13,16.05,46.77
NA,139.526321411133,-37.542854309082,1,2.13,5.34,12946011.7,1517965.87,236097220.94,41.86,25.13,84.46
"SA",136.157897949219,-34.9979820251465,1,2.78,4.21,21203.33,5909.63,118210.41,155.2,78.29,396.94
"VIC",146.526321411133,-38.9068374633789,1,3.01,3.97,3181205.59,398164.08,56483896.56,588.8,250.84,1887.62
"WANorth",114.157897949219,-26.3686771392822,1,2.45,4.25,46523.26,9469.17,446722.65,68.75,38.39,153.63
NA,153.526321411133,-24.9457492828369,1,3.28,5.06,561044808635.39,13815605377.15,92092962713513,197.6,89.34,614.44
"WASouth",115.684211730957,-32.3269386291504,1,2.01,5.13,59737.63,14370.77,408702.51,11.9,8.62,18.41
"WASouth",115.736831665039,-31.9705352783203,1,2.18,5.09,197986,40175.04,1716548.53,11.97,8.63,18.65
"WANorth",114.105262756348,-22.0994510650635,1,2.69,3.93,12884183.32,1008745.28,520134071.02,315.5,124.25,1251.84
"WANorth",115.526313781738,-20.826171875,1,2.64,3.88,1156476009.62,60383949.24,71010382839.57,96.79,44.74,310.34
"SA",137.947372436523,-35.684700012207,1,2.83,3.64,1167.97,482.11,3803.57,116.32,61.3,279.49
"SA",136.578948974609,-33.9569969177246,1,3.14,4.18,1910.51,741.79,6749.89,62.77,36.58,130.38
"SA",136.052627563477,-34.8685684204102,1,2.78,3.51,24101.15,6555.61,139358,543.79,239.57,1647
"SA",137.789474487305,-32.9914245605469,1,3.86,4.93,276.62,132.39,750.9,40.73,24.34,83.05
"SA",137.368423461914,-34.9117164611816,1,3.29,4.87,1803.3,686.61,6621.07,28.97,18.66,52.53
"QLDNorth",149.894729614258,-21.0227813720703,1,4.78,5.94,819117028.64,43307344.42,50440924386.74,580.52,217.06,2411.4
"VIC",148,-37.9173889160156,1,2.01,3.45,5164014.52,620555.41,95667528.4,84.43,43.44,218.05
NA,150.315780639648,-20.0866088867188,1,4.61,5.97,1066735744.64,60274491.46,56596611996.86,241.63,101.64,856.54
"NSW",153.631576538086,-28.8398017883301,1,2.33,4.02,76193832634424,845057585079.91,40136756925167136,153.57,72.31,449.92
"NT",130.526321411133,-12.6194276809692,1,4.91,6.1,2815417792.71,135893406.99,188045696007.91,109.29,55.18,286.57
"SA",138.052627563477,-35.5991897583008,1,2.85,3.71,995.28,415.76,3201.74,93.86,50.85,217.27
"NSW",152.210525512695,-32.7262115478516,1,2.36,4.13,300675328271.03,6186859263.7,73570518449746,85.77,44.34,219.1
"QLDNorth",144.842102050781,-14.5121669769287,1,2.83,3.65,4492146427.52,211305139.16,304594686599.48,24900.55,6140.22,172478.22
"QLDNorth",152.473678588867,-22.001895904541,1,3.78,5.5,5108580002.9,247621272.86,324325967726.45,108.18,53.64,294.51
"VIC",145.368408203125,-38.5785293579102,1,3.1,5.03,97173.19,17900.03,1069273.9,78.83,41.66,194.07
NA,126.052635192871,-32.3269386291504,1,2.33,4.18,48621.81,11648.83,339540.29,66.92,37.99,145.23
"VIC",144.789474487305,-38.3313064575195,1,2.17,3.94,184796.29,32140.54,2159272.89,130.01,64.72,345.64
"QLDNorth",143.421051025391,-12.5680675506592,1,2.77,3.63,2531936871.92,121444496.62,172546106332.06,30772.06,6919.68,250830.86
"QLDNorth",151.894729614258,-23.4096336364746,1,3.54,4.91,50576930550.69,1669672444.44,5651757337631.61,570.31,219.91,2226.51
"VIC",145.052627563477,-38.4962158203125,1,3.09,4.85,124734.76,22313.97,1424437.76,137.44,66.33,386.85
"VIC",145.105270385742,-38.0832252502441,1,2.22,2.55,61461.13,12047.53,621237.16,2053.84,716.57,8796.32
"WANorth",124.157897949219,-15.3257808685303,1,6.15,7.24,9648294.82,1063095.47,201542772.97,105.19,49.72,317.62
"VIC",145.368408203125,-38.5373840332031,1,3.1,4.25,88619.74,16516.72,960156.2,430.47,171.83,1607.03
"VIC",144.684204101562,-38.000358581543,1,2.17,2.5,500026.45,70970.52,8055709.92,5421.93,1631.32,28707.17
"VIC",144.368423461914,-38.3313064575195,1,2.17,2.95,380139.38,58825,5273121.47,3703.44,1091.45,21075.24
"SA",134.263153076172,-33.9133415222168,1,2.79,5.7,16298.64,4733.14,85691.47,16.45,11.35,27.27
"QLDNorth",143.578948974609,-13.1836938858032,1,2.77,3.67,2726076499.85,134846158.68,174136809300.34,184648.17,27342.7,3001482.11
"VIC",145,-38.2487106323242,1,2.17,2.51,176326.29,29707,2203938.97,3192.73,1048.42,14865.55
"QLDNorth",145.473678588867,-14.6649475097656,1,2.83,3.72,5205195608.81,231095256.74,389950606007.7,52290.1,10293.57,531638.91
"WASouth",115,-30.3042221069336,1,2.07,4.78,29091916.8,2846648.32,703872423.91,35.7,22.01,69.3
"QLDNorth",150.684204101562,-21.9531078338623,1,3.8,5.32,345983120.87,23853979.29,13633505650.97,148.77,68.76,454.16
"QLDNorth",143.684204101562,-13.4909391403198,1,2.78,3.68,1253332643.16,70734143.39,65874907509.03,286865.31,38933.09,5360241.42
"QLDNorth",151.368423461914,-23.8435211181641,1,3.56,4.5,7152025700.26,277205666.51,680568521550.67,2381.75,723.58,13271.38
"SA",136.894729614258,-33.7822418212891,1,3.2,4.33,1008.45,422.76,3221.13,43.54,26.58,84.94
"WANorth",122.894737243652,-16.3888320922852,1,6.14,7.37,24990822.91,2277868.55,699929574.95,60.82,31.42,160.98
"QLDNorth",146.736846923828,-18.7964363098145,1,3.22,4.21,114320435.16,7153821.9,5948514897.24,1146.87,367.55,6159.46
"VIC",144.578948974609,-38.0832252502441,1,2.15,2.47,1295761.61,163367.46,24371866.69,7296.19,2110.19,40765.23
"NT",136.526321411133,-15.528697013855,1,2.74,4,10022.3,2440.55,76876.42,35.37,19.93,82.39
"VIC",144.684204101562,-38.2900199890137,1,2.12,3.38,257588,43756.46,3069254.69,826.78,303.6,3446.84
"VIC",144.736831665039,-38.2900199890137,1,2.12,3.9,309504.16,49874.69,4030372.19,128.62,64.41,338.28
"VIC",145,-38.000358581543,1,2.19,2.52,113554.02,19972.66,1353017.47,3136.2,1019.47,14908.36
"VIC",144.947357177734,-37.8758659362793,1,2.19,2.5,129544.76,22240.92,1602081.11,4166.14,1281.99,21548.71
"NT",135.736846923828,-14.3082876205444,1,2.87,3.84,1609.43,502.54,8809.15,58.69,30.79,150.85
"QLDNorth",143.263153076172,-9.72852039337158,1,3.08,3.68,2680486567.63,122427009.92,200004979243.65,226744.31,37895.84,2818712.02
"SA",137.842102050781,-32.7262115478516,1,3.85,4.95,287.26,136.64,786.78,38.88,23.56,77.45
"WANorth",115.526313781738,-20.3828601837158,1,2.59,4.49,632789709151.37,11298264557.49,193000871361312,32.57,18.65,74
"QLDNorth",145.526321411133,-16.3888320922852,1,2.86,3.58,40407449648.9,1065926611.13,7151334302548.25,119019.59,20360.98,1494387.57
"NT",135.157897949219,-12.2082605361938,1,3.11,3.86,21661278.41,1898254.71,662615139.01,831.52,302.63,3528.25
"TAS",144.736846923828,-40.4455947875977,1,2.97,5.08,208311018.31,12037453.63,12069985324.95,268.61,122.4,801.45
NA,144.157897949219,-40.0842666625977,1,2.6,3.89,88309182.5,6210918.86,3716458639.93,1609.13,550.79,7290.17
NA,145.789474487305,-15.6807527542114,1,2.81,4.06,6259852953.94,259098067.68,529498889093.3,3076.38,933.02,16795.78
NA,150.368408203125,-20.5307750701904,1,4.65,5.99,47868110.89,4010024.5,1501951886.23,380.81,157.93,1329.96
"VIC",145.263153076172,-38.5373840332031,1,3.1,4.55,114840.31,20566.57,1317986.83,215.13,96.4,675.95
NA,141.368408203125,-14.5121669769287,1,2.94,4.5,156357.42,23405.89,2527910.94,38.41,22.86,79.31
"WANorth",121.947364807129,-18.3974285125732,1,6.17,7.05,3576460.49,458324.21,60205101.52,232.94,96.86,849.87
"VIC",144.842086791992,-37.9173851013184,1,2.18,2.49,176196.61,28949.39,2317182.73,4505.3,1376.2,23495.17
"WASouth",116,-34.8685684204102,1,2.26,5.1,50926.81,12901.07,320360.4,25.61,17.07,44
NA,149.947372436523,-16.2878265380859,1,2.85,4.88,2848252590.8,136707427.26,192139882500.24,42.03,22.88,103.5
NA,148.684204101562,-19.4428100585938,1,3.17,4.54,7963593.18,741398.56,235259195.97,194.72,84.51,660.63
"SA",138.210525512695,-35.4707260131836,1,2.85,3.94,1029.1,427.17,3341.87,51.78,30.65,105.74
"VIC",144.842086791992,-38.3313064575195,1,2.18,3.92,130643.53,23645.12,1451917.97,152.46,73.32,428.23
"WANorth",114.157897949219,-21.8066101074219,1,2.58,4.09,591264512715.7,9447567876.52,227729108555503,65.3,33.17,177.98
NA,142.526321411133,-9.62476348876953,1,3.16,3.77,10425745.82,985001.98,292009213.38,19513.05,5261.76,116170.45
"WANorth",128.789474487305,-14.766752243042,1,4.96,6.21,18376014749099.4,133909099687.33,26190870290168476,216.04,94.61,711.53
"WASouth",116.736839294434,-35.041072845459,1,2.27,4.94,35601.21,9689.31,201080.66,25.24,16.78,43.57
NA,140.210525512695,-15.3765287399292,1,3.88,5.43,45075.84,8297.55,534902.65,39.69,23.22,84.6
"QLDNorth",139.157897949219,-16.7419166564941,1,4,5.04,3786.96,1050.84,24353.62,78.79,40.46,205.63
"QLDNorth",142.157897949219,-10.2468156814575,1,3.27,3.79,141392.57,23963.3,1780967.57,1102.35,398.54,4624.26
"WANorth",116.947364807129,-20.6785373687744,1,4.79,6.15,132670.95,21570.88,1831540.47,29.12,16.88,65.2
"QLDNorth",145.947357177734,-16.7419147491455,1,2.88,3.62,4080857165.95,175560644,331063956807.49,86444.98,15413.63,1027264.17
"WASouth",115.684211730957,-32.2379684448242,1,2.2,5.35,105173.91,23012.04,826341.03,11.6,8.43,17.88
NA,148.473678588867,-17.7470703125,1,3.17,5.09,2668182892.63,130048020.9,175607528355.96,47.04,25.03,120.29
"NT",135.684204101562,-11.8994636535645,1,3.09,4.13,71197393.16,4820859.24,3294433337.66,363.69,151.89,1257.52
NA,126.842102050781,-10.1432237625122,1,4.85,5.61,8798751093437.52,148183838798.82,2440877486759963,101877.37,20241.37,962132.39
"QLDNorth",142.105255126953,-10.9709968566895,1,3.26,5.02,30804.59,6730.3,265906,28.44,17.56,55.97
"WASouth",115,-34.2619590759277,1,2.35,5.35,21654.02,6315.52,111190.34,20.39,13.87,34.22
"QLDNorth",143.052627563477,-10.0914154052734,1,3.04,3.77,383149359154.07,8042582056.29,88263578457184.1,356653.59,56987.7,4668204.94
"WANorth",119.789474487305,-19.9382705688477,1,4.71,5.81,2427542.59,334615.77,36593403.47,73.25,36.5,205.45
"WANorth",122.210525512695,-17.0943374633789,1,6.19,7.24,1901797.72,254256.69,30911653.34,103.49,48.38,320.7
"QLDNorth",146.631576538086,-18.2475681304932,1,3.2,4.38,1102439679.52,48937876.95,93880438415.31,899.27,297,4650.28
"SA",137.57893371582,-33.2998161315918,1,3.83,4.9,326.89,151.85,927.65,43.25,25.66,89.05
"SA",137.789474487305,-34.9979820251465,1,3.32,3.75,1248.45,514.36,4064.36,261.49,126.59,697.5
"WANorth",123.315788269043,-17.0943374633789,1,6.16,6.5,6624733.11,564572.5,239413920.77,9417.56,2085.63,89201.43
"QLDNorth",142.684204101562,-10.9193267822266,1,3.07,3.84,9044139044.91,324467789.39,983402154894.48,79425.2,15778.6,765014.92
"QLDNorth",139.578948974609,-17.0943374633789,1,4.1,5.24,1182.49,396.2,5756.28,38,21.84,84.32
"WANorth",123.157897949219,-16.3888320922852,1,6.1,6.93,350072186.07,20961230.61,18080065040.96,282.24,113.34,1086.9
"WANorth",116.052635192871,-20.826171875,1,2.67,4.12,104233918.27,7852481.02,3784375282.21,37.99,20.97,91.82
"QLDSouth",153.526321411133,-28.146110534668,1,2.29,4.12,2559954306588.56,48265018944.96,626321652020375,63.36,33.25,161.45
"QLDNorth",142.736846923828,-10.9193229675293,1,3.06,3.83,24773815986.06,748984344.23,3478351145644.42,99796.2,19268.95,997990.9
"WANorth",113.473670959473,-25.2792816162109,1,2.19,3.54,847885223289.21,15654553046.57,235788319524551,1573.04,537.98,7152.39
"SA",133.315780639648,-32.5046195983887,1,3.24,4.96,2331.71,884.65,8488.94,37.42,23.5,69.98
"QLDNorth",146.842102050781,-18.4473552703857,1,3.21,4.48,574217714.24,27877739.18,43244903507.56,555.18,197.32,2584.67
"WANorth",127.842102050781,-14.3592748641968,1,4.93,5.86,36175862286811848,103927874724186,1.68289573484882e+20,586.97,208.06,2730.7
