"state","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth",122.218292236328,-18.0007991790771,1,6.25,6.8,150837.43,28835.2,1489800.76,1317.68,440.69,6370.48
"NT",136.368423461914,-13.8599948883057,1,2.72,3.17,16123.66,3659.73,136650.49,568.91,210.52,2420.5
"QLDNorth",147.105270385742,-19.2773990631104,1,3.2,3.52,305670940.18,16521796.44,19594475983.73,89803.44,16177.14,1041277.61
"QLDNorth",150.793533325195,-23.122766494751,1,3.81,4.82,185948685.74,13063342.47,7394371102.02,1005.65,349.35,4613.1
"NSW",150.913467407227,-34.4770774841309,1,2.3,3.99,20567015842422.4,211985762335.61,13976662422000614,79.1,42.13,191.66
"VIC",144,-38.5785293579102,1,2.67,3.69,1164235.63,157737.51,19153463.51,1144.35,400.24,5114.24
"SA",138.421051025391,-35.1084899902344,1,3.65,4.82,664.61,292.16,1996.93,33.13,21.04,61.15
"SA",133.631576538086,-32.1934509277344,1,3.37,5.31,585.08,261.96,1713.53,16.05,11.34,25.47
"WASouth",121.897087097168,-33.8707008361816,1,2.3,2.67,103447.73,22783.87,803842.23,2101.22,803.44,7588.31
"TAS",145.914001464844,-40.9999961853027,1,3.08,4.36,593903.57,93596.89,7675377.7,199.22,95.79,548.17
"WASouth",115.684211730957,-31.8255958557129,1,2.18,5.14,218811.61,44635.68,1867353.66,13.06,9.32,20.66
"NT",130.845794677734,-12.2999992370605,1,4.91,5.81,3661827779.82,180773959.86,229864793473.56,329.08,142.94,1061.04
"VIC",145.224685668945,-38.5499954223633,1,3.09,4.46,121260.13,21630.53,1396127.69,301.28,128.17,1020.63
"VIC",141.631576538086,-38.4138069152832,1,2.16,3.99,2422251.91,355343.68,32538400.14,418.05,167.48,1553.37
"TAS",148.099990844727,-42.5463905334473,1,2.14,2.8,3901421.57,447793.69,80651200.6,2688.59,885.17,12616.69
"WASouth",115.736831665039,-32.0597686767578,1,2.18,5.09,186655.89,37956.38,1618023.15,11.81,8.53,18.37
"NSW",151.315795898438,-33.8696632385254,1,2.33,4.49,6808407252869.03,87372372310.1,3277586032982623,40.78,24.65,81.4
"SA",138,-33.1237258911133,1,4.05,5.13,213.44,105.78,552.43,35.55,21.69,70.36
