"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Onkaparinga",138.461669921875,-35.1174468994141,2.26644100276454,2.39574892592596,2.62213708407601,3.07484947049702,3.27169394757431,3.61632293486312
"SA","Ceduna",133.674819946289,-32.189151763916,2.06182029424486,2.22731215319787,2.51704998380574,4.11751330763036,4.49535167819657,5.15685896019139
"SA","Port Pirie",138.000579833984,-33.1267433166504,2.70692674531296,2.91359255794386,3.27541642403201,3.11629518117429,3.32907903510533,3.70161417137371
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,2.21316201043734,2.35274065691538,2.59711046752472,2.48566618828577,2.65110014630173,2.94073660580896
"SA","Charles Sturt",138.472106933594,-34.8702430725098,2.28627444799167,2.42357701790011,2.66396194676515,2.69717911565809,2.87398003107493,3.18351739446215
"SA","Victor Harbor",138.605804443359,-35.594554901123,1.51202221000072,1.64445494047443,1.87631391088955,2.71231224706172,2.93763939173128,3.33213491850018
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,1.57011168902597,1.67077257651113,1.84700642481963,1.8384008461408,1.96098506488053,2.17560157731271
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,2.02142063862667,2.17062783439228,2.43185499979918,2.65679914809046,2.86834590917144,3.23871518301669
"SA","Grant",140.672210693359,-38.0639533996582,1.0391538070884,1.11533521536289,1.24871117781657,2.44498069199074,2.67032244496618,3.06484354748772
"SA","Copper Coast",137.588287353516,-33.9396820068359,1.96779219836941,2.14312985833836,2.45010540109113,2.08943567553493,2.28208122081763,2.61935885320152
"SA","Unincorporated SA",137.602798461914,-33.023551940918,2.5519653002711,2.75947133691867,3.12276624022493,2.95450876481451,3.16666288444794,3.53809550213682
"SA","Onkaparinga",138.470275878906,-35.0958251953125,2.26862570181288,2.39881425347528,2.62674418771671,2.79657738633668,2.97903104584011,3.29846505199267
"SA","Yorke Peninsula",137.767929077148,-35.0375442504883,1.94892058406207,2.06007171373823,2.25467154109971,2.78405279360503,2.9686336669012,3.29179193063021
"SA","Onkaparinga",138.458389282227,-35.1697807312012,2.26335910961975,2.3914247550668,2.61563797329986,2.93517870004476,3.12084843427216,3.44591304074237
"SA","Kingston (SA)",139.666198730469,-36.9562568664551,1.52395105953639,1.66119217993147,1.90146952496241,2.40835452294286,2.59720360412922,2.92783450912599
"SA","Kangaroo Island",137.180358886719,-36.0086135864258,1.94292995679555,2.05166632956787,2.24203847811066,2.52967357769272,2.65768806449774,2.8818117158237
"SA","Elliston",134.854675292969,-33.6464500427246,1.70820893217393,1.86453532119271,2.13822654145949,3.48813110538445,3.76346932192728,4.24552262684072
"SA","Unincorporated SA",132.431213378906,-32.0147438049316,1.95633147993073,2.07930194148919,2.29459467544124,2.92360084785087,3.13737108771457,3.51163315678845
"SA","Unincorporated SA",136.499649047852,-35.1658554077148,1.62738325948762,1.75112969611694,1.96778098229662,2.77926879109592,2.96739287842464,3.29675448746421
"SA","Wattle Range",139.998825073242,-37.4942817687988,1.08750139094837,1.18317118611717,1.35066679032559,2.53203118453025,2.75026740627137,3.13234837295679
