"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.2,1.34,20.55,20.73,20.37
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.2,1.63,15.58,15.82,15.35
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.2,1.6,24.9,25.18,24.61
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.2,2.62,7.53,7.65,7.4
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.2,2.62,7.53,7.65,7.4
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.2,1.58,63.59,64.14,63.05
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.2,2.59,6.15,6.27,6.03
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.2,1.92,77.23,77.73,76.73
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.2,1.92,77.23,77.73,76.73
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.2,5.79,3.56,3.64,3.48
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.2,5.79,3.56,3.64,3.48
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.2,1.7,18.69,18.94,18.44
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.2,1.64,5.3,5.39,5.22
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.2,2.47,8.18,8.29,8.08
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.2,2.47,8.18,8.29,8.08
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.2,2.33,10.18,10.31,10.05
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.2,2.33,10.18,10.31,10.05
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.2,1.25,8.84,8.99,8.68
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.2,2.31,8.22,8.33,8.1
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.2,1.4,7.77,7.94,7.61
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.2,2.74,5.44,5.55,5.33
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.2,2.67,6.01,6.12,5.9
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.2,2.74,5.44,5.55,5.33
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.2,3.11,3.26,3.38,3.14
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.2,1.7,6.88,7,6.77
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.2,1.7,6.88,7,6.77
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.2,2.5,6.85,6.97,6.73
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.2,1.36,28.12,28.4,27.84
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.2,1.78,19.02,19.31,18.73
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.2,2.18,11.69,11.87,11.51
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.2,2.29,7.45,7.62,7.28
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.2,1.58,15.56,15.79,15.33
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.2,1.78,17.76,18,17.52
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.2,4.26,12.57,12.7,12.44
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.2,4.26,12.57,12.7,12.44
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.2,2.33,10.81,10.99,10.65
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.2,1.64,18.2,18.43,17.98
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.2,1.48,11.61,11.73,11.48
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.2,1.48,11.61,11.73,11.48
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.2,2.26,4.11,4.24,3.99
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.2,1.38,41.79,42.22,41.36
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.2,1.62,36.47,36.67,36.28
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.2,1.48,6.86,6.92,6.79
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.2,1.48,6.86,6.92,6.79
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.2,1.35,15.18,15.34,15.01
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.2,2.31,9.93,10.09,9.78
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.2,1.36,12.54,12.67,12.4
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.2,2.99,8.75,8.86,8.63
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.2,1.6,46.72,47.23,46.21
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.2,2.64,5.46,5.58,5.34
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.2,2.24,3.18,3.27,3.08
