"longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
122.218292236328,-18.0007991790771,0.38,5.63,6.18,92.86,49.52,221.71,15.33,10.11,27.9
136.368423461914,-13.8599948883057,0.38,2.1,2.55,39.7,22.6,89.44,11.14,7.64,19.31
147.105270385742,-19.2773990631104,0.38,2.58,2.9,1676.47,553.17,8147.25,76.25,39.75,193.5
150.793533325195,-23.122766494751,0.38,3.19,4.2,1387.94,505.94,5625.78,13.83,9.26,24.68
150.913467407227,-34.4770774841309,0.38,1.68,3.37,114552.64,20137.08,1365379.32,5.26,4.14,7.37
144,-38.5785293579102,0.38,2.05,3.07,201.88,94.45,585.13,14.53,9.75,25.66
138.421051025391,-35.1084899902344,0.38,3.03,4.2,11.82,8.65,17.95,3.78,3.18,4.77
133.631576538086,-32.1934509277344,0.38,2.75,4.69,11.26,8.3,16.94,2.87,2.52,3.42
121.897087097168,-33.8707008361816,0.38,1.68,2.05,80.46,45.28,175.37,18.3,12.7,29.82
145.914001464844,-40.9999961853027,0.38,2.46,3.74,156.32,77.46,413.37,7.48,5.66,10.98
115.684211730957,-31.8255958557129,0.38,1.56,4.52,106.96,58.46,241.58,2.66,2.34,3.16
130.845794677734,-12.2999992370605,0.38,4.29,5.19,4307.3,1373.13,20766.32,9.05,6.59,14.12
145.224685668945,-38.5499954223633,0.38,2.47,3.84,85.47,44.39,216.31,8.75,6.32,13.91
141.631576538086,-38.4138069152832,0.38,1.54,3.37,266.69,128.6,715.67,9.91,7,16.32
148.099990844727,-42.5463905334473,0.38,1.52,2.18,319.64,140.41,1010.44,20.1,13.18,36.17
115.736831665039,-32.0597686767578,0.38,1.56,4.47,100.69,54.97,228.78,2.56,2.26,3.02
151.315795898438,-33.8696632385254,0.38,1.71,3.87,75258.8,14378.78,786883.72,4.09,3.38,5.32
