"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.6,5.99,6.19,206.15,103.09,525.98,129.48,69.13,301.67
"NT","East Arnhem",136.368728637695,-13.844162940979,0.6,2.42,2.87,122.64,63.07,307.49,29.85,18.62,57.37
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.6,2.93,4.19,1581.84,598.86,5916.91,25.01,15.82,47.48
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.6,3.6,4.7,662.14,280.21,2132.58,30.82,19.34,58.48
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.6,2.09,2.83,3171.72,1168.51,11960.7,61.48,35.34,131.13
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.6,2.3,2.63,2500.81,872.35,10567.23,849.06,336.56,3039.42
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.6,3,3.87,463.52,204.42,1415.65,56.41,33.22,115.69
"SA","Ceduna",133.674819946289,-32.189151763916,0.6,2.83,5.09,121.1,61.95,307,8.17,6.19,11.94
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.6,1.93,2.52,663.6,278.83,2165.58,88.14,49.08,194.71
"TAS","Burnie",145.898666381836,-41.0429649353027,0.6,2.66,3.37,4385.99,1421.43,20474.8,332.58,145.04,1063.1
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.6,1.8,4.22,1058.3,427.56,3603.4,9.37,6.95,14.08
"NT","Darwin",130.873245239258,-12.3418684005737,0.6,4.7,4.78,974.82,411.93,3075.72,515.84,237.68,1445.74
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.6,2.64,3.33,3172.68,1089.86,13578.52,238.57,111.81,680.45
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.6,1.69,2.59,95083.42,20654.79,762046.87,186.26,90.7,502.74
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.6,1.69,2.48,42301.43,10135.42,298086.26,102.29,55.35,235.96
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.6,1.8,2.96,899.11,380.09,2847.78,34.09,21.38,64.24
"NSW","Waverley",151.290802001953,-33.871639251709,0.6,2.1,3.3,4669.65,1624.42,19085.25,25.28,16.63,44.49
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.6,3.51,3.93,46.57,28.42,90.55,41.7,25.37,82.09
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.6,2.95,3.25,295.05,139.47,816.12,121.3,64.88,282.83
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.6,3.05,4.08,1041.33,423.56,3505.58,41.17,24.3,85.98
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.6,3.02,3.47,324.22,151.32,912.54,89.1,49.79,195.46
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.6,1.94,3.07,13536.04,3734.86,79120.32,69.82,39.08,155.18
"NT","Darwin",130.81266784668,-12.4085102081299,0.6,4.7,4.86,957.98,402.08,3062.32,373.93,173.51,1054.23
"SA","Victor Harbor",138.605804443359,-35.594554901123,0.6,2.24,3.54,401.02,190.17,1082.91,33.88,21.07,64.96
"WASouth","Albany",117.89533996582,-35.1227531433105,0.6,1.78,2.95,2692.13,964.42,10777.73,56.6,33.39,115.63
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,0.6,2.27,2.56,2659.55,984.5,10042.36,649.09,277.72,2051.37
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.6,2.77,3.47,204.41,97.98,564.8,42.62,25.54,86.19
"WASouth","Greater Geraldton",114.582710266113,-28.7869205474854,0.6,1.73,2.81,3571.55,1262.01,14412.65,188.11,92.7,496.13
