"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.14,5.39,5.94,5.31,4.21,7.32,2.73,2.35,3.41
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.14,1.86,2.31,3.88,3.15,5.24,2.43,2.11,2.98
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.14,2.34,2.66,15.41,10.25,27.6,4.94,3.88,6.96
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.14,2.95,3.96,14.38,9.91,24.08,2.63,2.27,3.26
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.14,1.44,3.13,73.09,38.52,182.12,1.84,1.69,2.09
"VIC","Surf Coast",144,-38.5785293579102,0.14,1.81,2.83,7.07,5.34,10.46,2.68,2.31,3.31
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.14,2.79,3.96,2.48,2.21,2.9,1.63,1.53,1.78
"SA","Ceduna",133.631576538086,-32.1934509277344,0.14,2.51,4.45,2.44,2.18,2.84,1.47,1.4,1.57
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.14,1.44,1.81,5.04,4.07,6.71,2.92,2.55,3.49
"TAS","Burnie",145.914001464844,-40.9999961853027,0.14,2.22,3.5,6.43,4.97,9.2,2.1,1.89,2.42
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.14,1.32,4.28,5.59,4.48,7.55,1.43,1.37,1.53
"NT","Darwin",130.845794677734,-12.2999992370605,0.14,4.05,4.95,21.82,14.32,38.96,2.25,2,2.65
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.14,2.23,3.6,5.15,4.04,7.25,2.22,1.97,2.64
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.14,1.3,3.13,7.83,5.99,11.27,2.33,2.05,2.8
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.14,1.28,1.94,8.37,6.18,12.79,3.02,2.59,3.75
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.14,1.32,4.23,5.47,4.38,7.4,1.41,1.35,1.5
"NSW","Waverley",151.315795898438,-33.8696632385254,0.14,1.47,3.63,62.61,34.02,148.65,1.68,1.57,1.85
"SA","Port Pirie",138,-33.1237258911133,0.14,3.19,4.27,2.12,1.92,2.42,1.65,1.54,1.81
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,0.14,2.73,3.66,2.44,2.18,2.84,1.71,1.59,1.88
"QLDNorth","Townsville",146.894729614258,-19.244197845459,0.14,2.46,3.49,11.74,8.15,19.74,2.45,2.13,3.02
"SA","Charles Sturt",138.473663330078,-34.8685684204102,0.14,2.81,3.74,2.44,2.18,2.84,1.71,1.59,1.88
"VIC","Queenscliffe",144.631576538086,-38.2900199890137,0.14,1.57,2.78,5.32,4.19,7.42,2.65,2.29,3.26
"NT","Darwin",130.789474487305,-12.4139251708984,0.14,4.06,5.04,19.94,13.18,35.37,2.12,1.9,2.47
"SA","Victor Harbor",138.631576538086,-35.5991897583008,0.14,1.85,2.71,3.41,2.92,4.2,2.67,2.31,3.3
"WASouth","Albany",117.894737243652,-35.1271858215332,0.14,1.34,4.12,5.8,4.67,7.73,1.57,1.48,1.7
"SA","Unincorporated SA",135.894729614258,-34.6957054138184,0.14,1.92,3.85,4.02,3.35,5.15,2,1.81,2.3
"WASouth","Esperance",121.894737243652,-33.8696632385254,0.14,1.44,1.81,5.05,4.08,6.73,2.92,2.55,3.5
"SA","Unincorporated SA",133.052627563477,-32.1043510437012,0.14,2.42,4.46,2.77,2.44,3.29,1.57,1.48,1.7
"WASouth","Greater Geraldton",114.57893371582,-28.7936973571777,0.14,1.22,3.15,9.49,6.87,14.92,1.95,1.78,2.23
"NSW","Newcastle",151.789474487305,-32.9031105041504,0.14,1.44,3.52,33.94,20.03,71.99,1.73,1.6,1.94
"VIC","Hobsons Bay",144.894729614258,-37.8758659362793,0.14,1.33,1.63,5.28,4.12,7.54,3.23,2.74,4.08
"QLDSouth","Bundaberg",152.421051025391,-24.754753112793,0.14,2.19,3.16,20.06,13.05,36.67,2.68,2.3,3.36
"WASouth","Bunbury",115.631576538086,-33.2998161315918,0.14,1.47,3.97,4.32,3.57,5.6,1.57,1.48,1.7
"TAS","Clarence",147.368423461914,-42.9977073669434,0.14,1.4,1.7,6.89,5.21,10.22,4.73,3.79,6.46
"WANorth","Port Hedland",118.578948974609,-20.2841644287109,0.14,3.86,5.27,7.27,5.44,10.94,1.65,1.52,1.86
"WANorth","Wyndham-East Kimberley",128.105255126953,-15.3765287399292,0.14,3.95,5.03,8.54246526708693e+26,4.8160829868889e+26,1.53164934185006e+27,2.92,2.48,3.72
"QLDSouth","Brisbane",153.157897949219,-27.3544616699219,0.14,1.79,3.29,93.62,47.86,242.62,2.05,1.84,2.42
"VIC","Greater Geelong",144.421051025391,-38.2900199890137,0.14,1.32,2.1,5.96,4.6,8.59,3.13,2.64,3.98
"TAS","Burnie",145.894729614258,-41.0038528442383,0.14,2.22,3.36,6.37,4.93,9.08,2.23,1.99,2.6
"WANorth","Carnarvon",113.631576538086,-24.8980293273926,0.14,1.28,2.23,219.59,99.91,667.92,2.98,2.51,3.85
"QLDNorth","Mackay",149.263153076172,-21.1209907531738,0.14,3.75,4.73,18.16,11.98,32.53,2.51,2.18,3.08
"TAS","George Town",146.789474487305,-41.0435485839844,0.14,2.18,3.86,6.9,5.22,10.2,1.89,1.73,2.14
"WANorth","Broome",122.210517883301,-17.997501373291,0.14,5.39,5.94,5.31,4.21,7.32,2.74,2.35,3.41
"QLDNorth","Cairns",145.842102050781,-16.8426761627197,0.14,2.03,2.76,21.17,13.67,39.05,4.81,3.79,6.78
"NT","East Arnhem",136.684204101562,-12.2082605361938,0.14,2.24,2.63,11.26,7.93,18.43,4.51,3.61,6.21
"QLDNorth","Aurukun",141.789474487305,-12.6707773208618,0.14,2.16,3.95,4.06,3.27,5.56,1.57,1.47,1.72
"QLDNorth","Gladstone",151.421051025391,-23.9397563934326,0.14,2.69,3.63,25.36,15.95,48.6,3.03,2.55,3.88
"NSW","Unincorporated NSW",159.052627563477,-31.5230770111084,0.14,1.66,4.05,52.1,29.26,117.73,1.75,1.61,1.96
"VIC","East Gippsland",147.947357177734,-37.9173851013184,0.14,1.16,2.5,8.44,6.31,12.6,1.87,1.71,2.14
"QLDNorth","Gladstone",151.315795898438,-23.7953815460205,0.14,2.7,3.72,21.59,13.93,39.87,2.72,2.33,3.39
"VIC","Bass Coast",145.105270385742,-38.4962158203125,0.14,2.24,3.76,5.09,4.01,7.14,2.11,1.89,2.47
"NSW","Bega Valley",149.947372436523,-37.0825157165527,0.14,1.47,2.48,24.71,15.34,48.7,2.43,2.13,2.94
"NT","East Arnhem",136.421051025391,-13.7977819442749,0.14,1.75,2.24,5.87,4.5,8.59,2.7,2.33,3.33
"QLDNorth","Torres",141.894729614258,-10.6091213226318,0.14,2.48,4.18,5.75,4.42,8.38,1.66,1.55,1.84
"SA","Grant",140.684204101562,-38.0832366943359,0.14,1.3,4.04,8.26,6.29,11.91,1.84,1.69,2.07
"NSW","Northern Beaches",151.315795898438,-33.8259620666504,0.14,1.47,3.56,63.57,34.45,151.61,1.71,1.59,1.88
"WANorth","Karratha",116.736831665039,-20.5800476074219,0.14,3.85,5.31,8.16,6.04,12.46,1.62,1.5,1.83
"SA","Copper Coast",137.57893371582,-33.9133415222168,0.14,2.39,3.85,2.45,2.17,2.88,1.59,1.49,1.73
"QLDNorth","Townsville",147.105270385742,-19.2938747406006,0.14,2.34,2.66,15.25,10.17,27.16,4.95,3.89,6.98
"TAS","Devonport",146.368408203125,-41.1228675842285,0.14,2.22,3.83,6.85,5.21,10.05,1.88,1.72,2.11
"NSW","Randwick",151.263153076172,-34.0006294250488,0.14,1.46,3.67,62.35,33.9,147.92,1.66,1.55,1.83
