"name","nCompleteYears","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95"
"'port_adelaide_inner_harbor-61610-aus-bom'",54,138.5,-34.85,2.43801981358222,2.63648929521498,2.98396328827995
"'port_adelaide_outer_harbor-61600-aus-bom'",77,138.4807,-34.7798,2.34854702144978,2.54269789809225,2.88261101626552
"'port_giles-61685-aus-bom'",26,137.7683,-35.0218,2.08094596949651,2.24531510068993,2.5330872956014
"'port_lincoln-61900-aus-bom'",54,135.8701,-34.7159,1.72338575378369,1.88582975505406,2.17023149433665
"'port_pirie-61800-aus-bom'",88,138.0117,-33.1776,2.77982948811982,3.01588160600209,3.4291540713566
"'thevenard-128a-aus-uhslc'",54,133.64,-32.15,2.03265611018331,2.18639220272418,2.45554841512479
"'thevenard-62000-aus-bom'",54,133.6413,-32.1489,2.03265611018331,2.18639220272418,2.45554841512479
"'victor_harbor-61490-aus-bom'",51,138.6354,-35.5625,1.55565510158301,1.70567577760815,1.96832715812225
"'wallaroo-61780-aus-bom'",36,137.6152,-33.926,2.06406964282281,2.27821569686035,2.65313572931763
"'whyalla-61840-aus-bom'",29,137.5904,-33.0128,2.6413795372424,2.88492748342989,3.31132340419484
