"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Onkaparinga",138.461669921875,-35.1174468994141,2.11659367316602,2.17069878346298,2.22634021667605,2.8467380097675,2.92910181148381,3.01380434599893
"SA","Ceduna",133.674819946289,-32.189151763916,1.87004153445884,1.93928675209893,2.01049819832831,3.67965869311822,3.83775408444539,4.00033861868893
"SA","Port Pirie",138.000579833984,-33.1267433166504,2.46743391776679,2.55390716947193,2.64283584243943,2.86971251621688,2.9587456829779,3.05030696018243
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,2.05141254503449,2.10981513845769,2.16987608249036,2.2939545264825,2.36317551717262,2.43436204852406
"SA","Charles Sturt",138.472106933594,-34.8702430725098,2.12716259355323,2.18461282945006,2.24369437361814,2.49229495699199,2.56627211782915,2.64234987150938
"SA","Victor Harbor",138.605804443359,-35.594554901123,1.35855372541179,1.41396631973721,1.47095236318854,2.45119390187999,2.54547544099362,2.64243411888974
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,1.45346172036288,1.49558031825557,1.53889488020381,1.69634522124193,1.74763699450241,1.8003852055418
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,1.84851321504637,1.91094459269614,1.97514871890222,2.4116500771118,2.50016561863018,2.59119457254383
"SA","Grant",140.672210693359,-38.0639533996582,0.950871663845424,0.982747541181445,1.01552853894979,2.18384541810447,2.27813306963551,2.37509803351207
"SA","Copper Coast",137.588287353516,-33.9396820068359,1.76460372018465,1.83796862466918,1.91341673688362,1.86619010933998,1.9467969911219,2.02969271769128
"SA","Unincorporated SA",137.602798461914,-33.023551940918,2.31149878664227,2.39832360545934,2.4876138283409,2.7086558618125,2.79742553471484,2.88871583611212
"SA","Onkaparinga",138.470275878906,-35.0958251953125,2.11775786375658,2.17223144723764,2.22825181648747,2.58514259577138,2.66148498168376,2.73999512136846
"SA","Yorke Peninsula",137.767929077148,-35.0375442504883,1.82011409211153,1.86662202436911,1.91445055650564,2.57015290037214,2.64738535654524,2.7268108401724
"SA","Onkaparinga",138.458389282227,-35.1697807312012,2.11495138243357,2.1685366980334,2.2236435768991,2.72001699006579,2.7977050481799,2.87759907063517
"SA","Kingston (SA)",139.666198730469,-36.9562568664551,1.36491041531663,1.42233493946573,1.48139004179707,2.18950845519195,2.26852681785108,2.34978891905322
"SA","Kangaroo Island",137.180358886719,-36.0086135864258,1.81692178427372,1.86241933228394,1.90920879015723,2.38132513524104,2.43488904500663,2.48997391021614
"SA","Elliston",134.854675292969,-33.6464500427246,1.52705149520076,1.59246169059636,1.65972921853563,3.1690578771039,3.28426508336629,3.40274361594353
"SA","Unincorporated SA",132.431213378906,-32.0147438049316,1.81382826099779,1.86528164624459,1.91819605826748,2.67587511838242,2.76532100942496,2.85730673028037
"SA","Unincorporated SA",136.499649047852,-35.1658554077148,1.4839808087879,1.53575887805847,1.58900719355784,2.56126287598909,2.63997788621881,2.72092802125273
"SA","Wattle Range",139.998825073242,-37.4942817687988,0.976635304951563,1.01666552655859,1.05783241245581,2.27913009192855,2.37044464218511,2.46435208311991
"SA","Kangaroo Island",136.535095214844,-35.8576393127441,1.48736228994087,1.54021061792812,1.59455958230479,2.51783982376118,2.60199382962812,2.68853740141567
"SA","Wattle Range",139.879470825195,-37.3767509460449,1.0031565124059,1.05158085249852,1.10138020916488,1.53483491677675,1.59275376309267,1.65231722394467
"SA","Unincorporated SA",136.156509399414,-34.9915504455566,1.47488568626514,1.52378509564706,1.57407301126816,1.76985631437158,1.83125359225435,1.89439425527173
"SA","Kangaroo Island",137.937957763672,-35.7128486633301,1.32949189831218,1.37570625305889,1.42323287150603,2.09826764912053,2.17352206597861,2.25091334356063
"SA","Cleve",136.576965332031,-33.9472122192383,1.6939787422037,1.74499042486621,1.79745059209208,2.28271448309427,2.35141907762435,2.42207454966747
"SA","Lower Eyre Peninsula",136.023025512695,-34.8660087585449,1.46809856419297,1.51484980943312,1.56292856346173,1.73490932719359,1.788412620091,1.84343514720703
"SA","Whyalla",137.786407470703,-32.9926872253418,2.30868546396151,2.39461984956729,2.4829943552498,2.70456529079606,2.79300149462128,2.88394885803578
"SA","Yorke Peninsula",137.354400634766,-34.9310340881348,1.88087813249874,1.94661824170573,2.01422505140974,2.28789791655753,2.37683447247822,2.46829639556277
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SA","Yankalilla",138.086761474609,-35.6061515808105,1.34461436126212,1.39561506467014,1.44806394088392,2.17174996661301,2.25254103755594,2.33562618336585
"SA","Elliston",134.446472167969,-33.7753486633301,1.49641042210926,1.55212253726101,1.60941660647853,2.52898173989375,2.62880164885853,2.73145595946828
"SA","Franklin Harbour",136.89794921875,-33.7826766967773,1.71722124524522,1.7755893171207,1.83561475936102,2.40689585109642,2.48996798382872,2.57539896252782
"SA","Port Augusta",137.856109619141,-32.7116355895996,2.31908865408611,2.40831571068677,2.50007638326273,2.55574118907278,2.64351884385105,2.73378895861727
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SA","Yankalilla",138.237152099609,-35.4988975524902,1.3394364177509,1.38879827151681,1.4395617627012,2.19055744060119,2.28143616147345,2.37489539758165
"SA","Whyalla",137.440902709961,-33.2315673828125,2.29956420093655,2.38261165303068,2.46801725028109,2.61422098953028,2.69720469430763,2.78254473412642
