"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.9,6.15,6.7,45778.15,10325.97,359596.43,642.43,239.73,2653.11
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.9,2.62,3.07,6119.52,1611.03,41884.19,301.68,123.3,1110.49
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.9,3.1,3.42,43324018.99,3135101.03,1831978144.57,28705.4,6137.78,260501.29
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.9,3.71,4.72,27698343.82,2537750.26,762098520.46,503.74,194.5,1984.24
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.9,2.2,3.89,959078497718.65,15619819967.32,339518253514149,51.09,28.98,113.31
"VIC","Surf Coast",144,-38.5785293579102,0.9,2.57,3.59,288029.39,47658.62,3581150.61,565.85,219.83,2177.22
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.9,3.55,4.72,346.99,165.6,933.96,23.35,15.52,40.53
"SA","Ceduna",133.631576538086,-32.1934509277344,0.9,3.27,5.21,309.38,150.11,813.77,12.16,8.9,18.43
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.9,2.2,2.57,32602.35,8353.43,206373.41,977.74,411.59,3105.49
"TAS","Burnie",145.914001464844,-40.9999961853027,0.9,2.98,4.26,157160.84,29794.44,1572496.84,117.33,60.7,291.76
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.9,2.08,5.04,63982.81,15300.79,440660.29,10.1,7.45,15.26
"NT","Darwin",130.845794677734,-12.2999992370605,0.9,4.81,5.71,404881677.39,27003638.43,16800616291.45,184.32,87.03,528.64
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.9,2.99,4.36,37613.71,7971.87,339181.87,170.25,78.88,510.48
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.9,2.06,3.89,556925.85,98988.27,5769744.42,228.61,100.36,744.99
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.9,2.04,2.7,855264.79,121890.59,13060197.76,1220.6,449.08,4907.39
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.9,2.08,4.99,55454.59,13223.8,387334.57,9.23,6.89,13.73
"NSW","Waverley",151.315795898438,-33.8696632385254,0.9,2.23,4.39,354601830470.98,7034556383.35,92044679581813.5,28.15,17.89,52.43
"SA","Port Pirie",138,-33.1237258911133,0.9,3.95,5.03,124.84,66.37,293.8,24.87,15.95,45.98
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,0.9,3.49,4.42,309.7,149.7,820.09,31.44,20.1,57.56
"QLDNorth","Townsville",146.894729614258,-19.244197845459,0.9,3.22,4.25,7517085.76,717684.73,212105616.47,321,129.05,1216.02
"SA","Charles Sturt",138.473663330078,-34.8685684204102,0.9,3.57,4.5,307.25,148.7,812.15,31.39,20.07,57.42
"VIC","Queenscliffe",144.631576538086,-38.2900199890137,0.9,2.33,3.54,46201.4,9994.69,393243.63,529.46,207.65,2010.36
"NT","Darwin",130.789474487305,-12.4139251708984,0.9,4.82,5.8,226942243.36,15819082.29,9026668041.53,124.22,61.81,331.85
"SA","Victor Harbor",138.631576538086,-35.5991897583008,0.9,2.61,3.47,2671.46,983.85,10177.64,556.86,216.62,2140.04
"WASouth","Albany",117.894737243652,-35.1271858215332,0.9,2.1,4.88,81040.81,20191.35,511743.34,18.27,12.64,29.92
"SA","Unincorporated SA",135.894729614258,-34.6957054138184,0.9,2.68,4.61,7720.68,2390.83,37793.63,86.03,45.48,210.13
"WASouth","Esperance",121.894737243652,-33.8696632385254,0.9,2.2,2.57,33014.62,8440.47,209663.03,984.11,413.88,3129.84
"SA","Unincorporated SA",133.052627563477,-32.1043510437012,0.9,3.18,5.22,707.11,310.94,2116,18.26,12.47,30.65
"WASouth","Greater Geraldton",114.57893371582,-28.7936973571777,0.9,1.98,3.91,1912148.13,239721.97,35202377.98,73.91,40.35,171.62
"NSW","Newcastle",151.789474487305,-32.9031105041504,0.9,2.2,4.28,6919874246.62,233621901.38,870284611295.34,34.03,20.17,71.58
"VIC","Hobsons Bay",144.894729614258,-37.8758659362793,0.9,2.09,2.39,44437.84,8960.5,436664.47,1893.66,651.54,8381.79
"QLDSouth","Bundaberg",152.421051025391,-24.754753112793,0.9,2.95,3.92,235796249.72,14851024.56,11383562664.62,568.8,211.05,2406.21
"WASouth","Bunbury",115.631576538086,-33.2998161315918,0.9,2.23,4.73,12157.89,3546.71,64534.91,18.04,12.24,30.65
"TAS","Clarence",147.368423461914,-42.9977073669434,0.9,2.16,2.46,245512.64,40666.12,3086288.49,21920.51,5272.39,160885.38
"WANorth","Port Hedland",118.578948974609,-20.2841644287109,0.9,4.62,6.03,345781.82,53845.93,4774841.24,25.03,14.94,53.49
