"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.218292236328,-18.0007991790771,0.94,6.19,6.74,73756.21,15571.4,634951.42,856.29,305.84,3766.36
"NT","East Arnhem",136.368423461914,-13.8599948883057,0.94,2.66,3.11,9016.04,2236.88,67216.29,388.82,152.72,1516.6
"QLDNorth","Townsville",147.105270385742,-19.2773990631104,0.94,3.14,3.46,94653985.17,6095001.7,4727218040.66,45299.71,9044.15,453432.39
"QLDNorth","Livingstone",150.793533325195,-23.122766494751,0.94,3.75,4.76,59323877.08,4887548.2,1891329376.67,664.2,245.84,2780.69
"NSW","Wollongong",150.913467407227,-34.4770774841309,0.94,2.24,3.93,3268744727094.58,44333119515.72,1502032283812637,60.85,33.66,139.82
"VIC","Surf Coast",144,-38.5785293579102,0.94,2.61,3.63,503591.55,76923.47,7003457.21,749.98,279.37,3063.75
"SA","Onkaparinga",138.421051025391,-35.1084899902344,0.94,3.59,4.76,450,207.82,1265.73,26.85,17.53,47.77
"SA","Ceduna",133.631576538086,-32.1934509277344,0.94,3.31,5.25,399.19,187.56,1096.12,13.58,9.81,20.98
"WASouth","Esperance",121.897087097168,-33.8707008361816,0.94,2.24,2.61,51741.34,12478.72,355517.16,1327.77,537.85,4439.52
"TAS","Burnie",145.914001464844,-40.9999961853027,0.94,3.02,4.3,267481.03,47096.18,2964788.86,145,72.85,375.48
"WASouth","Joondalup",115.684211730957,-31.8255958557129,0.94,2.12,5.08,104632.39,23480.17,785150.63,11.2,8.15,17.23
"NT","Darwin",130.845794677734,-12.2999992370605,0.94,4.85,5.75,976958329.79,57770711.87,47839222359.98,232.42,106.13,698.53
"VIC","Bass Coast",145.224685668945,-38.5499954223633,0.94,3.03,4.4,60075.16,11884.01,597351.05,213.91,95.79,673.5
"VIC","Glenelg",141.631576538086,-38.4138069152832,0.94,2.1,3.93,1002688.76,165047.78,11525304.91,291.04,123.18,999.54
"TAS","Glamorgan-Spring Bay",148.099990844727,-42.5463905334473,0.94,2.08,2.74,1569457.31,205122.5,27052922.39,1673.99,589.12,7159.6
"WASouth","Fremantle",115.736831665039,-32.0597686767578,0.94,2.12,5.03,90111.29,20161.72,686192,10.19,7.5,15.43
"NSW","Waverley",151.315795898438,-33.8696632385254,0.94,2.27,4.43,1156279415234.64,19270442177.78,384256174025662,32.65,20.34,62.51
"SA","Port Pirie",138,-33.1237258911133,0.94,3.99,5.07,154.71,79.97,378.22,28.69,18.04,54.51
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,0.94,3.53,4.46,399.62,187.03,1105.02,36.65,22.96,68.92
"QLDNorth","Townsville",146.894729614258,-19.244197845459,0.94,3.26,4.29,15193285.72,1306764.79,497303085.58,414.87,160.16,1667.44
"SA","Charles Sturt",138.473663330078,-34.8685684204102,0.94,3.61,4.54,396.31,185.72,1093.84,36.59,22.93,68.74
"VIC","Queenscliffe",144.631576538086,-38.2900199890137,0.94,2.37,3.58,74468.59,15050.01,697129.28,699.67,263.23,2818.94
"NT","Darwin",130.789474487305,-12.4139251708984,0.94,4.86,5.84,533690360.79,33047978.39,25003186427.56,153.91,74.24,429.52
"SA","Victor Harbor",138.631576538086,-35.5991897583008,0.94,2.65,3.51,3793.57,1336.44,15337.86,737.53,275.11,3009.12
"WASouth","Albany",117.894737243652,-35.1271858215332,0.94,2.14,4.92,133927.07,31369.39,917884.12,20.78,14.15,34.8
"SA","Unincorporated SA",135.894729614258,-34.6957054138184,0.94,2.72,4.65,11493.18,3378.36,60375.31,104.87,53.89,266.5
"WASouth","Esperance",121.894737243652,-33.8696632385254,0.94,2.24,2.61,52424.91,12614.55,361438.11,1336.81,540.98,4475.88
"SA","Unincorporated SA",133.052627563477,-32.1043510437012,0.94,3.22,5.26,946.53,401.3,2973.84,20.78,13.95,35.69
"WASouth","Greater Geraldton",114.57893371582,-28.7936973571777,0.94,2.02,3.95,3636639.63,415724.84,76203549.67,89.49,47.55,215.72
"NSW","Newcastle",151.789474487305,-32.9031105041504,0.94,2.24,4.32,18942439117.38,550107403.64,2953336397437.48,39.81,23.05,86.55
"VIC","Hobsons Bay",144.894729614258,-37.8758659362793,0.94,2.13,2.43,71502.26,13427.39,777716.11,2648.25,868.98,12522.96
"QLDSouth","Bundaberg",152.421051025391,-24.754753112793,0.94,2.99,3.96,555455976.89,30938634.8,31858395578.6,754.06,267.73,3401.06
"WASouth","Bunbury",115.631576538086,-33.2998161315918,0.94,2.27,4.77,18467.47,5100.3,105575.56,20.52,13.69,35.69
"TAS","Clarence",147.368423461914,-42.9977073669434,0.94,2.2,2.5,426218.88,65175.98,5995921.24,34180.42,7716.68,274105.23
"WANorth","Port Hedland",118.578948974609,-20.2841644287109,0.94,4.66,6.07,609496.39,87382.89,9458048.9,28.89,16.85,63.84
"WANorth","Wyndham-East Kimberley",128.105255126953,-15.3765287399292,0.94,4.75,5.83,6.70416181911132e+180,1.42965380969112e+179,3.38008058980613e+182,1345.83,440.59,6788.72
"QLDSouth","Brisbane",153.157897949219,-27.3544616699219,0.94,2.59,4.09,17226957192332.9,190576231434.45,10307091076998758,125.65,58.96,378.07
"VIC","Greater Geelong",144.421051025391,-38.2900199890137,0.94,2.12,2.9,161219.74,28311.22,1869248.38,2120.05,679.82,10690.05
"TAS","Burnie",145.894729614258,-41.0038528442383,0.94,3.02,4.16,249825.67,44589.29,2711565.02,216.15,101.79,615.33
"WANorth","Carnarvon",113.631576538086,-24.8980293273926,0.94,2.08,3.03,5275165939184901,26666942062152.8,9247432122838542336,1539.28,480.27,8479.07
"QLDNorth","Mackay",149.263153076172,-21.1209907531738,0.94,4.55,5.53,284032825.92,17415551.93,14238997424.06,479.29,185.16,1895.05
"TAS","George Town",146.789474487305,-41.0435485839844,0.94,2.98,4.66,427435.73,65986.94,5899541.09,72.05,39.84,163.47
"WANorth","Broome",122.210517883301,-17.997501373291,0.94,6.19,6.74,73980.47,15619.7,636664.36,859.36,306.97,3777.66
"QLDNorth","Cairns",145.842102050781,-16.8426761627197,0.94,2.83,3.56,795822380.8,42301723.2,48606455073.07,38228.57,7721.15,379658.43
"NT","East Arnhem",136.684204101562,-12.2082605361938,0.94,3.04,3.43,11498327.45,1094872.95,314484430.08,24784.79,5508.65,210680.09
"QLDNorth","Aurukun",141.789474487305,-12.6707773208618,0.94,2.96,4.75,12205.62,2840.99,100895.04,20.71,13.32,38.57
"QLDNorth","Gladstone",151.421051025391,-23.9397563934326,0.94,3.49,4.43,2680971621.6,119085826.77,211258254059.4,1714.47,543.32,9036.43
"NSW","Unincorporated NSW",159.052627563477,-31.5230770111084,0.94,2.46,4.85,336942281273.54,6992476564.51,80262016604046.9,42.62,24.59,92.78
"VIC","East Gippsland",147.947357177734,-37.9173851013184,0.94,1.96,3.3,1657551.47,234691.87,24391771.95,67.41,35.99,164.83
"QLDNorth","Gladstone",151.315795898438,-23.7953815460205,0.94,3.5,4.52,909290549.1,47926142.28,55865462807.81,822.81,294.46,3618.24
"VIC","Bass Coast",145.105270385742,-38.4962158203125,0.94,3.04,4.56,55673.14,11168.01,541853.97,150.04,71.1,434.82
"NSW","Bega Valley",149.947372436523,-37.0825157165527,0.94,2.27,3.28,2250805232.63,91676022.37,214019501652.04,392.54,160.79,1402
"NT","East Arnhem",136.421051025391,-13.7977819442749,0.94,2.55,3.04,144731.97,24262.83,1860123.22,791.47,294.05,3235.01
"QLDNorth","Torres",141.894729614258,-10.6091213226318,0.94,3.28,4.98,125663.84,21446.66,1577494.55,30.18,18.63,59.15
"SA","Grant",140.684204101562,-38.0832366943359,0.94,2.1,4.84,1435080.19,231155.01,16787329.83,59.47,33.54,131.84
"NSW","Northern Beaches",151.315795898438,-33.8259620666504,0.94,2.27,4.36,1281290948003.21,20949932575.6,438520058423444,36.05,22.22,69.98
"WANorth","Karratha",116.736831665039,-20.5800476074219,0.94,4.65,6.11,1324678.07,175125.62,22632266.48,25.97,15.31,56.78
"SA","Copper Coast",137.57893371582,-33.9133415222168,0.94,3.19,4.65,407.66,182.94,1215.71,22.34,14.61,40.05
"QLDNorth","Townsville",147.105270385742,-19.2938747406006,0.94,3.14,3.46,88127354.45,5793661.36,4247093469.82,46078.56,9162.89,464287.61
