"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.1,5.22,1.76,2.43,2.17,2.84,1.76,1.63,1.96
"NT","East Arnhem",136.368728637695,-13.844162940979,0.1,1.63,3.53,2.23,2,2.6,1.71,1.58,1.9
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.1,2.24,3.62,3.41,2.9,4.25,1.77,1.64,1.97
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.1,2.88,1.65,2.95,2.56,3.59,1.99,1.81,2.25
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.1,1.41,1.94,3.83,3.25,4.78,3.08,2.64,3.81
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.1,1.62,2.78,3.68,3.09,4.68,1.96,1.79,2.21
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.1,2.27,4.01,2.78,2.43,3.35,1.46,1.39,1.56
"SA","Ceduna",133.674819946289,-32.189151763916,0.1,2.03,1.8,2.22,1.99,2.6,2.11,1.91,2.41
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.1,1.21,2.47,2.95,2.56,3.6,2.63,2.29,3.19
"TAS","Burnie",145.898666381836,-41.0429649353027,0.1,1.99,3.31,4.05,3.35,5.23,1.45,1.38,1.55
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.1,1.1,3.95,3.19,2.74,3.92,2.83,2.49,3.36
"NT","Darwin",130.873245239258,-12.3418684005737,0.1,4,2.38,3.15,2.73,3.81,2.49,2.19,2.97
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.1,1.97,1.99,3.83,3.21,4.88,2.39,2.12,2.82
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.1,1.07,1.71,6.76,5.24,9.56,2.16,1.95,2.49
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.1,1.06,2.14,5.9,4.65,8.17,1.8,1.67,2
