"state","lga","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"VIC","East Gippsland",147.947357177734,-37.9173851013184,0.09,1.11,2.45,3.94,3.27,5.1,1.5,1.41,1.63
"QLDNorth","Gladstone",151.315795898438,-23.7953815460205,0.09,2.65,3.67,7.21,5.44,10.69,1.9,1.72,2.19
"VIC","Bass Coast",145.105270385742,-38.4962158203125,0.09,2.19,3.71,2.85,2.44,3.54,1.62,1.5,1.79
"NSW","Bega Valley",149.947372436523,-37.0825157165527,0.09,1.42,2.43,7.86,5.79,12.16,1.77,1.63,2
"NT","East Arnhem",136.421051025391,-13.7977819442749,0.09,1.7,2.19,3.12,2.63,3.98,1.89,1.72,2.17
"QLDNorth","Torres",141.894729614258,-10.6091213226318,0.09,2.43,4.13,3.08,2.6,3.92,1.39,1.32,1.48
"SA","Grant",140.684204101562,-38.0832366943359,0.09,1.25,3.99,3.89,3.26,4.92,1.48,1.4,1.6
"NSW","Northern Beaches",151.315795898438,-33.8259620666504,0.09,1.42,3.51,14.43,9.73,25.23,1.41,1.35,1.5
"WANorth","Karratha",116.736831665039,-20.5800476074219,0.09,3.8,5.26,3.86,3.18,5.06,1.37,1.3,1.47
"SA","Copper Coast",137.57893371582,-33.9133415222168,0.09,2.34,3.8,1.78,1.65,1.97,1.35,1.29,1.42
"QLDNorth","Townsville",147.105270385742,-19.2938747406006,0.09,2.29,2.61,5.76,4.44,8.35,2.8,2.4,3.49
"TAS","Devonport",146.368408203125,-41.1228675842285,0.09,2.17,3.78,3.45,2.89,4.41,1.5,1.42,1.62
"NSW","Randwick",151.263153076172,-34.0006294250488,0.09,1.41,3.62,14.25,9.63,24.83,1.39,1.32,1.48
"QLDNorth","Mackay",149.315780639648,-21.268180847168,0.09,3.87,4.92,6.2,4.78,8.94,1.74,1.6,1.96
"QLDNorth","Cassowary Coast",146.157897949219,-17.5966548919678,0.09,1.97,3.06,5.76,4.49,8.17,1.87,1.69,2.16
"TAS","Glamorgan-Spring Bay",148.052627563477,-42.5341911315918,0.09,1.23,1.89,3.92,3.23,5.15,2.02,1.83,2.32
"QLDNorth","Cassowary Coast",146.368423461914,-18.4972763061523,0.09,2.31,3.26,5.47,4.23,7.89,1.92,1.73,2.24
"WANorth","Ashburton",115.157897949219,-21.6110496520996,0.09,1.79,3.43,4.35,3.46,6.04,1.33,1.27,1.43
"WANorth","Karratha",117.157897949219,-20.5800476074219,0.09,3.85,5.36,3.19,2.67,4.13,1.33,1.27,1.43
"QLDNorth","Carpentaria",140.789474487305,-17.4963035583496,0.09,3.09,4.38,2.12,1.89,2.49,1.36,1.3,1.45
"QLDNorth","Rockhampton",150.842102050781,-23.602653503418,0.09,3.04,3.97,6.63,5.07,9.62,1.97,1.78,2.27
"QLDSouth","Sunshine Coast",153.157897949219,-26.6982269287109,0.09,1.52,2.9,9.77,7.1,15.2,1.7,1.58,1.9
"QLDNorth","Whitsunday",148.842102050781,-20.2841644287109,0.09,2.75,3.15,3.97,3.26,5.23,2.32,2.06,2.74
"QLDNorth","Torres",142.157897949219,-10.5573892593384,0.09,2.41,2.87,2.66,2.29,3.3,1.93,1.75,2.21
"QLDSouth","Fraser Coast",152.947372436523,-25.2792816162109,0.09,2.42,3.56,6.88,5.2,10.19,2.03,1.83,2.35
"SA","Unincorporated SA",137.631576538086,-33.0355453491211,0.09,2.94,3.99,1.66,1.55,1.81,1.41,1.34,1.5
"QLDSouth","Gold Coast",153.421051025391,-27.9603595733643,0.09,1.42,3,11.09,7.99,17.41,1.52,1.42,1.67
"WANorth","Karratha",116.684211730957,-20.5800476074219,0.09,3.78,5.27,4.23,3.42,5.73,1.36,1.3,1.47
"QLDNorth","Torres",142.315780639648,-10.5056486129761,0.09,2.17,2.85,6.8,5.11,10.25,2.69,2.35,3.23
"QLDNorth","Douglas",145.473678588867,-16.4393119812012,0.09,1.95,2.67,8.46,6.16,13.29,2.87,2.44,3.6
"NSW","Clarence Valley",153.368423461914,-29.4372825622559,0.09,1.34,3.1,14.37,9.93,23.97,1.51,1.42,1.65
"NT","Roper Gulf",136.894729614258,-15.7314138412476,0.09,1.86,3.07,2.21,1.96,2.63,1.4,1.33,1.51
"QLDNorth","Torres Strait Island",142.210525512695,-10.5056486129761,0.09,2.28,2.61,3.83,3.12,5.13,2.63,2.27,3.25
"VIC","Greater Geelong",144.736846923828,-38.1660194396973,0.09,1.25,1.56,2.96,2.52,3.71,2.13,1.92,2.47
"VIC","Mornington Peninsula",144.894729614258,-38.3313064575195,0.09,1.26,3.13,2.99,2.55,3.76,1.54,1.45,1.69
"WASouth","Joondalup",115.684211730957,-31.8365268707275,0.09,1.27,4.09,3.02,2.62,3.66,1.26,1.23,1.32
"SA","Onkaparinga",138.421051025391,-35.0841407775879,0.09,2.74,3.91,1.79,1.67,1.98,1.37,1.32,1.45
"QLDNorth","Livingstone",150.789474487305,-23.1195735931396,0.09,2.9,3.91,5.52,4.35,7.68,1.86,1.69,2.14
"VIC","Surf Coast",144.052627563477,-38.4962158203125,0.09,1.77,2.8,3.47,2.9,4.46,1.88,1.71,2.14
"SA","Yorke Peninsula",137.789474487305,-35.041072845459,0.09,2.41,3.27,1.9,1.76,2.12,1.47,1.4,1.58
"QLDNorth","Whitsunday",148.105270385742,-19.8392944335938,0.09,2.27,3.36,4.09,3.29,5.6,1.61,1.49,1.81
"WANorth","Exmouth",114.157897949219,-21.9531078338623,0.09,1.72,3.05,6.9,5.11,10.63,1.51,1.41,1.67
"NSW","Shoalhaven",150.736846923828,-35.0841293334961,0.09,1.38,3.38,12.93,8.8,22.41,1.41,1.34,1.52
"NSW","Coffs Harbour",153.157897949219,-30.3042221069336,0.09,1.5,3.28,17.21,11.43,30.59,1.5,1.41,1.63
"VIC","Moyne",142.263153076172,-38.4138069152832,0.09,1.27,2.69,3.51,2.97,4.42,1.84,1.68,2.1
"SA","Onkaparinga",138.421051025391,-35.1702117919922,0.09,2.74,3.92,1.8,1.67,1.99,1.37,1.32,1.45
"WANorth","Ashburton",115.473686218262,-20.6785373687744,0.09,1.69,3.05,9.48,6.89,14.81,1.54,1.43,1.71
"VIC","South Gippsland",146.473678588867,-38.7018203735352,0.09,2.06,3.11,4.64,3.78,6.13,1.73,1.61,1.92
"QLDNorth","Isaac",149.473678588867,-21.7577362060547,0.09,3.91,4.92,4.81,3.8,6.71,1.67,1.54,1.88
"QLDNorth","Cook",145.315795898438,-15.4779872894287,0.09,1.94,2.64,5.53,4.38,7.61,2.55,2.22,3.11
"VIC","Greater Geelong",144.631576538086,-38.0832366943359,0.09,1.25,1.58,3.41,2.85,4.41,2.19,1.97,2.55
NA,"Christmas Island",105.684211730957,-10.4021415710449,0.09,1.06,2.99,93.55,47.63,244.53,1.73,1.59,1.96
"TAS","West Coast",145,-41.8324203491211,0.09,2.09,5.2,4.56,3.69,6.12,1.4,1.34,1.5
"WASouth","Dundas",128.894729614258,-31.7470779418945,0.09,2.2,3.81,2.45,2.18,2.88,1.46,1.39,1.57
"SA","Kingston (SA)",139.684204101562,-36.9564933776855,0.09,1.84,4.2,2.07,1.89,2.35,1.39,1.33,1.48
"SA","Kangaroo Island",137.210525512695,-36.0258827209473,0.09,2.19,3.37,2.63,2.33,3.1,1.85,1.69,2.11
"TAS","Circular Head",145.315795898438,-40.7651672363281,0.09,2.15,3.44,3.46,2.93,4.34,1.62,1.52,1.79
"SA","Elliston",134.842086791992,-33.650936126709,0.09,2.02,4.43,1.97,1.81,2.22,1.3,1.26,1.37
"WASouth","Mandurah",115.684211730957,-32.5933265686035,0.09,1.16,4.13,2.38,2.13,2.77,1.26,1.22,1.31
"WANorth","Shark Bay",113.473686218262,-25.9435787200928,0.09,1.4,3.26,4.14,3.35,5.57,1.58,1.48,1.72
"VIC","Greater Geelong",144.473663330078,-38.2900199890137,0.09,1.5,2.55,3.1,2.63,3.9,1.94,1.76,2.23
