"state","lga","longitude","latitude","SWL_pc5","SWLpc50","SWLpc95","MTWL_pc5","MTWLpc50","MTWLpc95"
"SA","Onkaparinga",138.421051025391,-35.1084899902344,2.21476033556912,2.29993577314909,2.38752978036003,3.00415535917121,3.16229941084623,3.32493398715567
"SA","Ceduna",133.631576538086,-32.1934509277344,1.92575645804875,2.01263577741044,2.10198204838798,3.28253399592267,3.48198789350647,3.68710531514345
"SA","Port Pirie",138,-33.1237258911133,2.52032653336122,2.62354060967161,2.72968546553002,3.33263755514751,3.48766396010531,3.6470923636402
"SA","Port Adelaide Enfield",138.473678588867,-34.782169342041,2.14133530389857,2.22819898054191,2.31752916462371,2.77447136242261,2.91895855736382,3.06754848839513
"SA","Charles Sturt",138.473663330078,-34.8685684204102,2.22047549360525,2.30745981239102,2.3969140642674,2.85372415138012,2.99828160807982,3.14694379596303
"SA","Victor Harbor",138.631576538086,-35.5991897583008,1.38297523835632,1.44611738547857,1.51105246356546,2.16783323255037,2.2466359971935,2.32767637844086
"SA","Unincorporated SA",135.894729614258,-34.6957054138184,1.49623382702544,1.55189004879224,1.60912663752355,3.13251478133558,3.2443549166778,3.359370769839
"SA","Unincorporated SA",133.052627563477,-32.1043510437012,1.89117369032363,1.96710735985607,2.04519717759645,3.43900249631908,3.6105121740776,3.78689189547581
"SA","Grant",140.684204101562,-38.0832366943359,0.966129591837275,1.00283469331887,1.04058204179405,3.24211335823974,3.36948024166103,3.50046372729754
"SA","Copper Coast",137.57893371582,-33.9133415222168,1.80634347447712,1.89291925722554,1.98195337262104,2.8425506536624,3.0100670005137,3.1823399997603
"SA","Unincorporated SA",137.631576538086,-33.0355453491211,2.34810362550922,2.44651409159082,2.54771893797026,3.14509055886954,3.29159672708827,3.44226296045336
"SA","Onkaparinga",138.421051025391,-35.0841407775879,2.21523671457688,2.30056292892078,2.38831199422501,3.00438705178642,3.16266221552551,3.32543162684622
"SA","Yorke Peninsula",137.789474487305,-35.041072845459,1.91756279309521,1.99491381361462,2.07446122824092,2.52171377862756,2.65010586350026,2.78214366134084
"SA","Onkaparinga",138.421051025391,-35.1702117919922,2.21312514928885,2.2977830407727,2.38484480608663,3.0098527428786,3.16816271873679,3.33096793067205
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SA","Kingston (SA)",139.684204101562,-36.9564933776855,1.39936750799847,1.46769790508487,1.53796855429043,3.33744827015939,3.48806939482346,3.64296742945412
"SA","Kangaroo Island",137.210525512695,-36.0258827209473,1.83565297175552,1.88707905101262,1.93996538168803,2.86251135765362,2.94325964059607,3.02630078343366
"SA","Elliston",134.842086791992,-33.650936126709,1.55219902593592,1.6255685630385,1.7010214394149,3.36689498210408,3.55523802250194,3.74892909245683
"SA","Port Augusta",137.789474487305,-32.6376457214355,2.34403067285765,2.44115202541746,2.54103115369869,3.16688598555352,3.31728210030058,3.47194873582307
