"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.94,2.08,1478322.42,1491296.33,1465461.38
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.94,2.37,402989.53,409206.05,396867.46
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.94,2.34,3647442.33,3689414.23,3605947.91
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.94,3.36,13197.82,13419.48,12979.82
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.94,3.36,13197.82,13419.48,12979.82
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.94,2.32,299152074.9,301728923.79,296597233
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.94,3.33,5089.91,5189.44,4992.29
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.94,2.66,745601167.11,750445607.44,740787999.67
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.94,2.66,745601167.11,750445607.44,740787999.67
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.94,6.53,390.4,399.15,381.85
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.94,6.53,390.4,399.15,381.85
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.94,2.44,946958.08,959798.69,934289.26
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.94,2.38,2538.69,2580.28,2497.77
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.94,3.21,19516.86,19770.54,19266.44
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.94,3.21,19516.86,19770.54,19266.44
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.94,3.07,54461.58,55149.98,53781.77
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.94,3.07,54461.58,55149.98,53781.77
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.94,1.99,28009.84,28495.76,27532.2
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.94,3.05,19932.22,20211.78,19656.53
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.94,2.14,15350.75,15685.67,15022.99
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.94,3.48,2863.61,2924.27,2804.21
