"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0,1.66,1,1.01,0.99
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0,1.62,1,1.01,0.99
"'lucinda_offshore-59200-aus-bom'",33,146.385,-18.5217,0,2.45,1,1.02,0.98
"'mackay_outer_harbour-59510-aus-bom'",48,149.2333,-21.1167,0,3.92,1,1.02,0.98
"'melbourne_williamstown-60780-aus-bom'",54,144.9165,-37.8657,0,1.14,1,1.01,0.99
"'melville_bay_gove_harbour-63480-aus-bom'",23,136.6717,-12.2067,0,2.33,1,1.02,0.98
"'milner_bay_groote_eylandt-63511-aus-bom'",34,136.4156,-13.8601,0,2.04,1,1.03,0.97
"'mooloolaba-59950-aus-bom'",35,153.12,-26.6867,0,1.52,1,1.01,0.99
"'mourilyan_harbour-59140-aus-bom'",37,146.1167,-17.6,0,1.99,1,1.01,0.99
"'newcastle-60310-aus-bom'",54,151.7889,-32.9238,0,1.4,1,1.01,0.99
"'onslow_beadon_creek-62470-aus-bom'",34,115.1315,-21.6497,0,1.76,1,1.01,0.99
"'patonga-212440-aus-bom'",27,151.27462,-33.55098053,0,1.45,1,1.01,0.99
"'peel_inlet-plpee01-aus-bom'",31,115.713889,-32.592222,0,1.14,1,1.02,0.98
"'perth_barrack_street_jetty-6223a-aus-bom'",29,115.8573,-31.9597,0,1.22,1,1.02,0.98
"'point_lonsdale-60730-aus-bom'",56,144.6139,-38.2919,0,1.38,1,1.01,0.99
"'point_richards_corio_bay-60757-aus-bom'",20,144.65,-38.1,0,1.17,1,1.02,0.98
"'port_adelaide_inner_harbor-61610-aus-bom'",54,138.5,-34.85,0,2.64,1,1.02,0.98
"'port_adelaide_outer_harbor-61600-aus-bom'",77,138.4807,-34.7798,0,2.54,1,1.02,0.98
"'port_alma-59690-aus-bom'",36,150.8667,-23.585,0,3.12,1,1.01,0.99
"'port_douglas-59040-aus-bom'",23,145.4667,-16.4833,0,2.07,1,1.02,0.98
"'port_giles-61685-aus-bom'",26,137.7683,-35.0218,0,2.24,1,1.02,0.98
"port_hacking_decomm-214451-aus-csiro",24,151.14608,-34.076911,0,1.44,1,1.01,0.99
"'port_hedland-169a-aus-uhslc'",43,118.575,-20.318,0,4,1,1.02,0.98
"'port_hedland-62590-aus-bom'",43,118.5744,-20.3176,0,4,1,1.02,0.98
"'port_kembla-342a-aus-uhslc'",38,150.912,-34.473,0,1.4,1,1.01,0.99
"'port_kembla-60420-aus-bom'",38,150.91,-34.475,0,1.4,1,1.01,0.99
"'port_lincoln-61900-aus-bom'",54,135.8701,-34.7159,0,1.89,1,1.02,0.98
"'port_macquarie-207420-aus-bom'",30,152.9109833,-31.42679171,0,1.45,1,1.01,0.99
"'port_pirie-61800-aus-bom'",88,138.0117,-33.1776,0,3.01,1,1.02,0.98
"port_stephens_decomm-209450-aus-csiro",27,152.18224,-32.714881,0,1.45,1,1.01,0.99
"'portland_victoria-129a-aus-uhslc'",40,141.613,-38.343,0,1.17,1,1.01,0.99
"'portland-61410-aus-bom'",40,141.6197,-38.3514,0,1.17,1,1.01,0.99
"'queenscliff-60732-aus-bom'",27,144.6626,-38.2728,0,1.09,1,1.01,0.99
"'rosslyn_bay-330a-aus-uhslc'",28,150.79,-23.162,0,3.05,1,1.02,0.98
"'rosslyn_bay-59670-aus-bom'",28,150.7917,-23.1667,0,3.05,1,1.02,0.98
"'shute_harbour-59410-aus-bom'",28,148.7833,-20.2833,0,2.79,1,1.02,0.98
"'south_trees-h052026a-aus-bom'",25,151.3,-23.85,0,2.74,1,1.02,0.98
"'spring_bay-335a-aus-uhslc'",35,147.932,-42.547,0,1.15,1,1.01,0.99
"'spring_bay-61170-aus-bom'",35,147.9283,-42.5486,0,1.15,1,1.01,0.99
"'sydney_port_jackson-213470-aus-bom'",31,151.2585,-33.8254,0,1.45,1,1.01,0.99
"'thevenard-128a-aus-uhslc'",54,133.64,-32.15,0,2.19,1,1.02,0.98
"'thevenard-62000-aus-bom'",54,133.6413,-32.1489,0,2.19,1,1.02,0.98
"'thursday_island-58170-aus-bom'",21,142.2216,-10.5863,0,2.27,1,1.02,0.98
"'townsville-334a-aus-uhslc'",63,146.833,-19.25,0,2.58,1,1.01,0.99
"'townsville-59250-aus-bom'",63,146.8333,-19.25,0,2.58,1,1.01,0.99
"'turtle_head-58180-aus-bom'",25,142.2133,-10.5212,0,2.7,1,1.03,0.97
"tweed_heads_decomm-201431-aus-csiro",22,153.549642,-28.16945,0,1.38,1,1.01,0.99
"'urangan-59850-aus-bom'",30,152.9083,-25.2983,0,2.47,1,1.01,0.99
"'victor_harbor-61490-aus-bom'",51,138.6354,-35.5625,0,1.71,1,1.02,0.98
"'wallaroo-61780-aus-bom'",36,137.6152,-33.926,0,2.28,1,1.03,0.97
"'weipa_humbug_point-63620-aus-bom'",42,141.8633,-12.67,0,2.35,1,1.03,0.97
"'west_channel_pile-60739-aus-bom'",28,144.7552,-38.1944,0,1.13,1,1.01,0.99
"'western_port_stony_point-60710-aus-bom'",37,145.2228,-38.3739,0,2.15,1,1.02,0.98
"'whyalla-61840-aus-bom'",29,137.5904,-33.0128,0,2.88,1,1.04,0.96
"'wyndham-165a-aus-uhslc'",44,128.102,-15.453,0,4.08,1,1.01,0.99
"'wyndham-63090-aus-bom'",44,128.101,-15.4533,0,4.08,1,1.01,0.99
"'yamba-60130-aus-bom'",25,153.3621,-29.429,0,1.32,1,1.01,0.99
