"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.54,5.93,6.13,120.99,64.85,281.11,79.61,45.26,170.44
"NT","East Arnhem",136.368728637695,-13.844162940979,0.54,2.36,2.81,75.81,41.67,173.4,21.25,13.9,38.27
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.54,2.87,4.13,757.26,315.93,2482.48,18.13,12,32.27
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.54,3.54,4.64,345.82,159.49,990.87,21.88,14.38,38.93
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.54,2.03,2.77,1416.33,576.59,4677.15,40.72,24.74,80.52
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.54,2.24,2.57,1143.6,443.22,4183.74,432.56,188.09,1363.05
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.54,2.94,3.81,250.88,120.08,685.27,37.69,23.4,71.94
"SA","Ceduna",133.674819946289,-32.189151763916,0.54,2.77,5.03,74.96,41.01,173.15,6.62,5.16,9.32
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.54,1.87,2.46,346.51,158.78,1004.66,56.32,33.25,114.93
"TAS","Burnie",145.898666381836,-41.0429649353027,0.54,2.6,3.31,1896.1,687.79,7587.48,186.08,88.17,529.56
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.54,1.74,4.16,527.41,233.29,1588.7,7.49,5.72,10.81
"NT","Darwin",130.873245239258,-12.3418684005737,0.54,4.64,4.72,489.82,225.6,1377.69,276.23,137.53,698.36
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.54,2.58,3.27,1416.72,541.54,5242.85,137.99,69.76,354.42
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.54,1.63,2.53,30219.99,7647.49,196690.56,110.44,57.79,269.91
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.54,1.63,2.42,14578.72,4029.56,84509.93,64.39,37.05,136.63
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.54,1.74,2.9,455.44,209.84,1285.45,23.95,15.74,42.37
"NSW","Waverley",151.290802001953,-33.871639251709,0.54,2.04,3.24,2006.11,775.58,7122.43,18.3,12.55,30.44
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.54,3.45,3.87,31.72,20.34,57.7,28.72,18.36,52.83
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.54,2.89,3.19,167.07,85.12,417.43,75.07,42.75,160.83
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.54,2.99,4.02,519.79,231.33,1549.83,28.39,17.66,55.07
