"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.1,1.24,4.53,4.57,4.49
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.1,1.53,3.95,4.01,3.89
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.1,1.5,4.99,5.05,4.93
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.1,2.52,2.74,2.79,2.7
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.1,2.52,2.74,2.79,2.7
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.1,1.48,7.97,8.04,7.91
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.1,2.49,2.48,2.53,2.43
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.1,1.82,8.79,8.84,8.73
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.1,1.82,8.79,8.84,8.73
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.1,5.69,1.89,1.93,1.85
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.1,5.69,1.89,1.93,1.85
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.1,1.6,4.32,4.38,4.27
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.1,1.54,2.3,2.34,2.27
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.1,2.37,2.86,2.9,2.82
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.1,2.37,2.86,2.9,2.82
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.1,2.23,3.19,3.23,3.15
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.1,2.23,3.19,3.23,3.15
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.1,1.15,2.97,3.02,2.92
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.1,2.21,2.87,2.91,2.83
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.1,1.3,2.79,2.85,2.73
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.1,2.64,2.33,2.38,2.28
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.1,2.57,2.45,2.5,2.41
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.1,2.64,2.33,2.38,2.28
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.1,3.01,1.8,1.87,1.74
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.1,1.6,2.62,2.67,2.58
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.1,1.6,2.62,2.67,2.58
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.1,2.4,2.62,2.66,2.57
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.1,1.26,5.3,5.36,5.25
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.1,1.68,4.36,4.43,4.3
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.1,2.08,3.42,3.47,3.37
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.1,2.19,2.73,2.79,2.67
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.1,1.48,3.94,4,3.89
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.1,1.68,4.21,4.27,4.16
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.1,4.16,3.55,3.58,3.51
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.1,4.16,3.55,3.58,3.51
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.1,2.23,3.29,3.34,3.24
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.1,1.54,4.27,4.32,4.21
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.1,1.38,3.41,3.44,3.37
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.1,1.38,3.41,3.44,3.37
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.1,2.16,2.03,2.09,1.97
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.1,1.28,6.46,6.53,6.4
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.1,1.52,6.04,6.07,6.01
