"state","longitude","latitude","SLR","SWL_AEP1PC","MTWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"NSW",149.947372436523,-37.0825157165527,0.54,1.87,2.88,235841.19,37502.64,3228373.98,30.91,18.51,64.23
"NT",136.421051025391,-13.7977819442749,0.54,2.15,2.64,921.68,330.38,3996.24,46.24,26.18,103.83
"QLDNorth",141.894729614258,-10.6091213226318,0.54,2.88,4.58,849.83,307.77,3635.25,7.08,5.37,10.42
"SA",140.684204101562,-38.0832366943359,0.54,1.7,4.44,3442.94,1206.12,14142.34,10.45,7.52,16.52
"NSW",151.315795898438,-33.8259620666504,0.54,1.87,3.96,9025208.06,849552.11,257843180.24,7.84,5.94,11.48
"WANorth",116.736831665039,-20.5800476074219,0.54,4.25,5.71,3288.19,1028.34,16790.23,6.49,4.79,10.18
"SA",137.57893371582,-33.9133415222168,0.54,2.79,4.25,31.59,19.94,59.17,5.96,4.67,8.33
"QLDNorth",147.105270385742,-19.2938747406006,0.54,2.74,3.06,36661.7,7675.39,339649.88,477.56,188.83,1800.48
"TAS",146.368408203125,-41.1228675842285,0.54,2.62,4.23,1675.55,582.95,7327.34,11.37,8.16,17.93
"NSW",151.263153076172,-34.0006294250488,0.54,1.86,4.07,8371560.11,798422.3,234481372.21,7.09,5.38,10.38
"QLDNorth",149.315780639648,-21.268180847168,0.54,4.32,5.37,56856.25,11861.58,511027.66,27.45,16.48,57.37
"QLDNorth",146.157897949219,-17.5966548919678,0.54,2.42,3.51,36536.04,8150.44,298347.92,42.33,23.24,102.25
"TAS",148.052627563477,-42.5341911315918,0.54,1.68,2.34,3649.7,1133.36,18738.57,67.96,37.57,155.01
"QLDNorth",146.368423461914,-18.4972763061523,0.54,2.76,3.71,26774.61,5765.17,241072.89,50.21,26.67,127.84
"WANorth",115.157897949219,-21.6110496520996,0.54,2.24,3.88,6757.64,1728.35,48647.17,5.64,4.25,8.6
"WANorth",117.157897949219,-20.5800476074219,0.54,4.3,5.81,1052.38,359.22,4984.86,5.62,4.25,8.5
"QLDNorth",140.789474487305,-17.4963035583496,0.54,3.54,4.83,90.55,45.83,240.35,6.31,4.82,9.24
"QLDNorth",150.842102050781,-23.602653503418,0.54,3.49,4.42,84581.85,17023.75,790233.32,58.25,31.74,138.42
"QLDSouth",153.157897949219,-26.6982269287109,0.54,1.97,3.35,868597.21,128460.6,12328681.37,24.45,15.27,47.63
"QLDNorth",148.842102050781,-20.2841644287109,0.54,3.2,3.6,3913.23,1199.65,20490.4,155.63,76.22,421.07
"QLDNorth",142.157897949219,-10.5573892593384,0.54,2.86,3.32,356.81,145.42,1299.31,50.89,28.44,116.35
"QLDSouth",152.947372436523,-25.2792816162109,0.54,2.87,4.01,106172.07,19882.23,1122065.62,69.65,37.18,169.91
"SA",137.631576538086,-33.0355453491211,0.54,3.39,4.44,20.85,14.02,35.72,7.69,5.79,11.4
"QLDSouth",153.421051025391,-27.9603595733643,0.54,1.87,3.45,1861503.16,260126.95,27854184.63,12.4,8.37,21.95
"WANorth",116.684211730957,-20.5800476074219,0.54,4.23,5.72,5758.12,1605.1,35259.75,6.38,4.73,9.97
"QLDNorth",142.315780639648,-10.5056486129761,0.54,2.62,3.3,99112.35,17713.56,1157363.75,377.93,169.5,1134
"QLDNorth",145.473678588867,-16.4393119812012,0.54,2.4,3.12,366987.04,54679.29,5509088.34,555.15,213.18,2191.31
"NSW",153.368423461914,-29.4372825622559,0.54,1.79,3.55,8807939.63,959037.91,189452673.8,11.91,8.24,20.15
"NT",136.894729614258,-15.7314138412476,0.54,2.31,3.52,117.03,56.65,332.22,7.48,5.43,11.95
"QLDNorth",142.210525512695,-10.5056486129761,0.54,2.73,3.06,3134.3,918.78,18314.76,331.27,137.55,1168.97
"VIC",144.736846923828,-38.1660194396973,0.54,1.7,2.01,672.72,257.78,2620.88,94.41,50.39,224.7
"VIC",144.894729614258,-38.3313064575195,0.54,1.71,3.58,721.19,274.67,2827.13,13.38,9.14,22.9
"WASouth",115.684211730957,-31.8365268707275,0.54,1.72,4.54,757.4,321.58,2404.35,4.06,3.38,5.2
"SA",138.421051025391,-35.0841407775879,0.54,3.19,4.36,33.23,21.34,60.08,6.61,5.18,9.2
"QLDNorth",150.789474487305,-23.1195735931396,0.54,3.35,4.36,28431.55,6822.04,205494.81,41.75,23.58,95.07
"VIC",144.052627563477,-38.4962158203125,0.54,2.22,3.25,1733.82,592.66,7828.01,43.96,25.12,97.31
"SA",137.789474487305,-35.041072845459,0.54,2.86,3.72,47.68,29.48,90.43,10.26,7.59,15.42
"QLDNorth",148.105270385742,-19.8392944335938,0.54,2.72,3.81,4678.13,1271.97,30737.39,17.66,11.15,34.78
"WANorth",114.157897949219,-21.9531078338623,0.54,2.17,3.5,107650.92,17906.51,1446744.04,12.01,8.01,21.95
"NSW",150.736846923828,-35.0841293334961,0.54,1.83,3.83,4672355.67,464837.62,126592254.76,8.01,5.88,12.44
"NSW",153.157897949219,-30.3042221069336,0.54,1.95,3.73,26019532.08,2230448.02,818948539.38,11.28,7.86,18.86
"VIC",142.263153076172,-38.4138069152832,0.54,1.72,3.14,1885.84,687.85,7471.83,38.91,22.37,85.99
"SA",138.421051025391,-35.1702117919922,0.54,3.19,4.37,34.16,21.84,62.18,6.61,5.17,9.2
"WANorth",115.473686218262,-20.6785373687744,0.54,2.14,3.5,725925.2,106710.86,10570592.56,13.29,8.63,25.41
"VIC",146.473678588867,-38.7018203735352,0.54,2.51,3.56,9947.28,2907.08,53312.83,27.13,17.21,50.87
"QLDNorth",149.473678588867,-21.7577362060547,0.54,4.36,5.37,12336.72,3032.91,91003.18,21.51,13.27,43.53
"QLDNorth",145.315795898438,-15.4779872894287,0.54,2.39,3.09,28591.97,7077.06,194704.11,272.98,118.29,898.64
"VIC",144.631576538086,-38.0832366943359,0.54,1.7,2.03,1570.26,530.54,7316.82,110.9,57.58,275.05
NA,105.684211730957,-10.4021415710449,0.54,1.51,3.44,670491492548.82,11681671595.29,213784110458324,26.98,16.21,56.41
"TAS",145,-41.8324203491211,0.54,2.54,5.65,8951.69,2507.69,52372.92,7.57,5.67,11.35
