"state","lga","longitude","latitude","SLR","SWL_AEPPC","MTWL_AEPPC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90","MTWL_MFSLR_50","MTWL_MFSLR_10","MTWL_MFSLR_90"
"WANorth","Broome",122.211631774902,-18.0006217956543,0.94,6.33,6.53,4222.38,1425.71,18316.95,2037.67,762.38,7666.43
"NT","East Arnhem",136.368728637695,-13.844162940979,0.94,2.76,3.21,1871.39,660.23,7899.63,204.48,97.64,569.19
"QLDNorth","Townsville",147.064956665039,-19.2769813537598,0.94,3.27,4.53,102806.41,22445.96,812110.08,155.04,75.6,423.16
"QLDNorth","Livingstone",150.762512207031,-23.1382923126221,0.94,3.94,5.04,26271.39,6829.54,164166.82,215.08,103.61,586.54
"NSW","Wollongong",150.916046142578,-34.4743537902832,0.94,2.43,3.17,305746.87,63967.09,2446162.91,634.37,266.41,2078.39
"VIC","Surf Coast",143.978164672852,-38.5659713745117,0.94,2.64,2.97,210698.15,40465.33,2014679.14,38785.4,9100.66,286004.67
"SA","Onkaparinga",138.461669921875,-35.1174468994141,0.94,3.34,4.21,15026.12,4166.9,86396.91,554.35,241.8,1707.95
"SA","Ceduna",133.674819946289,-32.189151763916,0.94,3.17,5.43,1834.85,642.04,7880.02,26.88,17.37,48.69
"WASouth","Esperance",121.899345397949,-33.8684463500977,0.94,2.27,2.86,26362.53,6776.75,168164.25,1115.36,445.76,3861.04
"TAS","Burnie",145.898666381836,-41.0429649353027,0.94,3,3.71,508048.83,86950.48,5678636.43,8932.53,2433.95,55161.36
"WASouth","Joondalup",115.727348327637,-31.8087615966797,0.94,2.14,4.56,54771.6,13240.3,373407.99,33.27,20.84,63
"NT","Darwin",130.873245239258,-12.3418684005737,0.94,5.04,5.12,48155.94,12489.77,291373.94,17766.88,5277.12,89291.43
"VIC","Bass Coast",145.221298217773,-38.5328369140625,0.94,2.98,3.67,305891.5,57351.68,2984022.07,5308.14,1619.11,27418.69
"VIC","Glenelg",141.63020324707,-38.4082489013672,0.94,2.03,2.93,62955087.12,5757040.81,1640985091.03,3601.9,1166.68,17065.11
"TAS","Glamorgan-Spring Bay",148.082138061523,-42.5678176879883,0.94,2.03,2.82,17699305.72,1887204.14,377110879.37,1408.42,538.2,5217.18
"WASouth","Fremantle",115.73705291748,-32.0583763122559,0.94,2.14,3.3,42426.88,11010.89,258262.44,251.8,121.29,679.53
"NSW","Waverley",151.290802001953,-33.871639251709,0.94,2.44,3.64,560460.31,107175.2,5086589.46,157.64,81.8,382.25
"SA","Port Pirie",138.000579833984,-33.1267433166504,0.94,3.85,4.27,410.58,189.38,1163.56,345.35,158.56,997.84
"SA","Port Adelaide Enfield",138.475845336914,-34.7812461853027,0.94,3.29,3.59,7404.55,2289.11,36454.28,1839.68,690.23,6929.8
"QLDNorth","Townsville",146.846267700195,-19.251106262207,0.94,3.39,4.42,53401.94,13046.86,357649.66,338.47,148.14,1072.82
"SA","Charles Sturt",138.472106933594,-34.8702430725098,0.94,3.36,3.81,8583.09,2601.14,43423.99,1134.61,455.94,3884.5
"VIC","Queenscliffe",144.617172241211,-38.2871551513672,0.94,2.28,3.41,2969411.41,394969.4,47204625.06,774.25,311.9,2705.92
"NT","Darwin",130.81266784668,-12.4085102081299,0.94,5.04,5.2,46858.55,12025.15,289387,10732.59,3223.19,54441.82
"SA","Victor Harbor",138.605804443359,-35.594554901123,0.94,2.58,3.88,11975.47,3720.96,56779.63,249.43,118.46,691.53
"WASouth","Albany",117.89533996582,-35.1227531433105,0.94,2.12,3.29,236492.43,47353.54,2077907.43,557.29,243.84,1706.69
"SA","Unincorporated SA",135.905776977539,-34.6888732910156,0.94,2.61,2.9,232024.53,48906.99,1860127.27,25465.11,6734.57,154479.28
"SA","Unincorporated SA",133.05322265625,-32.1064491271973,0.94,3.11,3.81,4166.72,1316.6,20478.5,357.35,160.23,1076.95
"WASouth","Greater Geraldton",114.582710266113,-28.7869205474854,0.94,2.07,3.15,368249.83,72166,3276161.97,3658.11,1207.1,16714.77
"NSW","Newcastle",151.791976928711,-32.9030685424805,0.94,2.39,3.82,622861.48,117070.13,5794988.65,117.19,63.01,271.2
"VIC","Hobsons Bay",144.897003173828,-37.8736267089844,0.94,2.05,2.52,1231538.37,190400.62,15682781.38,15210.34,3876.47,102622.74
"QLDSouth","Bundaberg",152.412872314453,-24.7567653656006,0.94,3.05,3.69,6348178.22,758159.86,117271036.3,2251.45,744.76,10615.6
"WASouth","Bunbury",115.637229919434,-33.3057746887207,0.94,2.4,4.31,1875.44,741.22,6427.42,39.7,24.33,77.36
"TAS","Clarence",147.393463134766,-42.9977607727051,0.94,2.17,2.31,2268767.68,301649.33,36787936.94,881643.6,127492.26,13055062.5
"WANorth","Port Hedland",118.570663452148,-20.2921123504639,0.94,4.89,6.07,2608.32,862.12,12175.47,28.51,17.29,58.17
"WANorth","Wyndham-East Kimberley",128.095184326172,-15.3794431686401,0.94,5,5.07,19627868.26,2084990.09,418243092.81,8352035.85,946245.7,167200592.88
"QLDSouth","Brisbane",153.156661987305,-27.3602046966553,0.94,2.68,3.05,114590865.69,9453315.07,3477443753.54,69571.34,15366.29,552021.88
"VIC","Greater Geelong",144.419860839844,-38.2895736694336,0.94,2.11,2.44,189171.1,37938.85,1680782.24,47285.85,10311.17,395539.65
"TAS","Burnie",145.878601074219,-41.0355949401855,0.94,3,3.42,532178.23,90824.56,5961000.7,14223.5,3879.23,84685.64
