NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
QLDSouth,QLD,Fraser Coast,Fraser_Coast,152.7368317,-25.23168945,0.06,2.28,2.92,3.71,3.08,4.83,1.54,1.44,1.7
QLDSouth,QLD,Fraser Coast,Fraser_Coast,152.7894745,-25.23168945,0.06,2.28,3.28,3.74,3.09,4.87,1.57,1.47,1.73
QLDSouth,QLD,Fraser Coast,Fraser_Coast,152.8421021,-25.23168945,0.06,2.28,3.27,3.74,3.1,4.89,1.57,1.47,1.73
QLDSouth,QLD,Fraser Coast,Fraser_Coast,152.8947296,-25.23168945,0.06,2.28,3.27,3.7,3.06,4.82,1.58,1.47,1.73
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153,-25.23168945,0.06,2.28,3.26,3.65,3.02,4.74,1.59,1.48,1.75
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3157959,-25.23168945,0.06,2.27,3.51,4.26,3.46,5.7,1.47,1.38,1.59
WANorth,WA,Carnarvon,Carnarvon,113.7894745,-25.18408012,0.06,1.17,1.83,4.6,3.67,6.35,1.59,1.48,1.77
QLDSouth,QLD,Fraser Coast,Fraser_Coast,152.6842041,-25.18408012,0.06,2.27,2.92,3.76,3.11,4.9,1.55,1.45,1.72
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153,-25.18408012,0.06,2.27,3.28,3.91,3.21,5.16,1.57,1.47,1.72
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3157959,-25.18408012,0.06,2.27,3.51,4.21,3.43,5.63,1.46,1.38,1.59
WANorth,WA,Carnarvon,Carnarvon,113.7368317,-25.13645172,0.06,1.16,1.82,5.71,4.4,8.27,1.62,1.5,1.81
QLDSouth,QLD,Bundaberg,Bundaberg,152.6315765,-25.13645172,0.06,2.28,2.92,3.75,3.1,4.88,1.56,1.46,1.72
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.0526276,-25.13645172,0.06,2.27,3.3,4.25,3.45,5.71,1.56,1.46,1.7
NA,NA,Fraser Coast,Fraser_Coast,153.3684235,-25.13645172,0.06,2.26,3.59,4.51,3.64,6.1,1.43,1.35,1.54
WANorth,WA,Carnarvon,Carnarvon,113.6842117,-25.08880424,0.06,1.15,1.81,6.83,5.13,10.25,1.64,1.52,1.84
QLDSouth,QLD,Bundaberg,Bundaberg,152.578949,-25.08880424,0.06,2.28,2.93,3.68,3.06,4.77,1.56,1.46,1.73
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1052551,-25.08880424,0.06,2.26,3.31,4.56,3.68,6.16,1.56,1.46,1.71
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3684235,-25.08880424,0.06,2.26,3.56,4.54,3.65,6.14,1.44,1.36,1.55
WANorth,WA,Carnarvon,Carnarvon,113.6315765,-25.0411377,0.06,1.14,1.8,8.01,5.9,12.37,1.65,1.53,1.86
QLDSouth,QLD,Bundaberg,Bundaberg,152.578949,-25.0411377,0.06,2,2.65,3.73,3.09,4.84,1.57,1.46,1.74
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-25.0411377,0.06,2.26,3.42,4.74,3.8,6.43,1.49,1.41,1.62
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3684235,-25.0411377,0.06,2.26,3.55,4.59,3.69,6.24,1.44,1.36,1.55
WANorth,WA,Carnarvon,Carnarvon,113.6315765,-24.99345398,0.06,1.14,1.8,8.94,6.49,14.07,1.66,1.53,1.86
QLDSouth,QLD,Bundaberg,Bundaberg,152.5263214,-24.99345398,0.06,2,2.66,3.69,3.06,4.79,1.56,1.46,1.73
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-24.99345398,0.06,2.26,2.82,4.74,3.8,6.44,1.6,1.49,1.78
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3684235,-24.99344444,0.06,2.26,3.54,4.66,3.74,6.35,1.44,1.36,1.55
WANorth,WA,Carnarvon,Carnarvon,113.6315765,-24.94574928,0.06,1.14,1.8,9.39,6.77,14.9,1.66,1.53,1.87
QLDSouth,QLD,Bundaberg,Bundaberg,152.5263214,-24.94574928,0.06,2,2.66,3.71,3.07,4.83,1.57,1.46,1.73
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-24.94574928,0.06,2.26,2.81,4.75,3.81,6.46,1.62,1.5,1.8
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3684235,-24.94574165,0.06,2.26,3.54,4.74,3.79,6.47,1.43,1.36,1.55
QLDSouth,QLD,Bundaberg,Bundaberg,152.5263214,-24.89802933,0.06,2,2.66,3.71,3.07,4.84,1.57,1.46,1.74
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-24.89802933,0.06,2.26,2.81,4.75,3.81,6.45,1.63,1.51,1.82
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3157959,-24.89802933,0.06,2.26,3.56,4.71,3.77,6.42,1.42,1.34,1.53
WANorth,WA,Carnarvon,Carnarvon,113.5789337,-24.85028839,0.06,1.14,1.85,7.98,5.94,12.05,1.59,1.48,1.77
QLDSouth,QLD,Bundaberg,Bundaberg,152.5263214,-24.85028839,0.06,2,2.66,3.74,3.1,4.88,1.57,1.47,1.74
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-24.85028839,0.06,2.26,2.87,4.71,3.79,6.38,1.61,1.5,1.79
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3157959,-24.85028839,0.06,2.26,3.56,4.71,3.77,6.43,1.42,1.34,1.53
WANorth,WA,Carnarvon,Carnarvon,113.5789337,-24.80253029,0.06,1.15,1.9,6.59,5.06,9.5,1.55,1.44,1.72
QLDSouth,QLD,Bundaberg,Bundaberg,152.4736786,-24.80253029,0.06,2,2.67,3.7,3.06,4.82,1.56,1.45,1.72
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-24.80253029,0.06,2.26,2.87,4.65,3.75,6.28,1.62,1.51,1.81
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3157959,-24.80253029,0.06,2.26,3.56,4.76,3.81,6.51,1.42,1.35,1.53
WANorth,WA,Carnarvon,Carnarvon,113.5789337,-24.75475311,0.06,1.16,2,5.76,4.53,8.03,1.53,1.43,1.68
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.1578979,-24.75475311,0.06,2.26,2.86,4.6,3.71,6.19,1.63,1.51,1.82
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.3157959,-24.75475311,0.06,2.26,3.56,4.82,3.86,6.6,1.41,1.34,1.52
WANorth,WA,Carnarvon,Carnarvon,113.5789337,-24.70695877,0.06,1.15,2.07,6.04,4.72,8.49,1.66,1.54,1.85
QLDSouth,QLD,Bundaberg,Bundaberg,152.3157959,-24.70695877,0.06,2.01,2.9,3.44,2.89,4.4,1.49,1.4,1.64
QLDSouth,QLD,Bundaberg,Bundaberg,152.3684082,-24.70695877,0.06,2,2.75,3.55,2.97,4.57,1.53,1.43,1.68
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.2105103,-24.70695877,0.06,2.26,2.86,4.56,3.68,6.16,1.65,1.53,1.85
QLDSouth,QLD,Fraser Coast,Fraser_Coast,153.2631531,-24.70695877,0.06,2.26,3.48,4.69,3.77,6.37,1.44,1.36,1.56
WANorth,WA,Carnarvon,Carnarvon,113.5263138,-24.65914536,0.06,1.14,2.06,8.76,6.48,13.29,1.69,1.56,1.88
QLDSouth,QLD,Bundaberg,Bundaberg,152.2631531,-24.65914536,0.06,2.01,2.89,3.42,2.88,4.36,1.5,1.41,1.65
WANorth,WA,Carnarvon,Carnarvon,113.4736862,-24.61131287,0.06,1.14,2.05,7.83,5.89,11.64,1.72,1.59,1.93
