NCRA,central,lga,LGA,longitude,latitude,SLR,SWL_AEPPC,MTWL_AEPPC,SWL_MFSLR_50,SWL_MFSLR_10,SWL_MFSLR_90,MTWL_MFSLR_50,MTWL_MFSLR_10,MTWL_MFSLR_90
WANorth,WA,Broome,Broome,122.2182922,-18.00079918,0.06,5.12,5.53,2.05,1.85,2.35,1.54,1.44,1.69
NT,NT,East Arnhem,East_Arnhem,136.3684235,-13.85999489,0.06,1.54,1.86,1.79,1.64,2.03,1.46,1.38,1.6
QLDNorth,QLD,Townsville,Townsville,147.1052704,-19.27739906,0.06,2.13,2.38,3.23,2.71,4.15,1.98,1.79,2.3
QLDNorth,QLD,Livingstone,Livingstone,150.7935333,-23.12276649,0.06,2.75,3.54,3.13,2.67,3.91,1.51,1.42,1.66
NSW,NSW,Wollongong,Wollongong,150.9134674,-34.47707748,0.06,1.28,2.52,6.29,4.78,9.31,1.3,1.25,1.37
VIC,VIC,Surf Coast,Surf_Coast,144,-38.57852936,0.06,1.56,2.42,2.31,2.05,2.73,1.53,1.43,1.67
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.10848999,0.06,2.35,3.21,1.48,1.41,1.58,1.23,1.2,1.28
SA,SA,Ceduna,Ceduna,133.6315765,-32.19345093,0.06,2.06,3.52,1.47,1.4,1.56,1.18,1.16,1.21
WASouth,WA,Esperance,Esperance,121.8970871,-33.87070084,0.06,1.16,1.42,2,1.83,2.26,1.58,1.49,1.71
TAS,TAS,Burnie,Burnie,145.9140015,-40.99999619,0.06,1.96,2.97,2.22,1.99,2.59,1.37,1.31,1.46
WASouth,WA,Joondalup,Joondalup,115.6842117,-31.82559586,0.06,1.05,3.28,2.09,1.9,2.38,1.17,1.14,1.2
NT,NT,Darwin,Darwin,130.8457947,-12.29999924,0.06,3.86,4.47,3.75,3.13,4.8,1.42,1.35,1.52
VIC,VIC,Bass Coast,Bass_Coast,145.2246857,-38.54999542,0.06,1.95,3.11,2.02,1.82,2.34,1.41,1.34,1.52
VIC,VIC,Glenelg,Glenelg,141.6315765,-38.41380692,0.06,1.06,2.66,2.42,2.15,2.82,1.44,1.36,1.55
TAS,TAS,Glamorgan-Spring Bay,Glamorgan-Spring_Bay,148.0999908,-42.54639053,0.06,1.04,1.56,2.49,2.18,2.98,1.61,1.5,1.76
WASouth,WA,Fremantle,Fremantle,115.7368317,-32.05976868,0.06,1.04,3.2,2.07,1.88,2.36,1.16,1.14,1.19
NSW,NSW,Waverley,Waverley,151.3157959,-33.86966324,0.06,1.31,2.92,5.89,4.53,8.53,1.25,1.21,1.3
SA,SA,Port Pirie,Port_Pirie,138,-33.12372589,0.06,2.67,3.53,1.38,1.32,1.46,1.24,1.2,1.29
SA,SA,Port Adelaide Enfield,Port_Adelaide_Enfield,138.4736786,-34.78216934,0.06,2.28,2.97,1.47,1.4,1.56,1.26,1.22,1.31
QLDNorth,QLD,Townsville,Townsville,146.8947296,-19.24419785,0.06,2.24,3.04,2.87,2.46,3.59,1.47,1.38,1.61
SA,SA,Charles Sturt,Charles_Sturt,138.4736633,-34.86856842,0.06,2.36,3.04,1.46,1.4,1.56,1.26,1.22,1.31
VIC,VIC,Queenscliffe,Queenscliffe,144.6315765,-38.29001999,0.06,1.3,2.36,2.05,1.85,2.36,1.52,1.43,1.66
NT,NT,Darwin,Darwin,130.7894745,-12.41392517,0.06,3.87,4.52,3.61,3.02,4.61,1.38,1.32,1.47
SA,SA,Victor Harbor,Victor_Harbor,138.6315765,-35.59918976,0.06,1.5,2.3,1.69,1.58,1.85,1.52,1.43,1.67
WASouth,WA,Albany,Albany,117.8947372,-35.12718582,0.06,1.07,3.31,2.12,1.94,2.4,1.21,1.18,1.25
SA,SA,Unincorporated SA,Unincorporated_SA,135.8947296,-34.69570541,0.06,1.61,3.29,1.82,1.68,2.02,1.35,1.29,1.43
WASouth,WA,Esperance,Esperance,121.8947372,-33.86966324,0.06,1.16,1.42,2,1.83,2.26,1.58,1.49,1.71
SA,SA,Unincorporated SA,Unincorporated_SA,133.0526276,-32.10435104,0.06,2.02,3.65,1.55,1.47,1.67,1.21,1.18,1.26
WASouth,WA,Greater Geraldton,Greater_Geraldton,114.5789337,-28.79369736,0.06,1,2.58,2.62,2.28,3.18,1.33,1.28,1.41
NSW,NSW,Newcastle,Newcastle,151.7894745,-32.9031105,0.06,1.27,2.84,4.53,3.61,6.25,1.27,1.22,1.33
VIC,VIC,Hobsons Bay,Hobsons_Bay,144.8947296,-37.87586594,0.06,1.05,1.27,2.04,1.83,2.38,1.65,1.54,1.83
QLDSouth,QLD,Bundaberg,Bundaberg,152.421051,-24.75475311,0.06,2,2.75,3.62,3.01,4.68,1.53,1.43,1.68
WASouth,WA,Bunbury,Bunbury,115.6315765,-33.29981613,0.06,1.16,3.16,1.87,1.72,2.09,1.21,1.18,1.26
TAS,TAS,Clarence,Clarence,147.3684235,-42.99770737,0.06,1.15,1.41,2.29,2.03,2.71,1.95,1.77,2.22
WANorth,WA,Port Hedland,Port_Hedland,118.578949,-20.28416443,0.06,3.62,4.54,2.34,2.07,2.79,1.24,1.2,1.3
WANorth,WA,Wyndham-East Kimberley,Wyndham-East_Kimberley,128.1052551,-15.37652874,0.06,3.87,4.64,3.48423E+11,2.72546E+11,4.47489E+11,1.58,1.47,1.76
QLDSouth,QLD,Brisbane,Brisbane,153.1578979,-27.35446167,0.06,1.63,2.75,7,5.25,10.52,1.36,1.3,1.46
VIC,VIC,Greater Geelong,Greater_Geelong,144.421051,-38.29001999,0.06,1.05,1.73,2.15,1.92,2.51,1.63,1.52,1.81
TAS,TAS,Burnie,Burnie,145.8947296,-41.00385284,0.06,1.96,2.87,2.21,1.98,2.57,1.41,1.34,1.51
WANorth,WA,Carnarvon,Carnarvon,113.6315765,-24.89802933,0.06,1.14,1.85,10.08,7.19,16.24,1.6,1.48,1.78
QLDNorth,QLD,Mackay,Mackay,149.2631531,-21.12099075,0.06,3.56,4.3,3.46,2.9,4.45,1.48,1.4,1.62
TAS,TAS,George Town,George_Town,146.7894745,-41.04354858,0.06,1.93,3.27,2.29,2.03,2.71,1.31,1.27,1.38
WANorth,WA,Broome,Broome,122.2105179,-17.99750137,0.06,5.12,5.53,2.05,1.85,2.35,1.54,1.44,1.69
QLDNorth,QLD,Cairns,Cairns,145.8421021,-16.84267616,0.06,1.84,2.47,3.7,3.07,4.81,1.96,1.77,2.27
NT,NT,East Arnhem,East_Arnhem,136.6842041,-12.20826054,0.06,2.03,2.34,2.82,2.43,3.49,1.91,1.73,2.19
QLDNorth,QLD,Aurukun,Aurukun,141.7894745,-12.67077732,0.06,1.84,3.14,1.82,1.66,2.09,1.21,1.18,1.26
QLDNorth,QLD,Gladstone,Gladstone,151.421051,-23.93975639,0.06,2.51,3.25,4,3.28,5.28,1.61,1.49,1.79
NSW,NSW,Unincorporated NSW,Unincorporated_NSW,159.0526276,-31.52307701,0.06,1.5,3.38,5.44,4.25,7.72,1.27,1.23,1.34
VIC,VIC,East Gippsland,East_Gippsland,147.9473572,-37.9173851,0.06,0.92,1.89,2.49,2.2,2.96,1.31,1.26,1.39
QLDNorth,QLD,Gladstone,Gladstone,151.3157959,-23.79538155,0.06,2.52,3.31,3.73,3.09,4.85,1.53,1.44,1.69
VIC,VIC,Bass Coast,Bass_Coast,145.1052704,-38.49621582,0.06,1.95,3.23,2.01,1.81,2.32,1.38,1.31,1.47
NSW,NSW,Bega Valley,Bega_Valley,149.9473724,-37.08251572,0.06,1.28,2.03,3.95,3.22,5.29,1.46,1.38,1.59
NT,NT,East Arnhem,East_Arnhem,136.421051,-13.79778194,0.06,1.48,1.83,2.13,1.9,2.51,1.53,1.44,1.68
QLDNorth,QLD,Torres,Torres,141.8947296,-10.60912132,0.06,2.21,3.45,2.12,1.89,2.49,1.24,1.21,1.3
SA,SA,Grant,Grant,140.6842041,-38.08323669,0.06,1.06,3.42,2.47,2.2,2.89,1.3,1.25,1.37
NSW,NSW,Northern Beaches,Northern_Beaches,151.3157959,-33.82596207,0.06,1.31,2.86,5.93,4.56,8.6,1.26,1.22,1.31
WANorth,WA,Karratha,Karratha,116.7368317,-20.58004761,0.06,3.61,4.55,2.46,2.16,2.95,1.23,1.19,1.29
SA,SA,Copper Coast,Copper_Coast,137.5789337,-33.91334152,0.06,1.94,3.05,1.47,1.39,1.57,1.22,1.19,1.27
QLDNorth,QLD,Townsville,Townsville,147.1052704,-19.29387474,0.06,2.14,2.38,3.21,2.7,4.12,1.98,1.79,2.3
TAS,TAS,Devonport,Devonport,146.3684082,-41.12286758,0.06,1.97,3.23,2.28,2.03,2.69,1.31,1.26,1.38
NSW,NSW,Randwick,Randwick,151.2631531,-34.00062943,0.06,1.3,2.94,5.88,4.53,8.51,1.24,1.21,1.3
QLDNorth,QLD,Mackay,Mackay,149.3157806,-21.26818085,0.06,3.72,4.5,3.38,2.84,4.31,1.44,1.37,1.57
QLDNorth,QLD,Cassowary Coast,Cassowary_Coast,146.1578979,-17.59665489,0.06,1.81,2.69,3.21,2.72,4.06,1.52,1.42,1.67
TAS,TAS,Glamorgan-Spring Bay,Glamorgan-Spring_Bay,148.0526276,-42.53419113,0.06,1.04,1.56,2.49,2.18,2.98,1.6,1.5,1.75
QLDNorth,QLD,Cassowary Coast,Cassowary_Coast,146.3684235,-18.49727631,0.06,2.16,2.91,3.1,2.62,3.96,1.55,1.44,1.71
WANorth,WA,Ashburton,Ashburton,115.1578979,-21.61104965,0.06,1.61,2.67,2.66,2.29,3.32,1.21,1.17,1.27
WANorth,WA,Karratha,Karratha,117.1578979,-20.58004761,0.06,3.63,4.59,2.17,1.92,2.58,1.21,1.17,1.27
QLDNorth,QLD,Carpentaria,Carpentaria,140.7894745,-17.49630356,0.06,2.78,3.66,1.65,1.53,1.84,1.23,1.19,1.28
QLDNorth,QLD,Rockhampton,Rockhampton,150.8421021,-23.6026535,0.06,2.9,3.63,3.53,2.95,4.52,1.57,1.47,1.73
QLDSouth,QLD,Sunshine Coast,Sunshine_Coast,153.1578979,-26.69822693,0.06,1.39,2.47,4.57,3.7,6.14,1.43,1.35,1.54
QLDNorth,QLD,Whitsunday,Whitsunday,148.8421021,-20.28416443,0.06,2.57,2.86,2.51,2.2,3.01,1.75,1.62,1.96
QLDNorth,QLD,Torres,Torres,142.1578979,-10.55738926,0.06,2.16,2.52,1.92,1.74,2.22,1.55,1.45,1.7
QLDSouth,QLD,Fraser Coast,Fraser_Coast,152.9473724,-25.27928162,0.06,2.28,3.24,3.62,3,4.7,1.6,1.49,1.77
SA,SA,Unincorporated SA,Unincorporated_SA,137.6315765,-33.03554535,0.06,2.5,3.34,1.4,1.34,1.49,1.25,1.22,1.31
QLDSouth,QLD,Gold Coast,Gold_Coast,153.421051,-27.96035957,0.06,1.31,2.47,4.97,4,6.72,1.32,1.27,1.41
WANorth,WA,Karratha,Karratha,116.6842117,-20.58004761,0.06,3.6,4.56,2.62,2.27,3.2,1.23,1.19,1.29
QLDNorth,QLD,Torres,Torres,142.3157806,-10.50564861,0.06,2.03,2.61,3.59,2.97,4.72,1.93,1.77,2.18
QLDNorth,QLD,Douglas,Douglas,145.4736786,-16.43931198,0.06,1.82,2.44,4.15,3.36,5.61,2.02,1.81,2.35
NSW,NSW,Clarence Valley,Clarence_Valley,153.3684235,-29.43728256,0.06,1.23,2.56,5.91,4.62,8.31,1.32,1.26,1.4
NT,NT,Roper Gulf,Roper_Gulf,136.8947296,-15.73141384,0.06,1.56,2.41,1.7,1.57,1.91,1.25,1.21,1.32
QLDNorth,QLD,Torres Strait Island,Torres_Strait_Island,142.2105255,-10.50564861,0.06,2.09,2.36,2.45,2.13,2.98,1.91,1.73,2.19
VIC,VIC,Greater Geelong,Greater_Geelong,144.7368469,-38.16601944,0.06,1.02,1.25,2.06,1.85,2.4,1.66,1.55,1.83
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,144.8947296,-38.33130646,0.06,1.03,2.61,2.08,1.87,2.42,1.33,1.28,1.42
WASouth,WA,Joondalup,Joondalup,115.6842117,-31.83652687,0.06,1.05,3.15,2.09,1.9,2.38,1.17,1.14,1.2
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.08414078,0.06,2.35,3.21,1.48,1.41,1.58,1.23,1.2,1.28
QLDNorth,QLD,Livingstone,Livingstone,150.7894745,-23.11957359,0.06,2.75,3.54,3.13,2.67,3.89,1.51,1.42,1.66
VIC,VIC,Surf Coast,Surf_Coast,144.0526276,-38.49621582,0.06,1.57,2.44,2.29,2.03,2.71,1.52,1.43,1.66
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.7894745,-35.04107285,0.06,2.05,2.7,1.54,1.46,1.65,1.3,1.25,1.36
QLDNorth,QLD,Whitsunday,Whitsunday,148.1052704,-19.83929443,0.06,2.09,2.89,2.56,2.21,3.15,1.38,1.31,1.48
WANorth,WA,Exmouth,Exmouth,114.1578979,-21.95310783,0.06,1.58,2.51,3.62,2.97,4.84,1.32,1.26,1.41
NSW,NSW,Shoalhaven,Shoalhaven,150.7368469,-35.08412933,0.06,1.27,2.74,5.51,4.26,7.95,1.26,1.22,1.32
NSW,NSW,Coffs Harbour,Coffs_Harbour,153.1578979,-30.30422211,0.06,1.4,2.72,6.67,5.07,9.78,1.31,1.26,1.39
VIC,VIC,Moyne,Moyne,142.2631531,-38.41380692,0.06,1.07,2.31,2.31,2.07,2.69,1.5,1.41,1.64
SA,SA,Onkaparinga,Onkaparinga,138.421051,-35.17021179,0.06,2.35,3.21,1.48,1.41,1.58,1.23,1.2,1.28
WANorth,WA,Ashburton,Ashburton,115.4736862,-20.67853737,0.06,1.57,2.53,4.48,3.62,6.03,1.33,1.27,1.43
VIC,VIC,South Gippsland,South_Gippsland,146.4736786,-38.70182037,0.06,1.89,2.7,2.78,2.43,3.35,1.44,1.37,1.55
QLDNorth,QLD,Isaac,Isaac,149.4736786,-21.75773621,0.06,3.74,4.48,2.85,2.44,3.56,1.41,1.33,1.52
QLDNorth,QLD,Cook,Cook,145.3157959,-15.47798729,0.06,1.78,2.39,3.13,2.68,3.87,1.87,1.7,2.13
VIC,VIC,Greater Geelong,Greater_Geelong,144.6315765,-38.08323669,0.06,1.05,1.28,2.27,2.01,2.69,1.69,1.57,1.87
NA,NA,Christmas Island,Christmas_Island,105.6842117,-10.40214157,0.06,0.99,2.58,20.61,13.14,39.1,1.44,1.36,1.57
TAS,TAS,West Coast,West_Coast,145,-41.83242035,0.06,1.92,4.55,2.75,2.39,3.34,1.25,1.21,1.31
WASouth,WA,Dundas,Dundas,128.8947296,-31.74707794,0.06,1.94,3.23,1.82,1.68,2.02,1.29,1.24,1.35
SA,SA,Kingston (SA),Kingston_SA,139.6842041,-36.95649338,0.06,1.52,3.53,1.63,1.53,1.77,1.25,1.21,1.3
SA,SA,Kangaroo Island,Kangaroo_Island,137.2105255,-36.02588272,0.06,1.94,3,1.91,1.76,2.12,1.51,1.42,1.64
TAS,TAS,Circular Head,Circular_Head,145.3157959,-40.76516724,0.06,1.95,2.98,2.29,2.05,2.66,1.38,1.32,1.47
SA,SA,Elliston,Elliston,134.8420868,-33.65093613,0.06,1.68,3.6,1.57,1.48,1.7,1.19,1.16,1.23
WASouth,WA,Mandurah,Mandurah,115.6842117,-32.59332657,0.06,0.89,3.19,1.78,1.66,1.97,1.17,1.14,1.2
WANorth,WA,Shark Bay,Shark_Bay,113.4736862,-25.94357872,0.06,1.22,2.77,2.58,2.24,3.14,1.36,1.3,1.44
VIC,VIC,Greater Geelong,Greater_Geelong,144.4736633,-38.29001999,0.06,1.29,2.2,2.13,1.91,2.48,1.56,1.46,1.71
SA,SA,Port Augusta,Port_Augusta,137.7894745,-32.63764572,0.06,2.49,3.36,1.41,1.35,1.5,1.25,1.21,1.3
QLDSouth,QLD,Noosa,Noosa,153.1052704,-26.36867714,0.06,1.4,2.42,4.41,3.58,5.89,1.49,1.41,1.62
SA,SA,Unincorporated SA,Unincorporated_SA,132.421051,-32.01516342,0.06,1.98,3.71,1.64,1.54,1.78,1.22,1.19,1.27
WANorth,WA,Derby-West Kimberley,Derby-West_Kimberley,123.5789413,-17.29543304,0.06,5.07,5.3,2.55,2.2,3.14,1.73,1.58,1.97
SA,SA,Unincorporated SA,Unincorporated_SA,136.5789337,-35.17021179,0.06,1.62,3.67,1.76,1.64,1.94,1.23,1.2,1.28
WANorth,WA,Derby-West Kimberley,Derby-West_Kimberley,123.7368317,-16.0856781,0.06,5.07,5.55,2.6,2.26,3.16,1.38,1.31,1.5
WANorth,WA,Ashburton,Ashburton,115,-21.46420479,0.06,1.58,2.62,3.71,3.05,4.89,1.24,1.19,1.3
SA,SA,Wattle Range,Wattle_Range,140,-37.50112534,0.06,1.08,3.51,2.17,1.97,2.47,1.28,1.24,1.34
QLDNorth,QLD,Torres,Torres,142.6315765,-10.71255875,0.06,2.02,2.71,4.07,3.31,5.47,1.84,1.69,2.08
TAS,TAS,Huon Valley,Huon_Valley,147.1052704,-43.3047905,0.06,1.16,1.36,2.25,2,2.67,1.99,1.79,2.32
QLDNorth,QLD,Torres,Torres,142.421051,-10.45390034,0.06,2.03,2.61,3.84,3.15,5.09,1.99,1.82,2.27
NA,NA,Unincorporated SA,Unincorporated_SA,135.7368469,-35.77013016,0.06,1.52,4.32,2.61,2.3,3.11,1.21,1.18,1.26
NA,NA,Robe,Robe,139.5263214,-37.54285431,0.06,1.05,3.77,2.67,2.35,3.18,1.25,1.21,1.3
SA,SA,Unincorporated SA,Unincorporated_SA,136.1578979,-34.99798203,0.06,1.61,2.81,1.82,1.68,2.02,1.35,1.3,1.43
VIC,VIC,Unincorporated Vic,Unincorporated_Vic,146.5263214,-38.90683746,0.06,1.91,2.66,2.46,2.17,2.92,1.47,1.39,1.57
WANorth,WA,Shark Bay,Shark_Bay,114.1578979,-26.36867714,0.06,1.29,2.75,1.91,1.73,2.18,1.29,1.24,1.35
NA,NA,Fraser Coast,Fraser_Coast,153.5263214,-24.94574928,0.06,2.26,3.67,5.07,4.06,6.88,1.37,1.31,1.47
WASouth,WA,Rockingham,Rockingham,115.6842117,-32.32693863,0.06,0.86,3.24,1.93,1.78,2.17,1.16,1.14,1.19
WASouth,WA,Nedlands,Nedlands,115.7368317,-31.97053528,0.06,1.04,3.2,2.08,1.89,2.37,1.16,1.14,1.19
WANorth,WA,Exmouth,Exmouth,114.1052628,-22.09945107,0.06,1.61,2.58,2.67,2.29,3.33,1.41,1.34,1.53
WANorth,WA,Ashburton,Ashburton,115.5263138,-20.82617188,0.06,1.58,2.43,3.5,2.93,4.48,1.32,1.26,1.41
SA,SA,Kangaroo Island,Kangaroo_Island,137.9473724,-35.68470001,0.06,1.56,2.2,1.53,1.45,1.64,1.33,1.28,1.4
SA,SA,Cleve,Cleve,136.578949,-33.95699692,0.06,1.89,2.67,1.57,1.49,1.7,1.28,1.24,1.34
SA,SA,Lower Eyre Peninsula,Lower_Eyre_Peninsula,136.0526276,-34.86856842,0.06,1.6,2.2,1.83,1.69,2.04,1.46,1.39,1.56
SA,SA,Whyalla,Whyalla,137.7894745,-32.99142456,0.06,2.5,3.35,1.4,1.34,1.49,1.25,1.21,1.3
SA,SA,Yorke Peninsula,Yorke_Peninsula,137.3684235,-34.91171646,0.06,2.03,3.23,1.57,1.48,1.7,1.22,1.19,1.27
QLDNorth,QLD,Mackay,Mackay,149.8947296,-21.02278137,0.06,3.72,4.63,3.43,2.87,4.39,1.46,1.38,1.6
VIC,VIC,East Gippsland,East_Gippsland,148,-37.91738892,0.06,0.92,1.98,2.53,2.23,3.01,1.3,1.25,1.38
NA,NA,Mackay,Mackay,150.3157806,-20.08660889,0.06,3.56,4.6,3.48,2.93,4.42,1.39,1.32,1.5
NSW,NSW,Ballina,Ballina,153.6315765,-28.83980179,0.06,1.32,2.62,6.81,5.2,9.91,1.35,1.29,1.44
NT,NT,Unincorporated NT,Unincorporated_NT,130.5263214,-12.61942768,0.06,3.86,4.65,3.69,3.08,4.75,1.33,1.27,1.4
SA,SA,Yankalilla,Yankalilla,138.0526276,-35.59918976,0.06,1.57,2.26,1.51,1.44,1.62,1.31,1.27,1.38
NSW,NSW,Port Stephens,Port_Stephens,152.2105255,-32.72621155,0.06,1.33,2.66,4.88,3.87,6.79,1.31,1.26,1.38
QLDNorth,QLD,Cook,Cook,144.8421021,-14.51216698,0.06,1.79,2.48,3.79,3.16,4.89,1.84,1.69,2.06
QLDNorth,QLD,Gladstone,Gladstone,152.4736786,-22.0018959,0.06,2.73,4.06,3.82,3.19,4.91,1.32,1.27,1.41
VIC,VIC,Bass Coast,Bass_Coast,145.3684082,-38.57852936,0.06,1.96,3.55,1.99,1.8,2.3,1.3,1.25,1.37
NA,NA,Dundas,Dundas,126.0526352,-32.32693863,0.06,1.17,2.68,1.91,1.75,2.15,1.29,1.24,1.35
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,144.7894745,-38.33130646,0.06,1.04,2.52,2.07,1.86,2.4,1.34,1.28,1.42
QLDNorth,QLD,Cook,Cook,143.421051,-12.56806755,0.06,1.72,2.47,3.67,3.06,4.72,1.86,1.7,2.11
QLDNorth,QLD,Gladstone,Gladstone,151.8947296,-23.40963364,0.06,2.51,3.6,4.39,3.58,5.82,1.46,1.38,1.59
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,145.0526276,-38.49621582,0.06,1.95,3.44,2.02,1.82,2.34,1.34,1.29,1.43
VIC,VIC,Kingston (Vic.),Kingston_Vic,145.1052704,-38.08322525,0.06,1.06,1.3,1.94,1.76,2.23,1.58,1.48,1.72
WANorth,WA,Wyndham-East Kimberley,Wyndham-East_Kimberley,124.1578979,-15.32578087,0.06,5.07,5.8,2.62,2.3,3.15,1.32,1.26,1.41
VIC,VIC,Bass Coast,Bass_Coast,145.3684082,-38.53738403,0.06,1.96,2.92,1.98,1.79,2.29,1.44,1.36,1.56
VIC,VIC,Wyndham,Wyndham,144.6842041,-38.00035858,0.06,1.05,1.29,2.2,1.95,2.6,1.68,1.56,1.85
VIC,VIC,Surf Coast,Surf_Coast,144.3684235,-38.33130646,0.06,1.05,1.73,2.16,1.93,2.53,1.64,1.52,1.82
SA,SA,Elliston,Elliston,134.2631531,-33.91334152,0.06,1.61,3.93,1.79,1.66,1.98,1.18,1.16,1.22
QLDNorth,QLD,Cook,Cook,143.578949,-13.18369389,0.06,1.72,2.54,3.68,3.07,4.73,2.07,1.85,2.45
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,145,-38.24871063,0.06,1.04,1.28,2.06,1.86,2.4,1.62,1.52,1.78
QLDNorth,QLD,Cook,Cook,145.4736786,-14.66494751,0.06,1.79,2.57,3.83,3.18,4.96,1.92,1.74,2.21
WASouth,WA,Dandaragan,Dandaragan,115,-30.30422211,0.06,1,3.19,2.8,2.44,3.4,1.24,1.2,1.29
QLDNorth,QLD,Livingstone,Livingstone,150.6842041,-21.95310783,0.06,2.75,3.91,3.25,2.77,4.06,1.35,1.29,1.44
QLDNorth,QLD,Cook,Cook,143.6842041,-13.49093914,0.06,1.72,2.55,3.51,2.96,4.46,2.13,1.89,2.53
QLDNorth,QLD,Gladstone,Gladstone,151.3684235,-23.84352112,0.06,2.51,3.26,3.9,3.21,5.13,1.59,1.48,1.77
SA,SA,Franklin Harbour,Franklin_Harbour,136.8947296,-33.78224182,0.06,1.92,2.76,1.51,1.44,1.62,1.25,1.22,1.31
WANorth,WA,Broome,Broome,122.8947372,-16.38883209,0.06,5.06,5.85,2.78,2.41,3.39,1.28,1.23,1.36
QLDNorth,QLD,Palm Island,Palm_Island,146.7368469,-18.79643631,0.06,2.16,2.93,3.04,2.58,3.86,1.53,1.43,1.69
VIC,VIC,Greater Geelong,Greater_Geelong,144.578949,-38.08322525,0.06,1.04,1.27,2.33,2.05,2.77,1.71,1.58,1.89
NT,NT,Roper Gulf,Roper_Gulf,136.5263214,-15.52869701,0.06,1.55,2.41,1.74,1.6,1.96,1.24,1.2,1.3
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,144.6842041,-38.29001999,0.06,1,2.09,2.11,1.9,2.45,1.5,1.41,1.63
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,144.7368317,-38.29001999,0.06,0.99,2.48,2.14,1.91,2.49,1.34,1.28,1.42
VIC,VIC,Bayside (Vic.),Bayside_Vic,145,-38.00035858,0.06,1.05,1.28,2.01,1.81,2.33,1.62,1.52,1.78
VIC,VIC,Port Phillip,Port_Phillip,144.9473572,-37.87586594,0.06,1.05,1.28,2.03,1.82,2.36,1.65,1.54,1.82
NT,NT,Roper Gulf,Roper_Gulf,135.7368469,-14.30828762,0.06,1.61,2.32,1.56,1.45,1.72,1.28,1.23,1.35
QLDNorth,QLD,Torres,Torres,143.2631531,-9.728520393,0.06,2.03,2.55,3.68,3.06,4.76,2.1,1.88,2.44
SA,SA,Port Augusta,Port_Augusta,137.8421021,-32.72621155,0.06,2.49,3.37,1.4,1.34,1.49,1.25,1.21,1.3
WANorth,WA,Karratha,Karratha,115.5263138,-20.38286018,0.06,1.56,2.88,5.11,4.01,7.2,1.23,1.19,1.29
QLDNorth,QLD,Douglas,Douglas,145.5263214,-16.38883209,0.06,1.82,2.44,4.33,3.48,5.91,2.02,1.81,2.35
NT,NT,East Arnhem,East_Arnhem,135.1578979,-12.20826054,0.06,2.03,2.57,2.76,2.38,3.38,1.5,1.41,1.63
TAS,TAS,Circular Head,Circular_Head,144.7368469,-40.44559479,0.06,1.91,3.72,3.16,2.66,4.03,1.4,1.33,1.49
NA,NA,King Island,King_Island,144.1578979,-40.08426666,0.06,1.53,2.63,3,2.56,3.75,1.56,1.46,1.71
NA,NA,Cook,Cook,145.7894745,-15.68075275,0.06,1.76,2.83,3.87,3.2,5.05,1.62,1.51,1.79
NA,NA,Mackay,Mackay,150.3684082,-20.53077507,0.06,3.58,4.65,2.89,2.49,3.55,1.43,1.35,1.54
VIC,VIC,Bass Coast,Bass_Coast,145.2631531,-38.53738403,0.06,1.95,3.17,2.01,1.81,2.33,1.38,1.32,1.48
NA,NA,Pormpuraaw,Pormpuraaw,141.3684082,-14.51216698,0.06,1.8,2.92,2.05,1.83,2.42,1.24,1.21,1.3
WANorth,WA,Broome,Broome,121.9473648,-18.39742851,0.06,5.08,5.68,2.47,2.19,2.93,1.39,1.32,1.5
VIC,VIC,Wyndham,Wyndham,144.8420868,-37.9173851,0.06,1.04,1.27,2.06,1.85,2.41,1.66,1.54,1.83
WASouth,WA,Manjimup,Manjimup,116,-34.86856842,0.06,1.1,3.44,1.92,1.76,2.14,1.21,1.19,1.25
NA,NA,Whitsunday,Whitsunday,149.9473724,-16.28782654,0.06,1.8,3.32,3.69,3.08,4.75,1.25,1.21,1.32
NA,NA,Whitsunday,Whitsunday,148.6842041,-19.44281006,0.06,2.08,3.16,2.59,2.25,3.18,1.37,1.31,1.48
SA,SA,Yankalilla,Yankalilla,138.2105255,-35.47072601,0.06,1.57,2.4,1.52,1.44,1.63,1.27,1.23,1.32
VIC,VIC,Mornington Peninsula,Mornington_Peninsula,144.8420868,-38.33130646,0.06,1.04,2.52,2.03,1.83,2.34,1.35,1.29,1.44
WANorth,WA,Exmouth,Exmouth,114.1578979,-21.80661011,0.06,1.55,2.59,5.09,3.97,7.27,1.28,1.23,1.36
NA,NA,Torres,Torres,142.5263214,-9.624763489,0.06,2.08,2.59,2.64,2.29,3.22,1.81,1.67,2.01
WANorth,WA,Wyndham-East Kimberley,Wyndham-East_Kimberley,128.7894745,-14.76675224,0.06,3.94,4.83,6.25,4.65,9.66,1.38,1.31,1.48
WASouth,WA,Manjimup,Manjimup,116.7368393,-35.04107285,0.06,1.11,3.28,1.88,1.73,2.08,1.21,1.18,1.25
