"name....dattg.Name","nCompleteY....dattg.nCompleteY","longitude","latitude","SLR","SWL_AEP1PC","SWL_MFSLR_50","SWL_MFSLR_10","SWL_MFSLR_90"
"'albany-62120-aus-bom'",51,117.8926,-35.0337,0.09,1.23,3.9,3.93,3.86
"'batemans_bay_princess_jetty-216410-aus-bom'",22,150.1779,-35.7049,0.09,1.52,3.44,3.49,3.39
"'bermagui-219470-aus-bom'",29,150.0715333,-36.42633887,0.09,1.49,4.25,4.3,4.2
"'booby_island-336a-aus-uhslc'",34,141.91,-10.603,0.09,2.51,2.48,2.52,2.44
"'booby_island-58230-aus-bom'",34,141.9101,-10.6026,0.09,2.51,2.48,2.52,2.44
"'botany_bay-60390-aus-bom'",33,151.2204,-33.9684,0.09,1.47,6.48,6.54,6.42
"'bowen-59320-aus-bom'",35,148.25,-20.025,0.09,2.48,2.26,2.31,2.22
"'brisbane_bar-59980-aus-bom'",49,153.1719,-27.3608,0.09,1.81,7.07,7.12,7.03
"'brisbane-331a-aus-uhslc'",49,153.167,-27.367,0.09,1.81,7.07,7.12,7.03
"'broome-166a-aus-uhslc'",44,122.218,-18.002,0.09,5.68,1.77,1.81,1.73
"'broome-62650-aus-bom'",44,122.2186,-18.0008,0.09,5.68,1.77,1.81,1.73
"'brunswick_heads-202403-aus-bom'",30,153.55211,-28.53681115,0.09,1.59,3.73,3.78,3.68
"'bunbury-62190-aus-bom'",53,115.66,-33.3234,0.09,1.53,2.12,2.15,2.08
"'bundaberg_burnett_heads-59820-aus-bom'",53,152.3833,-24.7667,0.09,2.36,2.58,2.61,2.54
"'bundaberg-332a-aus-uhslc'",53,152.38,-24.767,0.09,2.36,2.58,2.61,2.54
"'burnie-344a-aus-uhslc'",43,145.915,-41.05,0.09,2.22,2.84,2.88,2.81
"'burnie-60910-aus-bom'",43,145.9111,-41.0528,0.09,2.22,2.84,2.88,2.81
"'caddadup-dvcad01-aus-bom'",25,115.643056,-32.609444,0.09,1.14,2.67,2.71,2.62
"'cairns-59060-aus-bom'",47,145.78,-16.9267,0.09,2.2,2.58,2.62,2.54
"'cape_bouvard-dvbvd01-aus-bom'",20,115.629983,-32.601376,0.09,1.29,2.52,2.57,2.46
"'cape_ferguson-343a-aus-uhslc'",30,147.058,-19.277,0.09,2.63,2.14,2.19,2.1
"'cape_ferguson-59260-aus-bom'",35,147.0583,-19.2767,0.09,2.56,2.24,2.28,2.2
"'cape_ferguson-h033007a-aus-bom'",30,147.05,-19.27,0.09,2.63,2.14,2.19,2.1
"'cardwell-h035012a-aus-bom'",25,146.03,-18.25,0.09,3,1.7,1.76,1.64
"'carnarvon-167a-aus-uhslc'",41,113.652,-24.898,0.09,1.59,2.38,2.42,2.34
"'carnarvon-62370-aus-bom'",41,113.651,-24.8987,0.09,1.59,2.38,2.42,2.34
"'clump_point-59168-aus-bom'",35,146.1053,-17.8515,0.09,2.39,2.38,2.42,2.34
"'cocos-171a-aus-uhslc'",32,96.892,-12.117,0.09,1.25,4.49,4.53,4.44
"'coffs_harbour-205470-aus-bom'",20,153.1460611,-30.30285837,0.09,1.67,3.76,3.82,3.71
"'cooktown-58940-aus-bom'",27,145.25,-15.4667,0.09,2.07,3.02,3.07,2.98
"'cooktown-h066003a-aus-bom'",20,145.25,-15.45,0.09,2.18,2.47,2.52,2.41
"'crookhaven_heads-215408-aus-bom'",25,150.7592,-34.9066,0.09,1.47,3.44,3.49,3.39
"crowdy_head_fuel_wharf_decomm-208470-aus-csiro",24,152.750811,-31.839236,0.09,1.67,3.65,3.7,3.6
"'darwin-168a-aus-uhslc'",56,130.847,-12.472,0.09,4.15,3.12,3.16,3.09
"'darwin-63230-aus-bom'",56,130.8459,-12.4718,0.09,4.15,3.12,3.16,3.09
"'devonport-60930-aus-bom'",28,146.3833,-41.15,0.09,2.22,2.92,2.97,2.87
"'eden-60530-aus-bom'",31,149.9083,-37.0712,0.09,1.53,3.69,3.74,3.65
"'esperance-176a-aus-uhslc'",54,121.897,-33.87,0.09,1.37,3.01,3.05,2.98
"'esperance-62080-aus-bom'",54,121.8954,-33.8709,0.09,1.37,3.01,3.05,2.98
"'exmouth-62435-aus-bom'",25,114.1409,-21.9549,0.09,2.15,1.89,1.95,1.83
"'forster-209402-aus-bom'",24,152.5082112,-32.17398888,0.09,1.27,5.36,5.42,5.31
"'fort_denison-333a-aus-uhslc'",103,151.227,-33.855,0.09,1.51,5.05,5.07,5.02
"'fremantle-175a-aus-uhslc'",110,115.733,-32.05,0.09,1.37,2.38,2.4,2.36
"'fremantle-62230-aus-bom'",110,115.7395,-32.0558,0.09,1.37,2.38,2.4,2.36
"'geelong-60770-aus-bom'",43,144.3633,-38.1467,0.09,1.24,3.4,3.44,3.36
"'georgetown-60950-aus-bom'",28,146.82,-41.11,0.09,2.2,2.81,2.85,2.77
"'geraldton-62290-aus-bom'",54,114.6019,-28.776,0.09,1.25,3.12,3.15,3.09
"'gladstone-59750-aus-bom'",43,151.25,-23.8333,0.09,2.88,2.65,2.69,2.62
"'gold_coast_southport-60051-aus-bom'",22,153.4167,-27.9667,0.09,1.49,5.64,5.7,5.58
"'goods_island-58200-aus-bom'",27,142.1486,-10.5639,0.09,2.53,2.15,2.19,2.1
"'groote_eylandt-145a-aus-uhslc'",34,136.417,-13.86,0.09,2.13,1.68,1.73,1.63
"'harvey-dvhar01-aus-bom'",27,115.6761,-32.6835,0.09,1.25,2.12,2.17,2.08
"'hay_point-59511-aus-bom'",35,149.3033,-21.2683,0.09,4.14,2.29,2.33,2.25
"'hillarys-132a-aus-uhslc'",28,115.738,-31.825,0.09,1.34,2.52,2.57,2.48
"'hillarys-62237-aus-bom'",28,115.7386,-31.8256,0.09,1.34,2.52,2.57,2.48
"'hobart-339a-aus-uhslc'",46,147.342,-42.877,0.09,1.41,2.91,2.95,2.88
"'hobart-61220-aus-bom'",46,147.341,-42.8773,0.09,1.41,2.91,2.95,2.88
"'home_island-46280-aus-bom'",32,96.8919,-12.1167,0.09,1.25,4.49,4.53,4.44
"'hovell_pile-60721-aus-bom'",27,144.8987,-38.3271,0.09,1.24,3.19,3.24,3.14
"'ince_point-58140-aus-bom'",28,142.3117,-10.575,0.09,2.62,1.87,1.92,1.82
"'jervis_bay-216470-aus-bom'",27,150.7076,-35.12200281,0.09,1.47,5.21,5.26,5.16
"'jurien_bay-jujur01-aus-bom'",28,115.0428,-30.2872,0.09,1.25,3.24,3.29,3.19
"'karumba-63580-aus-bom'",33,140.8333,-17.4917,0.09,3.36,1.65,1.7,1.6
"'lakes_entrance_inner_bullock_island-6057a-aus-bom'",33,147.9731,-37.8852,0.09,1.28,2.37,2.41,2.33
"'lord_howe_island-57720-aus-bom'",36,159.0582,-31.5236,0.09,1.75,3.9,3.95,3.86
"'lord_howe-399a-aus-uhslc'",36,159.067,-31.517,0.09,1.75,3.9,3.95,3.86
"'lord_howe-399b-aus-uhslc'",36,159.067,-31.517,0.09,1.75,3.91,3.95,3.87
"'lorne-60790-aus-bom'",26,143.9888,-38.5472,0.09,1.71,4.48,4.53,4.43
"'lucinda_offshore-59200-aus-bom'",33,146.385,-18.5217,0.09,2.54,2.39,2.44,2.35
"'mackay_outer_harbour-59510-aus-bom'",48,149.2333,-21.1167,0.09,4.01,2.19,2.22,2.15
"'melbourne_williamstown-60780-aus-bom'",54,144.9165,-37.8657,0.09,1.23,3.38,3.42,3.35
"'melville_bay_gove_harbour-63480-aus-bom'",23,136.6717,-12.2067,0.09,2.42,2.34,2.39,2.29
"'milner_bay_groote_eylandt-63511-aus-bom'",34,136.4156,-13.8601,0.09,2.13,1.68,1.73,1.63
"'mooloolaba-59950-aus-bom'",35,153.12,-26.6867,0.09,1.61,4.64,4.68,4.59
"'mourilyan_harbour-59140-aus-bom'",37,146.1167,-17.6,0.09,2.08,3.24,3.28,3.2
"'newcastle-60310-aus-bom'",54,151.7889,-32.9238,0.09,1.49,4.54,4.58,4.51
"'onslow_beadon_creek-62470-aus-bom'",34,115.1315,-21.6497,0.09,1.85,3.33,3.38,3.29
"'patonga-212440-aus-bom'",27,151.27462,-33.55098053,0.09,1.54,4.88,4.93,4.83
"'peel_inlet-plpee01-aus-bom'",31,115.713889,-32.592222,0.09,1.23,2.12,2.17,2.08
"'perth_barrack_street_jetty-6223a-aus-bom'",29,115.8573,-31.9597,0.09,1.31,2.42,2.47,2.38
"'point_lonsdale-60730-aus-bom'",56,144.6139,-38.2919,0.09,1.47,3.45,3.49,3.42
"'point_richards_corio_bay-60757-aus-bom'",20,144.65,-38.1,0.09,1.26,3.33,3.39,3.27
"'port_adelaide_inner_harbor-61610-aus-bom'",54,138.5,-34.85,0.09,2.73,1.82,1.86,1.79
"'port_adelaide_outer_harbor-61600-aus-bom'",77,138.4807,-34.7798,0.09,2.63,1.85,1.88,1.82
"'port_alma-59690-aus-bom'",36,150.8667,-23.585,0.09,3.21,2.93,2.97,2.89
"'port_douglas-59040-aus-bom'",23,145.4667,-16.4833,0.09,2.16,2.83,2.88,2.78
"'port_giles-61685-aus-bom'",26,137.7683,-35.0218,0.09,2.33,2.06,2.11,2.01
"port_hacking_decomm-214451-aus-csiro",24,151.14608,-34.076911,0.09,1.53,4.52,4.57,4.46
"'port_hedland-169a-aus-uhslc'",43,118.575,-20.318,0.09,4.09,2,2.04,1.96
"'port_hedland-62590-aus-bom'",43,118.5744,-20.3176,0.09,4.09,2,2.04,1.96
"'port_kembla-342a-aus-uhslc'",38,150.912,-34.473,0.09,1.49,5.12,5.16,5.08
"'port_kembla-60420-aus-bom'",38,150.91,-34.475,0.09,1.49,5.12,5.16,5.08
"'port_lincoln-61900-aus-bom'",54,135.8701,-34.7159,0.09,1.98,2.08,2.12,2.05
"'port_macquarie-207420-aus-bom'",30,152.9109833,-31.42679171,0.09,1.54,3.36,3.41,3.31
"'port_pirie-61800-aus-bom'",88,138.0117,-33.1776,0.09,3.1,1.66,1.69,1.62
"port_stephens_decomm-209450-aus-csiro",27,152.18224,-32.714881,0.09,1.54,4.69,4.74,4.64
"'portland_victoria-129a-aus-uhslc'",40,141.613,-38.343,0.09,1.26,3.66,3.7,3.62
"'portland-61410-aus-bom'",40,141.6197,-38.3514,0.09,1.26,3.66,3.7,3.62
"'queenscliff-60732-aus-bom'",27,144.6626,-38.2728,0.09,1.18,3.41,3.46,3.37
"'rosslyn_bay-330a-aus-uhslc'",28,150.79,-23.162,0.09,3.14,2.38,2.43,2.33
"'rosslyn_bay-59670-aus-bom'",28,150.7917,-23.1667,0.09,3.14,2.38,2.43,2.33
"'shute_harbour-59410-aus-bom'",28,148.7833,-20.2833,0.09,2.88,2.62,2.67,2.57
"'south_trees-h052026a-aus-bom'",25,151.3,-23.85,0.09,2.83,2.9,2.95,2.85
"'spring_bay-335a-aus-uhslc'",35,147.932,-42.547,0.09,1.24,3.79,3.83,3.74
"'spring_bay-61170-aus-bom'",35,147.9283,-42.5486,0.09,1.24,3.79,3.83,3.74
"'sydney_port_jackson-213470-aus-bom'",31,151.2585,-33.8254,0.09,1.54,4.4,4.45,4.36
"'thevenard-128a-aus-uhslc'",54,133.64,-32.15,0.09,2.28,2.17,2.2,2.14
"'thevenard-62000-aus-bom'",54,133.6413,-32.1489,0.09,2.28,2.17,2.2,2.14
"'thursday_island-58170-aus-bom'",21,142.2216,-10.5863,0.09,2.36,2.46,2.51,2.41
"'townsville-334a-aus-uhslc'",63,146.833,-19.25,0.09,2.67,2.19,2.23,2.16
"'townsville-59250-aus-bom'",63,146.8333,-19.25,0.09,2.67,2.19,2.23,2.16
"'turtle_head-58180-aus-bom'",25,142.2133,-10.5212,0.09,2.79,1.66,1.71,1.61
"tweed_heads_decomm-201431-aus-csiro",22,153.549642,-28.16945,0.09,1.47,5.38,5.44,5.31
"'urangan-59850-aus-bom'",30,152.9083,-25.2983,0.09,2.56,3.19,3.23,3.15
"'victor_harbor-61490-aus-bom'",51,138.6354,-35.5625,0.09,1.8,2.21,2.25,2.18
"'wallaroo-61780-aus-bom'",36,137.6152,-33.926,0.09,2.37,1.74,1.79,1.7
"'weipa_humbug_point-63620-aus-bom'",42,141.8633,-12.67,0.09,2.44,1.68,1.73,1.64
"'west_channel_pile-60739-aus-bom'",28,144.7552,-38.1944,0.09,1.22,3.2,3.25,3.16
"'western_port_stony_point-60710-aus-bom'",37,145.2228,-38.3739,0.09,2.24,2.54,2.58,2.49
